x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
549843.5,4672071.5,31.76,19.54,399,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.9418,0.0114,0.0468
549884.5,4672737.5,25.66,17.74,379,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.2961,0.2962,0.4078
549896.5,4672716.5,20.55,13.96,436,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,0,0.08,0.8265,0.0935
549981.5,4672749.5,19.93,15.94,270,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,0,0.0085,0.8831,0.1085
549914.5,4672712.5,20.11,14.69,126,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.6567,0.2521,0.0912
549916.5,4672718.5,20.14,14.75,103,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.5673,0.3856,0.0471
549989.5,4672751.5,19.71,14.64,204,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.017,0.1544,0.8286
549919.5,4672713.5,19.96,14.0,64,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.9078,0.0394,0.0528
549891.5,4672704.5,17.95,14.71,154,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.0654,0.2103,0.7243
549906.5,4672708.5,18.11,13.42,82,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.5946,0.2022,0.2032
549939.5,4672104.5,16.62,12.7,82,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.0893,0.0399,0.8708
549989.5,4672730.5,13.1,10.97,130,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,0,0.2621,0.6305,0.1073
549991.5,4672735.5,12.9,10.47,57,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.1412,0.1499,0.7089
549981.5,4672732.5,11.68,9.94,53,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,0,0.1143,0.8181,0.0676
549846.5,4672059.5,8.13,7.01,31,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.7125,0.0165,0.271
549890.5,4672122.5,7.98,6.33,55,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.0222,0.014,0.9638
549900.5,4672139.5,8.15,7.04,15,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.2384,0.0085,0.7532
549895.5,4672123.5,7.25,6.72,24,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.0136,0.0064,0.98
549861.5,4672041.5,7.44,6.75,10,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.0821,0.0251,0.8928
549890.5,4672129.5,6.49,6.0,23,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.0663,0.0077,0.926
549897.5,4672131.5,6.76,6.42,6,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True,1,0.037,0.003,0.96
549974.5,4674285.5,10.32,7.9,153,PNOA-2024-GAL-549-4675-H29-NPC01,Covelo,Covelo (Santa Mariña),109_934,True,0,0.2687,0.5175,0.2138
