x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
525800.5,4687975.5,12.54,9.29,40,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.3634,0.1053,0.5312
525984.5,4687764.5,9.2,7.9,23,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.4324,0.3193,0.2483
525913.5,4687905.5,8.84,7.72,20,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.1319,0.1904,0.6777
525939.5,4687960.5,8.0,6.57,38,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.2161,0.0904,0.6934
525879.5,4687824.5,7.39,6.33,43,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.1782,0.0866,0.7353
525908.5,4687875.5,7.99,6.61,21,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.1886,0.4996,0.3118
525904.5,4687849.5,7.04,6.42,21,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.0314,0.2175,0.7511
525873.5,4687833.5,6.8,6.35,29,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.3642,0.2953,0.3406
525911.5,4687983.5,7.67,6.83,6,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.1844,0.0875,0.7281
525970.5,4687769.5,6.13,5.87,5,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.1386,0.1234,0.738
525600.5,4688679.5,39.74,29.1,214,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.6511,0.0522,0.2967
525607.5,4688683.5,38.32,29.02,122,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.9474,0.0195,0.0331
525603.5,4688670.5,36.49,27.06,103,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.8998,0.0721,0.0281
525589.5,4688690.5,35.62,21.92,727,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4395,0.4138,0.1466
525570.5,4688598.5,35.86,29.72,125,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.9489,0.0404,0.0107
525571.5,4688591.5,34.35,29.35,90,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.9322,0.0402,0.0276
525564.5,4688599.5,33.56,21.69,303,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.7022,0.2309,0.0669
525615.5,4688688.5,32.8,22.49,116,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.8117,0.0888,0.0995
525725.5,4688811.5,26.48,17.41,78,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.6866,0.232,0.0814
525720.5,4688814.5,26.32,16.15,109,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.7725,0.1809,0.0466
525733.5,4688820.5,23.65,16.51,84,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.8226,0.1316,0.0458
525772.5,4688981.5,17.87,12.07,415,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.3135,0.6665,0.0201
525560.5,4688623.5,18.59,14.05,47,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.697,0.197,0.106
525562.5,4688627.5,18.59,14.06,24,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.8017,0.1718,0.0266
525604.5,4688695.5,17.35,13.51,50,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.6995,0.1385,0.162
525551.5,4688675.5,17.15,12.02,368,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.2393,0.6355,0.1252
525554.5,4688702.5,15.87,12.57,177,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.2308,0.5997,0.1695
525270.5,4688928.5,15.43,10.9,200,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1475,0.6011,0.2514
525663.5,4688847.5,14.76,10.91,194,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.0884,0.8585,0.0531
525644.5,4688843.5,13.91,10.42,297,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1346,0.8242,0.0412
525572.5,4688573.5,12.95,9.59,187,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3266,0.4908,0.1826
525875.5,4688114.5,12.89,10.93,72,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.4357,0.3579,0.2064
525870.5,4688116.5,12.64,10.21,87,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.2093,0.254,0.5367
525862.5,4688011.5,12.34,9.36,107,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.3812,0.289,0.3298
525876.5,4688062.5,12.38,8.66,158,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.281,0.3354,0.3836
525888.5,4688061.5,12.04,8.68,133,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.2466,0.3371,0.4163
525637.5,4688829.5,12.58,8.74,180,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1587,0.727,0.1143
525556.5,4688583.5,11.92,8.76,79,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.2974,0.5896,0.113
525745.5,4688839.5,13.65,10.96,18,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1443,0.765,0.0907
525294.5,4688955.5,11.64,8.41,123,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2963,0.4719,0.2318
525574.5,4688677.5,10.7,8.62,35,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.0662,0.7946,0.1392
525856.5,4688125.5,10.86,7.77,98,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,0,0.1006,0.7118,0.1875
525499.5,4688524.5,10.92,8.13,94,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2994,0.1366,0.564
525285.5,4688929.5,10.57,7.89,113,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1743,0.484,0.3417
525435.5,4688854.5,10.47,7.58,184,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3914,0.1672,0.4414
525611.5,4688829.5,10.15,8.0,163,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1672,0.359,0.4738
