x,y,h_max,h_media,area_m2,bloque,OBJECTID_12,grupo,zona
565507.5,4669854.5,13.32,11.01,51,PNOA-2024-GAL-565-4670-H29-NPC01,86418,eucalipto,113_933
550850.5,4676787.5,28.22,24.84,70,PNOA-2024-GAL-550-4677-H29-NPC01,86557,eucalipto,110_935
559777.5,4664101.5,16.64,11.24,99,PNOA-2024-GAL-559-4665-H29-NPC01,85223,eucalipto,111_932
567298.5,4669142.5,15.62,13.88,22,PNOA-2024-GAL-567-4670-H29-NPC01,86410,eucalipto,113_933
552194.5,4676950.5,26.5,21.2,75,PNOA-2024-GAL-552-4677-H29-NPC01,86564,eucalipto,110_935
550989.5,4676828.5,26.6,24.22,21,PNOA-2024-GAL-550-4677-H29-NPC01,86557,eucalipto,110_935
551959.5,4680290.5,28.99,22.83,96,PNOA-2024-GAL-551-4681-H29-NPC01,86510,eucalipto,110_936
558995.5,4665633.5,22.8,19.11,104,PNOA-2024-GAL-558-4666-H29-NPC01,86703,eucalipto,111_933
551006.5,4676983.5,27.34,20.03,29,PNOA-2024-GAL-551-4677-H29-NPC01,86557,eucalipto,110_935
550924.5,4676420.5,27.82,21.99,24,PNOA-2024-GAL-550-4677-H29-NPC01,86557,eucalipto,110_935
550946.5,4677365.5,27.95,22.29,44,PNOA-2024-GAL-550-4678-H29-NPC01,86559,eucalipto,110_935
549307.5,4680683.5,30.52,26.71,57,PNOA-2024-GAL-549-4681-H29-NPC01,86518,eucalipto,109_936
563266.5,4673605.5,24.98,15.98,92,PNOA-2024-GAL-563-4674-H29-NPC01,86504,eucalipto,112_934
550278.5,4678019.5,12.63,10.24,47,PNOA-2024-GAL-550-4679-H29-NPC01,86592,eucalipto,110_935
563533.5,4673651.5,29.82,20.1,84,PNOA-2024-GAL-563-4674-H29-NPC01,86504,eucalipto,112_934
558914.5,4665389.5,18.78,13.95,147,PNOA-2024-GAL-558-4666-H29-NPC01,86703,eucalipto,111_933
565480.5,4673107.5,15.46,12.69,59,PNOA-2024-GAL-565-4674-H29-NPC01,86438,eucalipto,113_934
565920.5,4668124.5,34.87,25.21,221,PNOA-2024-GAL-565-4669-H29-NPC01,85222,eucalipto,113_933
566846.5,4668713.5,17.23,13.63,32,PNOA-2024-GAL-566-4669-H29-NPC01,86407,eucalipto,113_933
567108.5,4667767.5,36.15,29.51,127,PNOA-2024-GAL-567-4668-H29-NPC01,85250,eucalipto,113_933
566828.5,4668390.5,22.88,16.26,115,PNOA-2024-GAL-566-4669-H29-NPC01,86407,eucalipto,113_933
552873.5,4674306.5,20.9,14.85,393,PNOA-2024-GAL-552-4675-H29-NPC01,86603,eucalipto,110_934
559865.5,4664880.5,15.18,11.56,148,PNOA-2024-GAL-559-4665-H29-NPC01,85223,eucalipto,111_932
552964.5,4675520.5,34.72,30.58,113,PNOA-2024-GAL-552-4676-H29-NPC01,86598,eucalipto,110_935
549341.5,4673899.5,36.85,27.15,210,PNOA-2024-GAL-549-4674-H29-NPC01,86613,eucalipto,109_934
551893.5,4676676.5,36.75,32.43,173,PNOA-2024-GAL-551-4677-H29-NPC01,86562,eucalipto,110_935
551886.5,4680091.5,22.58,18.77,46,PNOA-2024-GAL-551-4681-H29-NPC01,86510,eucalipto,110_936
550979.5,4678803.5,25.61,22.33,44,PNOA-2024-GAL-550-4679-H29-NPC01,86550,eucalipto,110_935
566448.5,4669961.5,21.33,14.59,147,PNOA-2024-GAL-566-4670-H29-NPC01,86424,eucalipto,113_933
559519.5,4664451.5,6.37,5.98,12,PNOA-2024-GAL-559-4665-H29-NPC01,85223,eucalipto,111_932
556610.5,4663847.5,15.43,9.28,36,PNOA-2024-GAL-556-4664-H29-NPC01,85242,eucalipto,111_932
549535.5,4673738.5,39.46,35.08,113,PNOA-2024-GAL-549-4674-H29-NPC01,86613,eucalipto,109_934
563065.5,4673640.5,16.75,12.22,474,PNOA-2024-GAL-563-4674-H29-NPC01,86504,eucalipto,112_934
553952.5,4674809.5,26.45,23.29,46,PNOA-2024-GAL-553-4675-H29-NPC01,86680,eucalipto,110_934
566876.5,4668085.5,23.6,17.66,364,PNOA-2024-GAL-566-4669-H29-NPC01,85222,eucalipto,113_933
550844.5,4676546.5,29.65,25.75,101,PNOA-2024-GAL-550-4677-H29-NPC01,86557,eucalipto,110_935
559836.5,4664960.5,6.03,5.72,15,PNOA-2024-GAL-559-4665-H29-NPC01,85223,eucalipto,111_932
567227.5,4668043.5,38.58,27.77,129,PNOA-2024-GAL-567-4669-H29-NPC01,85250,eucalipto,113_933
566018.5,4667653.5,25.54,21.54,144,PNOA-2024-GAL-566-4668-H29-NPC01,85222,eucalipto,113_933
559079.5,4665260.5,7.16,6.0,32,PNOA-2024-GAL-559-4666-H29-NPC01,85223,eucalipto,111_933
559621.5,4664052.5,15.0,12.46,43,PNOA-2024-GAL-559-4665-H29-NPC01,85223,eucalipto,111_932
548890.5,4680645.5,8.54,6.84,29,PNOA-2024-GAL-548-4681-H29-NPC01,95546,eucalipto,109_936
