x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada
549843.5,4672071.5,31.76,19.54,399,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549884.5,4672737.5,25.66,17.74,379,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549896.5,4672716.5,20.55,13.96,436,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549981.5,4672749.5,19.93,15.94,270,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549914.5,4672712.5,20.11,14.69,126,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549916.5,4672718.5,20.14,14.75,103,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549989.5,4672751.5,19.71,14.64,204,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549919.5,4672713.5,19.96,14.0,64,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549891.5,4672704.5,17.95,14.71,154,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549906.5,4672708.5,18.11,13.42,82,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549939.5,4672104.5,16.62,12.7,82,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549989.5,4672730.5,13.1,10.97,130,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549991.5,4672735.5,12.9,10.47,57,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549981.5,4672732.5,11.68,9.94,53,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549846.5,4672059.5,8.13,7.01,31,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549890.5,4672122.5,7.98,6.33,55,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549900.5,4672139.5,8.15,7.04,15,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549895.5,4672123.5,7.25,6.72,24,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549861.5,4672041.5,7.44,6.75,10,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549890.5,4672129.5,6.49,6.0,23,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549897.5,4672131.5,6.76,6.42,6,PNOA-2024-GAL-549-4673-H29-NPC01,Covelo,Paraños (Santa María),109_934,True
549974.5,4674285.5,10.32,7.9,153,PNOA-2024-GAL-549-4675-H29-NPC01,Covelo,Covelo (Santa Mariña),109_934,True
549960.5,4674111.5,9.77,7.43,50,PNOA-2024-GAL-549-4675-H29-NPC01,Covelo,Covelo (Santa Mariña),109_934,True
549992.5,4674407.5,8.4,7.32,37,PNOA-2024-GAL-549-4675-H29-NPC01,Covelo,Covelo (Santa Mariña),109_934,True
549991.5,4674223.5,8.02,7.04,75,PNOA-2024-GAL-549-4675-H29-NPC01,Covelo,Covelo (Santa Mariña),109_934,True
550966.5,4669326.5,30.27,19.9,286,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550975.5,4669323.5,25.36,16.38,74,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550788.5,4669448.5,17.58,11.69,103,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550887.5,4669428.5,17.68,11.53,91,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550637.5,4669380.5,16.4,11.08,231,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550591.5,4669370.5,16.15,11.55,156,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550799.5,4669453.5,16.59,11.71,75,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550893.5,4669279.5,15.13,11.99,197,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550510.5,4669295.5,15.32,11.97,86,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550515.5,4669296.5,15.53,11.94,107,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550511.5,4669298.5,14.83,12.01,94,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550796.5,4669445.5,15.24,10.99,46,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550825.5,4669282.5,14.08,10.98,215,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550954.5,4669324.5,14.79,10.21,146,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550789.5,4669441.5,14.26,11.75,24,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550520.5,4669283.5,13.99,11.77,125,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550497.5,4669297.5,14.36,10.99,183,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550942.5,4669324.5,13.91,8.76,128,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550522.5,4669288.5,13.55,10.62,51,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550520.5,4669291.5,13.55,12.46,34,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550737.5,4669537.5,13.45,11.27,40,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550832.5,4669289.5,12.75,9.25,92,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550496.5,4669289.5,12.0,9.28,107,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550910.5,4669284.5,12.6,8.92,77,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550607.5,4669335.5,12.49,8.53,180,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550942.5,4669336.5,11.71,9.71,60,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550821.5,4669261.5,11.75,8.72,143,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550914.5,4669310.5,11.33,8.84,115,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550757.5,4669302.5,12.04,8.93,116,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550616.5,4669337.5,11.52,8.6,91,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550742.5,4669304.5,11.06,8.46,84,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550886.5,4669309.5,10.75,7.69,182,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550925.5,4669313.5,10.83,7.61,147,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550645.5,4669341.5,10.55,7.98,165,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550590.5,4669325.5,10.75,7.92,132,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550641.5,4669346.5,10.14,8.1,79,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550584.5,4669324.5,10.79,7.79,49,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550581.5,4669308.5,9.78,7.65,133,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550681.5,4669315.5,10.16,7.01,128,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550596.5,4669378.5,9.58,7.4,142,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550613.5,4669332.5,10.0,8.74,14,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550489.5,4669291.5,9.19,7.97,31,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550714.5,4669307.5,10.44,7.4,38,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550769.5,4669299.5,10.14,7.32,50,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550751.5,4669290.5,9.11,7.64,70,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550701.5,4669550.5,9.38,7.58,33,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550691.5,4669534.5,9.62,7.54,86,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550623.5,4669354.5,8.95,8.1,33,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550696.5,4669300.5,9.17,7.26,53,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550681.5,4669363.5,8.8,7.5,34,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550471.5,4669318.5,8.76,7.57,25,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550723.5,4669302.5,8.82,7.22,56,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550662.5,4669368.5,8.72,7.02,77,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550656.5,4669352.5,8.69,6.87,93,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550694.5,4669544.5,9.09,6.87,46,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550971.5,4669303.5,8.19,6.77,62,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550737.5,4669297.5,8.71,7.18,43,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550973.5,4669312.5,8.81,6.68,70,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550728.5,4669317.5,8.29,6.89,49,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550700.5,4669318.5,8.21,6.87,68,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550816.5,4669248.5,8.01,6.72,79,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550979.5,4669307.5,7.84,6.68,69,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550605.5,4669324.5,7.78,7.2,34,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550536.5,4669333.5,7.94,7.26,21,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550600.5,4669324.5,7.75,6.85,49,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550693.5,4669569.5,8.09,6.76,22,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550738.5,4669289.5,7.47,6.74,40,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550962.5,4669310.5,7.88,6.6,51,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550600.5,4669353.5,7.95,6.8,28,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550672.5,4669571.5,7.55,6.13,115,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550804.5,4669253.5,7.77,6.6,27,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550558.5,4669348.5,7.52,6.73,21,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550676.5,4669338.5,7.35,6.64,12,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550680.5,4669569.5,7.52,6.35,13,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550514.5,4669317.5,7.0,6.32,23,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550855.5,4669296.5,6.73,6.31,15,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550667.5,4669383.5,6.39,6.05,12,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550726.5,4669553.5,6.5,5.95,16,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550875.5,4669284.5,7.07,6.64,5,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550677.5,4669566.5,6.9,5.99,11,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550655.5,4669362.5,7.04,6.63,4,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550539.5,4669296.5,6.75,6.26,7,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550699.5,4669310.5,7.17,6.41,5,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550524.5,4669330.5,6.4,6.08,4,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550690.5,4669329.5,6.46,6.14,4,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True
550472.5,4672157.5,26.52,18.55,333,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550448.5,4672149.5,26.1,18.69,437,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550156.5,4672655.5,25.25,18.47,377,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550132.5,4672662.5,23.63,20.78,83,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550122.5,4672656.5,23.03,17.33,438,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550118.5,4672676.5,22.88,21.07,70,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550120.5,4672687.5,23.29,17.2,130,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550130.5,4672670.5,22.98,19.58,91,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550149.5,4672664.5,22.51,18.51,257,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550446.5,4672161.5,22.42,14.26,367,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550483.5,4672142.5,21.78,18.12,353,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550137.5,4672656.5,21.6,17.74,121,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550472.5,4672135.5,21.25,15.6,688,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550454.5,4672153.5,21.34,17.51,114,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550445.5,4672170.5,21.34,11.83,250,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550455.5,4672143.5,20.92,19.94,68,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550462.5,4672137.5,20.94,19.39,98,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550137.5,4672685.5,21.54,17.78,160,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550457.5,4672137.5,20.8,16.76,190,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550448.5,4672133.5,20.89,15.91,242,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550101.5,4672703.5,20.92,15.81,281,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550468.5,4672130.5,20.79,16.03,193,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550162.5,4672639.5,20.75,15.62,458,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550149.5,4672677.5,20.74,16.16,123,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
