x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada
525800.5,4687975.5,12.54,9.29,40,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525984.5,4687764.5,9.2,7.9,23,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525913.5,4687905.5,8.84,7.72,20,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525939.5,4687960.5,8.0,6.57,38,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525879.5,4687824.5,7.39,6.33,43,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525908.5,4687875.5,7.99,6.61,21,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525904.5,4687849.5,7.04,6.42,21,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525873.5,4687833.5,6.8,6.35,29,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525911.5,4687983.5,7.67,6.83,6,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525970.5,4687769.5,6.13,5.87,5,PNOA-2024-GAL-525-4688-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525600.5,4688679.5,39.74,29.1,214,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525607.5,4688683.5,38.32,29.02,122,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525603.5,4688670.5,36.49,27.06,103,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525589.5,4688690.5,35.62,21.92,727,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525570.5,4688598.5,35.86,29.72,125,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525571.5,4688591.5,34.35,29.35,90,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
