x,y,h_max,h_media,area_m2,bloque,OBJECTID_12,grupo,zona
509820.5,4640943.5,12.68,11.5,36,PNOA-2024-GAL-509-4641-H29-NPC01,80300,eucalipto,101_928
509982.5,4640906.5,25.34,22.58,96,PNOA-2024-GAL-509-4641-H29-NPC01,80300,eucalipto,101_928
509871.5,4641868.5,33.3,28.5,160,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509978.5,4641504.5,15.12,11.44,57,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509928.5,4641384.5,36.63,27.83,321,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509735.5,4641760.5,18.67,9.76,344,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509839.5,4641256.5,13.87,11.9,111,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509941.5,4641254.5,22.06,20.87,26,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509976.5,4641760.5,34.14,30.15,72,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509893.5,4641845.5,33.69,28.07,99,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509769.5,4641732.5,21.41,16.5,63,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509811.5,4641804.5,28.5,22.27,216,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509951.5,4641253.5,28.29,22.51,206,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509954.5,4641084.5,25.74,21.05,162,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509989.5,4641078.5,33.37,24.62,164,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509935.5,4641507.5,37.07,33.44,140,PNOA-2024-GAL-509-4642-H29-NPC01,80300,eucalipto,101_928
509795.5,4642474.5,15.63,13.73,34,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509822.5,4642169.5,24.19,23.17,29,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509614.5,4642767.5,14.99,13.32,101,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509848.5,4642159.5,29.41,27.22,95,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509831.5,4642477.5,10.87,9.06,31,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509660.5,4642669.5,22.82,17.71,90,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509818.5,4642220.5,33.7,26.12,214,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509899.5,4642028.5,23.54,21.61,29,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509710.5,4642324.5,17.3,13.23,124,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509687.5,4642434.5,10.76,7.37,77,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509835.5,4642170.5,29.91,25.65,287,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509853.5,4642203.5,30.77,28.62,65,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509962.5,4642419.5,9.24,7.63,12,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
