x,y,bloque,grupo,zona,OBJECTID_12,p_eucalipto,p_frondosa,p_pino
548515.5,4678491.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0391,0.9544,0.0065
548717.5,4678452.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9876,0.0089,0.0035
548683.5,4678676.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.817,0.1246,0.0584
548764.5,4678478.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9725,0.0095,0.0181
548677.5,4678368.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8186,0.1676,0.0138
548465.5,4678444.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.3296,0.6287,0.0416
548633.5,4678449.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6873,0.2778,0.0349
548692.5,4678496.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5958,0.3533,0.0509
548652.5,4678637.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0584,0.9381,0.0035
548798.5,4678469.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7341,0.173,0.0929
548732.5,4678757.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5242,0.4613,0.0145
548706.5,4678427.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8938,0.0801,0.0261
548492.5,4678701.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1051,0.8729,0.0219
548467.5,4678667.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6169,0.3786,0.0045
548450.5,4678700.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8508,0.1266,0.0225
548518.5,4678868.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4572,0.5329,0.0099
548706.5,4678609.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.712,0.2666,0.0214
548834.5,4678496.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6482,0.335,0.0168
548738.5,4678365.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.296,0.6793,0.0247
548777.5,4678461.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9924,0.0024,0.0052
548795.5,4678336.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9342,0.0534,0.0124
