x,y,bloque,grupo,zona,OBJECTID_12,p_eucalipto,p_frondosa,p_pino
509820.5,4640943.5,PNOA-2024-GAL-509-4641-H29-NPC01,eucalipto,101_928,80300,0.7577,0.0634,0.1789
509982.5,4640906.5,PNOA-2024-GAL-509-4641-H29-NPC01,eucalipto,101_928,80300,0.9496,0.0135,0.0369
509871.5,4641868.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.8988,0.027,0.0743
509978.5,4641504.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.7673,0.1844,0.0483
509928.5,4641384.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.6367,0.0247,0.3387
509735.5,4641760.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.7572,0.1941,0.0486
509839.5,4641256.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.3826,0.0454,0.5721
509941.5,4641254.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.8137,0.0901,0.0962
509976.5,4641760.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.9902,0.0033,0.0065
509893.5,4641845.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.7556,0.0585,0.1859
509769.5,4641732.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.9155,0.0117,0.0728
509811.5,4641804.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.9025,0.0269,0.0705
509951.5,4641253.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.7033,0.0503,0.2464
509954.5,4641084.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.7275,0.0547,0.2178
509989.5,4641078.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.8653,0.0353,0.0994
509935.5,4641507.5,PNOA-2024-GAL-509-4642-H29-NPC01,eucalipto,101_928,80300,0.9525,0.0058,0.0417
509795.5,4642474.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.7568,0.0673,0.1759
509822.5,4642169.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9904,0.0038,0.0058
509614.5,4642767.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.8256,0.1362,0.0383
509848.5,4642159.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.8237,0.152,0.0242
509831.5,4642477.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.7526,0.0377,0.2096
509660.5,4642669.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9341,0.0225,0.0434
509818.5,4642220.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9565,0.0149,0.0286
509899.5,4642028.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9365,0.0262,0.0373
509710.5,4642324.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.6538,0.0373,0.3089
509687.5,4642434.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.7155,0.0149,0.2695
509835.5,4642170.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9559,0.0279,0.0162
509853.5,4642203.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.7377,0.2385,0.0238
509962.5,4642419.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.094,0.0233,0.8827
509749.5,4642083.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9469,0.0239,0.0292
509650.5,4642648.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.8576,0.0502,0.0922
509904.5,4642075.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.939,0.0243,0.0367
509796.5,4642518.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9611,0.018,0.0209
509855.5,4642100.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9466,0.0289,0.0245
509883.5,4642413.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.9128,0.0564,0.0308
509769.5,4642461.5,PNOA-2024-GAL-509-4643-H29-NPC01,eucalipto,101_928,80300,0.7424,0.034,0.2236
509871.5,4655884.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.7083,0.112,0.1797
509984.5,4655829.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.9415,0.0237,0.0348
509778.5,4655957.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.7455,0.0358,0.2187
509962.5,4655597.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82278,0.3605,0.4617,0.1777
509866.5,4655888.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.8804,0.0144,0.1052
509836.5,4655966.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.4228,0.0589,0.5183
509661.5,4655947.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.7346,0.0792,0.1862
509677.5,4655828.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.745,0.0827,0.1723
509878.5,4655950.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.8849,0.0211,0.094
509663.5,4655598.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82279,0.5515,0.2027,0.2458
509742.5,4655961.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.8406,0.0339,0.1255
509894.5,4655832.5,PNOA-2024-GAL-509-4656-H29-NPC01,eucalipto,101_931,82276,0.266,0.0524,0.6816
509529.5,4656174.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.9306,0.0193,0.0501
509629.5,4656069.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.7532,0.1297,0.1172
509980.5,4656325.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.7213,0.0392,0.2395
509885.5,4656168.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.4698,0.0382,0.492
509964.5,4656369.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.7277,0.0134,0.2589
509407.5,4656532.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.8448,0.0409,0.1143
509433.5,4656200.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.7687,0.1832,0.0481
509579.5,4656058.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.8152,0.1156,0.0692
509332.5,4656300.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.7264,0.1456,0.128
509800.5,4656206.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.9385,0.0188,0.0428
509734.5,4656028.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.38,0.1231,0.4968
509855.5,4656309.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.5664,0.035,0.3986
509464.5,4656147.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.9249,0.0228,0.0523
509472.5,4656304.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.9711,0.0151,0.0138
509977.5,4656378.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.9393,0.0067,0.054
509909.5,4656161.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.6689,0.1389,0.1922
509320.5,4656308.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.594,0.3043,0.1017
509358.5,4656480.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.9233,0.0378,0.0389
509629.5,4656146.5,PNOA-2024-GAL-509-4657-H29-NPC01,eucalipto,101_931,82276,0.8213,0.0306,0.1481
509895.5,4657768.5,PNOA-2024-GAL-509-4658-H29-NPC01,eucalipto,101_931,85202,0.8758,0.0162,0.108
509920.5,4657733.5,PNOA-2024-GAL-509-4658-H29-NPC01,eucalipto,101_931,85202,0.8001,0.0181,0.1818
509989.5,4657242.5,PNOA-2024-GAL-509-4658-H29-NPC01,eucalipto,101_931,85202,0.9296,0.007,0.0634
509980.5,4657142.5,PNOA-2024-GAL-509-4658-H29-NPC01,eucalipto,101_931,85202,0.9284,0.0197,0.0519
509882.5,4657645.5,PNOA-2024-GAL-509-4658-H29-NPC01,eucalipto,101_931,85202,0.8369,0.02,0.1431
509883.5,4657772.5,PNOA-2024-GAL-509-4658-H29-NPC01,eucalipto,101_931,85202,0.806,0.0325,0.1615
509931.5,4657532.5,PNOA-2024-GAL-509-4658-H29-NPC01,eucalipto,101_931,85202,0.9529,0.008,0.039
509955.5,4657121.5,PNOA-2024-GAL-509-4658-H29-NPC01,eucalipto,101_931,85202,0.9682,0.0091,0.0227
510221.5,4640823.5,PNOA-2024-GAL-510-4641-H29-NPC01,eucalipto,102_928,80300,0.474,0.0272,0.4988
510090.5,4640884.5,PNOA-2024-GAL-510-4641-H29-NPC01,eucalipto,102_928,80300,0.8561,0.0412,0.1026
510128.5,4640852.5,PNOA-2024-GAL-510-4641-H29-NPC01,eucalipto,102_928,80300,0.8832,0.05,0.0668
510067.5,4640313.5,PNOA-2024-GAL-510-4641-H29-NPC01,eucalipto,102_928,80300,0.7928,0.0437,0.1635
510065.5,4640527.5,PNOA-2024-GAL-510-4641-H29-NPC01,eucalipto,102_928,80300,0.8113,0.1205,0.0682
510143.5,4640767.5,PNOA-2024-GAL-510-4641-H29-NPC01,eucalipto,102_928,80300,0.7476,0.0922,0.1602
