bloque,nw_x,nw_y,mb,s_descarga,s_proceso,estado,error
PNOA-2024-GAL-557-4670-H29-NPC01.LAZ,557,4670,155.9,8.7,397.0,ok,
PNOA-2024-GAL-560-4674-H29-NPC01.LAZ,560,4674,94.7,4.3,1334.8,ok,
PNOA-2024-GAL-562-4667-H29-NPC01.LAZ,562,4667,71.6,3.8,513.6,ok,
PNOA-2024-GAL-556-4668-H29-NPC01.LAZ,556,4668,93.2,7.6,568.1,ok,
PNOA-2024-GAL-559-4669-H29-NPC01.LAZ,559,4669,82.3,4.0,372.2,ok,
PNOA-2024-GAL-561-4667-H29-NPC01.LAZ,561,4667,83.1,3.9,448.0,ok,
PNOA-2024-GAL-557-4663-H29-NPC01.LAZ,557,4663,63.7,3.0,487.4,ok,
PNOA-2024-GAL-558-4671-H29-NPC01.LAZ,558,4671,101.3,6.1,517.0,ok,
PNOA-2024-GAL-560-4665-H29-NPC01.LAZ,560,4665,80.3,3.4,444.9,ok,
PNOA-2024-GAL-559-4675-H29-NPC01.LAZ,559,4675,120.2,0.0,270.4,ok,
PNOA-2024-GAL-558-4670-H29-NPC01.LAZ,558,4670,153.6,6.0,213.1,ok,
PNOA-2024-GAL-558-4666-H29-NPC01.LAZ,558,4666,58.6,2.6,220.7,ok,
PNOA-2024-GAL-556-4663-H29-NPC01.LAZ,556,4663,60.5,2.9,341.1,ok,
PNOA-2024-GAL-564-4667-H29-NPC01.LAZ,564,4667,94.8,16.9,335.5,ok,
PNOA-2024-GAL-559-4670-H29-NPC01.LAZ,559,4670,155.2,5.9,290.1,ok,
PNOA-2024-GAL-559-4668-H29-NPC01.LAZ,559,4668,89.2,3.5,189.9,ok,
PNOA-2024-GAL-564-4668-H29-NPC01.LAZ,564,4668,73.4,2.9,163.6,ok,
PNOA-2024-GAL-552-4677-H29-NPC01.LAZ,552,4677,108.6,4.6,171.0,ok,
PNOA-2024-GAL-552-4676-H29-NPC01.LAZ,552,4676,86.1,3.3,128.4,ok,
