nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
555,4793,33.651683318600234,15.005698294541439,48.65738161314167,Cambre,Bribes (San Cibrán),4,PNOA-2024-GAL-555-4793-H29-NPC01.LAZ
552,4792,41.34141609804496,7.2216064010761585,48.56302249912112,Cambre,Anceis (San Xoán),1,PNOA-2024-GAL-552-4792-H29-NPC01.LAZ
551,4790,32.26159925804645,11.926012415381994,44.18761167342845,Cambre,Anceis (San Xoán),4,PNOA-2024-GAL-551-4790-H29-NPC01.LAZ
551,4791,20.96746053885349,22.78883676196586,43.756297300819355,Cambre,Anceis (San Xoán),2,PNOA-2024-GAL-551-4791-H29-NPC01.LAZ
555,4792,28.247976594217555,15.164367668508183,43.41234426272574,Cambre,Brexo (San Paio),2,PNOA-2024-GAL-555-4792-H29-NPC01.LAZ
516,4727,17.53202379885313,25.319709346883762,42.85173314573689,Rianxo,O Araño (Santa Baia),1,PNOA-2024-GAL-516-4727-H29-NPC01.LAZ
538,4751,17.33686365720412,25.430570111613484,42.767433768817604,Santiago de Compostela,San Caetano (Santiago),2,PNOA-2024-GAL-538-4751-H29-NPC01.LAZ
550,4793,34.46107507729938,7.728038166932196,42.18911324423157,Culleredo,Culleredo (Santo Estevo),3,PNOA-2024-GAL-550-4793-H29-NPC01.LAZ
564,4793,23.02225309183901,18.51242542618201,41.53467851802102,Betanzos,Tiobre (San Martiño),2,PNOA-2024-GAL-564-4793-H29-NPC01.LAZ
564,4794,19.75544120029599,21.720739245809984,41.47618044610597,Betanzos,Tiobre (San Martiño),1,PNOA-2024-GAL-564-4794-H29-NPC01.LAZ
551,4792,26.346492954109795,14.843599389757596,41.19009234386739,Cambre,Anceis (San Xoán),3,PNOA-2024-GAL-551-4792-H29-NPC01.LAZ
515,4722,26.07881479649302,15.057045699181725,41.13586049567475,Rianxo,Rianxo (Santa Comba),2,PNOA-2024-GAL-515-4722-H29-NPC01.LAZ
570,4818,32.46829362938237,8.371968395167404,40.84026202454977,Neda,Santa María de Neda (Santa María),1,PNOA-2024-GAL-570-4818-H29-NPC01.LAZ
556,4792,20.66729367262423,19.972827670970187,40.640121343594416,Cambre,Bribes (San Cibrán),1,PNOA-2024-GAL-556-4792-H29-NPC01.LAZ
554,4792,24.815898149361946,15.770572288885177,40.58647043824712,Cambre,Brexo (San Paio),3,PNOA-2024-GAL-554-4792-H29-NPC01.LAZ
550,4792,25.80479421085609,14.334789344820114,40.139583555676204,Cambre,Sigrás (Santiago),4,PNOA-2024-GAL-550-4792-H29-NPC01.LAZ
552,4793,25.617942274140674,14.040766166515532,39.658708440656206,Cambre,Anceis (San Xoán),4,PNOA-2024-GAL-552-4793-H29-NPC01.LAZ
550,4794,16.513656726028657,22.314741411272376,38.828398137301036,Culleredo,Culleredo (Santo Estevo),3,PNOA-2024-GAL-550-4794-H29-NPC01.LAZ
518,4723,22.74859357093572,15.847710575740878,38.5963041466766,Rianxo,Leiro (Santa María),1,PNOA-2024-GAL-518-4723-H29-NPC01.LAZ
532,4734,9.476885855165206,29.075230508911662,38.552116364076866,Padrón,Carcacia (San Pedro),1,PNOA-2024-GAL-532-4734-H29-NPC01.LAZ
552,4791,30.61042894689506,7.918724369489504,38.529153316384566,Cambre,Anceis (San Xoán),4,PNOA-2024-GAL-552-4791-H29-NPC01.LAZ
552,4794,24.233921815142832,14.087768206119257,38.321690021262086,Cambre,Cambre (Santa María),2,PNOA-2024-GAL-552-4794-H29-NPC01.LAZ
592,4835,18.873648510647698,19.28580332681297,38.159451837460665,Ortigueira,Senra (San Xulián),3,PNOA-2024-GAL-592-4835-H29-NPC01.LAZ
552,4795,20.78457535345783,17.31417788466678,38.09875323812461,Cambre,Cambre (Santa María),3,PNOA-2024-GAL-552-4795-H29-NPC01.LAZ
568,4817,12.669054004760271,25.346538612736413,38.01559261749669,Neda,Santa María de Neda (Santa María),2,PNOA-2024-GAL-568-4817-H29-NPC01.LAZ
557,4786,0.0,37.384621345590524,37.384621345590524,Abegondo,Abegondo (Santaia),1,PNOA-2024-GAL-557-4786-H29-NPC01.LAZ
554,4793,19.180051890054646,17.899417513734583,37.07946940378923,Cambre,Brexo (San Paio),3,PNOA-2024-GAL-554-4793-H29-NPC01.LAZ
555,4794,26.732562777623123,9.778087948106359,36.510650725729484,Cambre,Pravio (San Xoán),4,PNOA-2024-GAL-555-4794-H29-NPC01.LAZ
553,4792,26.386232711965167,10.015532141791416,36.40176485375658,Cambre,Meixigo (San Lourenzo),3,PNOA-2024-GAL-553-4792-H29-NPC01.LAZ
554,4794,20.6581302380246,15.468483562737104,36.1266138007617,Cambre,Cela (San Xulián),2,PNOA-2024-GAL-554-4794-H29-NPC01.LAZ
517,4726,13.230524411166506,22.836372216965472,36.06689662813198,Rianxo,Asados (Santa María),2,PNOA-2024-GAL-517-4726-H29-NPC01.LAZ
541,4796,17.68158349788362,18.348507361248238,36.03009085913186,Arteixo,Arteixo (Santiago),3,PNOA-2024-GAL-541-4796-H29-NPC01.LAZ
576,4836,15.689600032218141,20.09452371828255,35.78412375050069,Cedeira,Cedeira (Santa María do Mar),2,PNOA-2024-GAL-576-4836-H29-NPC01.LAZ
517,4725,14.372406488006073,21.27395976553224,35.64636625353831,Rianxo,Asados (Santa María),1,PNOA-2024-GAL-517-4725-H29-NPC01.LAZ
536,4749,8.378016419672592,27.250415800080006,35.6284322197526,Santiago de Compostela,Vista Alegre (San Xoán),3,PNOA-2024-GAL-536-4749-H29-NPC01.LAZ
529,4740,19.628868356941055,15.843923812499327,35.47279216944038,Rois,Ribasar (Santa María),2,PNOA-2024-GAL-529-4740-H29-NPC01.LAZ
516,4722,21.214231005816853,14.104387388547096,35.31861839436395,Rianxo,Leiro (Santa María),2,PNOA-2024-GAL-516-4722-H29-NPC01.LAZ
548,4797,17.647054593230983,17.364183240543255,35.01123783377424,Culleredo,Rutis (Santa María),2,PNOA-2024-GAL-548-4797-H29-NPC01.LAZ
590,4835,20.235185612363995,14.548581037657524,34.78376665002152,Ortigueira,San Claudio (Santa María),1,PNOA-2024-GAL-590-4835-H29-NPC01.LAZ
492,4745,0.0,34.716673106467404,34.716673106467404,Carnota,San Mamede de Carnota (San Mamede),1,PNOA-2024-GAL-492-4745-H29-NPC01.LAZ
523,4730,12.574319711806794,22.00207478824822,34.57639450005502,Dodro,Laíño (San Xián),2,PNOA-2024-GAL-523-4730-H29-NPC01.LAZ
541,4750,20.081488514200604,14.42885867687432,34.51034719107493,Santiago de Compostela,Bando (Santa Eulalia),2,PNOA-2024-GAL-541-4750-H29-NPC01.LAZ
562,4790,22.835592644919444,11.584059495039558,34.419652139959,Betanzos,Requián (Santiago),2,PNOA-2024-GAL-562-4790-H29-NPC01.LAZ
518,4728,16.348614508229698,18.009832314418404,34.358446822648105,Rianxo,O Araño (Santa Baia),2,PNOA-2024-GAL-518-4728-H29-NPC01.LAZ
514,4725,12.727159118897992,21.545481820537606,34.2726409394356,Rianxo,Taragoña (San Salvador),1,PNOA-2024-GAL-514-4725-H29-NPC01.LAZ
522,4783,1.819066027160872,32.37615469174147,34.19522071890234,Coristanco,Oca (San Martiño),1,PNOA-2024-GAL-522-4783-H29-NPC01.LAZ
525,4735,9.779154423362531,24.30592908502508,34.08508350838761,Rois,Oín (Santa María),2,PNOA-2024-GAL-525-4735-H29-NPC01.LAZ
516,4725,19.095197662411543,14.844667132444295,33.939864794855836,Rianxo,Asados (Santa María),1,PNOA-2024-GAL-516-4725-H29-NPC01.LAZ
539,4746,22.939722785365046,10.931407045827717,33.87112983119276,Santiago de Compostela,Aríns (San Martiño),2,PNOA-2024-GAL-539-4746-H29-NPC01.LAZ
554,4791,27.271217484129203,6.553065112368936,33.824282596498136,Cambre,Andeiro (San Martiño),3,PNOA-2024-GAL-554-4791-H29-NPC01.LAZ
533,4747,9.52624013082769,24.22405827499759,33.750298405825276,Santiago de Compostela,Laraño (San Martiño),3,PNOA-2024-GAL-533-4747-H29-NPC01.LAZ
525,4747,0.0,33.55194258895933,33.55194258895933,Brión,Brión (San Fins),1,PNOA-2024-GAL-525-4747-H29-NPC01.LAZ
564,4792,16.535102876378488,17.016671120001643,33.551773996380135,Betanzos,Brabío (San Martiño),4,PNOA-2024-GAL-564-4792-H29-NPC01.LAZ
550,4791,10.22048503438442,23.280640202934425,33.501125237318846,Culleredo,Sueiro (Santo Estevo),2,PNOA-2024-GAL-550-4791-H29-NPC01.LAZ
537,4794,10.604458320007993,22.838691098072218,33.44314941808021,Arteixo,Barrañán (San Xián),3,PNOA-2024-GAL-537-4794-H29-NPC01.LAZ
539,4744,18.514753858057567,14.92632361437477,33.44107747243234,Santiago de Compostela,Marrozos (Santa María),2,PNOA-2024-GAL-539-4744-H29-NPC01.LAZ
515,4726,20.42740358839582,12.757384725858902,33.18478831425472,Rianxo,Taragoña (San Salvador),2,PNOA-2024-GAL-515-4726-H29-NPC01.LAZ
511,4721,13.872255777674926,19.225935722889446,33.09819150056437,Boiro,Abanqueiro (San Cristovo),2,PNOA-2024-GAL-511-4721-H29-NPC01.LAZ
540,4749,18.174578730457025,14.860088008860803,33.03466673931783,Santiago de Compostela,Aríns (San Martiño),3,PNOA-2024-GAL-540-4749-H29-NPC01.LAZ
557,4794,13.417814388192612,19.48546143735704,32.90327582554965,Cambre,Cecebre (San Salvador),3,PNOA-2024-GAL-557-4794-H29-NPC01.LAZ
556,4794,10.377430956542549,22.461466476536014,32.838897433078564,Cambre,Cecebre (San Salvador),1,PNOA-2024-GAL-556-4794-H29-NPC01.LAZ
517,4722,22.037326566017924,10.683036667307734,32.720363233325656,Rianxo,Leiro (Santa María),1,PNOA-2024-GAL-517-4722-H29-NPC01.LAZ
580,4757,23.335298816341336,9.366584998034206,32.70188381437554,Melide,Folladela (San Pedro),2,PNOA-2024-GAL-580-4757-H29-NPC01.LAZ
525,4779,0.8816619603975593,31.70376578510778,32.58542774550534,Carballo,Rus (Santa María),2,PNOA-2024-GAL-525-4779-H29-NPC01.LAZ
569,4818,13.484981080728616,19.02447333072077,32.50945441144938,Neda,Santa María de Neda (Santa María),1,PNOA-2024-GAL-569-4818-H29-NPC01.LAZ
555,4791,20.941507259532624,11.441461339854257,32.382968599386885,Cambre,Brexo (San Paio),3,PNOA-2024-GAL-555-4791-H29-NPC01.LAZ
579,4752,11.040052236980559,21.328209787761946,32.368262024742506,Melide,Santa María de Melide (Santa María),2,PNOA-2024-GAL-579-4752-H29-NPC01.LAZ
566,4786,7.927392158481457,24.392154502015572,32.319546660497025,Oza dos Ríos,Oza (San Pedro),2,PNOA-2024-GAL-566-4786-H29-NPC01.LAZ
537,4791,13.216408595253704,19.054691325551616,32.27109992080532,Arteixo,Larín (Santo Estevo),1,PNOA-2024-GAL-537-4791-H29-NPC01.LAZ
554,4773,0.5584677616305407,31.619959125364318,32.178426886994856,Ordes,Vilamaior (Santiago),1,PNOA-2024-GAL-554-4773-H29-NPC01.LAZ
524,4735,12.354454107600567,19.71007565753955,32.06452976514012,Rois,Rois (San Mamede),1,PNOA-2024-GAL-524-4735-H29-NPC01.LAZ
502,4714,7.850727647937518,24.190528134569004,32.041255782506525,Ribeira,Palmeira (San Pedro),1,PNOA-2024-GAL-502-4714-H29-NPC01.LAZ
487,4778,0.0,31.960584985803546,31.960584985803546,Camariñas,Xaviña (Santa María),1,PNOA-2024-GAL-487-4778-H29-NPC01.LAZ
530,4789,0.0,31.946989507126197,31.946989507126197,A Laracha,Cabovilaño (San Román),1,PNOA-2024-GAL-530-4789-H29-NPC01.LAZ
556,4793,22.55316729479423,9.320230344284951,31.87339763907918,Cambre,Bribes (San Cibrán),3,PNOA-2024-GAL-556-4793-H29-NPC01.LAZ
510,4719,9.980425369967195,21.83385088152071,31.814276251487904,Boiro,Castro (Santa María),2,PNOA-2024-GAL-510-4719-H29-NPC01.LAZ
