nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
559,4674,11.844977539399938,26.178077828515313,38.02305536791525,A Cañiza,A Cañiza (Santa Teresa),2,PNOA-2024-GAL-559-4674-H29-NPC01.LAZ
562,4668,12.976063183573642,22.991913119597925,35.96797630317157,Crecente,Vilar (San Xorxe),2,PNOA-2024-GAL-562-4668-H29-NPC01.LAZ
557,4670,6.024893723969242,29.114186614857218,35.13908033882646,A Cañiza,Parada das Achas (Santiago),1,PNOA-2024-GAL-557-4670-H29-NPC01.LAZ
560,4674,10.817983607711087,24.015082554994525,34.83306616270561,A Cañiza,A Cañiza (Santa Teresa),2,PNOA-2024-GAL-560-4674-H29-NPC01.LAZ
562,4667,8.184034937621064,24.419350309263248,32.603385246884315,Crecente,Albeos (San Xoán),3,PNOA-2024-GAL-562-4667-H29-NPC01.LAZ
556,4668,3.740489466898533,28.2465052585944,31.986994725492934,A Cañiza,Luneda (Santa María),1,PNOA-2024-GAL-556-4668-H29-NPC01.LAZ
559,4669,6.556472197771412,24.87550061195513,31.431972809726542,A Cañiza,Valeixe (Santa Cristina),1,PNOA-2024-GAL-559-4669-H29-NPC01.LAZ
561,4667,9.179429066027353,21.116196626772055,30.29562569279941,Crecente,Albeos (San Xoán),1,PNOA-2024-GAL-561-4667-H29-NPC01.LAZ
549,4679,13.61210911503017,16.67198884023836,30.28409795526853,Covelo,Barcia de Mera (San Martiño),1,PNOA-2024-GAL-549-4679-H29-NPC01.LAZ
557,4663,3.5127350056679325,26.514376686622686,30.027111692290617,Arbo,Arbo (Santa María),1,PNOA-2024-GAL-557-4663-H29-NPC01.LAZ
558,4671,5.265642105231049,24.46623544521543,29.731877550446477,A Cañiza,Parada das Achas (Santiago),2,PNOA-2024-GAL-558-4671-H29-NPC01.LAZ
560,4665,9.761321174048371,19.81232383499767,29.57364500904604,Arbo,Cequeliños (San Miguel),1,PNOA-2024-GAL-560-4665-H29-NPC01.LAZ
559,4675,5.819459385339924,23.349454870220463,29.168914255560388,A Cañiza,A Cañiza (Santa Teresa),3,PNOA-2024-GAL-559-4675-H29-NPC01.LAZ
558,4670,4.898999737564903,23.836399857524434,28.735399595089337,A Cañiza,Valeixe (Santa Cristina),2,PNOA-2024-GAL-558-4670-H29-NPC01.LAZ
558,4666,2.7074845799448477,25.623258663465652,28.3307432434105,Arbo,Mourentán (San Cristovo),1,PNOA-2024-GAL-558-4666-H29-NPC01.LAZ
556,4663,2.128411798663905,25.970004528204154,28.09841632686806,Arbo,Arbo (Santa María),1,PNOA-2024-GAL-556-4663-H29-NPC01.LAZ
564,4667,3.743686557134799,24.203165397957907,27.946851955092704,Crecente,Ribeira (Santa Mariña),3,PNOA-2024-GAL-564-4667-H29-NPC01.LAZ
559,4670,8.660399533980783,19.148359206592666,27.80875874057345,A Cañiza,Valeixe (Santa Cristina),1,PNOA-2024-GAL-559-4670-H29-NPC01.LAZ
559,4668,3.9548029754871195,22.789184167314374,26.743987142801494,A Cañiza,Valeixe (Santa Cristina),1,PNOA-2024-GAL-559-4668-H29-NPC01.LAZ
564,4668,6.460697176023946,19.65994631845169,26.120643494475637,Crecente,Crecente (San Pedro),2,PNOA-2024-GAL-564-4668-H29-NPC01.LAZ
552,4677,1.1467958812512957,24.078313103945085,25.225108985196382,Covelo,Santiago de Covelo (Santiago),2,PNOA-2024-GAL-552-4677-H29-NPC01.LAZ
552,4676,3.0414299944072933,21.94935208906457,24.990782083471863,Covelo,Santiago de Covelo (Santiago),2,PNOA-2024-GAL-552-4676-H29-NPC01.LAZ
562,4669,8.448933250307471,16.323328313549297,24.772261563856766,Crecente,Vilar (San Xorxe),1,PNOA-2024-GAL-562-4669-H29-NPC01.LAZ
560,4675,8.140153241834577,16.51934324271653,24.659496484551106,A Cañiza,A Cañiza (Santa Teresa),2,PNOA-2024-GAL-560-4675-H29-NPC01.LAZ
559,4667,3.3764847476309536,21.243030366580275,24.61951511421123,Crecente,Albeos (San Xoán),3,PNOA-2024-GAL-559-4667-H29-NPC01.LAZ
561,4675,3.7328934149254414,20.827543939925462,24.560437354850905,A Cañiza,Oroso (Santa María),1,PNOA-2024-GAL-561-4675-H29-NPC01.LAZ
563,4666,7.745455377276999,16.18307853511466,23.928533912391657,Crecente,Ribeira (Santa Mariña),1,PNOA-2024-GAL-563-4666-H29-NPC01.LAZ
562,4671,1.8390817356202052,22.019110294899928,23.858192030520133,A Cañiza,O Couto (San Bartolomeu),1,PNOA-2024-GAL-562-4671-H29-NPC01.LAZ
555,4662,6.899914523866555,16.92752088857116,23.827435412437715,Arbo,Barcela (San Xoán),3,PNOA-2024-GAL-555-4662-H29-NPC01.LAZ
558,4679,1.2953864677334919,22.06565323762706,23.361039705360554,A Cañiza,Petán (San Xián),1,PNOA-2024-GAL-558-4679-H29-NPC01.LAZ
