nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
532,4680,36.542967260464856,14.126236955660792,50.66920421612565,Redondela,Quintela (San Mamede),4,PNOA-2024-GAL-532-4680-H29-NPC01.LAZ
531,4681,22.447077863986735,24.639948444019584,47.087026308006315,Redondela,Cedeira (Santo André),2,PNOA-2024-GAL-531-4681-H29-NPC01.LAZ
530,4678,23.994289860260295,20.89078245050684,44.885072310767136,Redondela,Cabeiro (San Xoán),3,PNOA-2024-GAL-530-4678-H29-NPC01.LAZ
532,4679,17.17353058439461,27.665972755957686,44.839503340352294,Redondela,Saxamonde (San Román),3,PNOA-2024-GAL-532-4679-H29-NPC01.LAZ
533,4682,15.888641118102704,26.721401178577324,42.61004229668003,Redondela,Reboreda (Santa María),1,PNOA-2024-GAL-533-4682-H29-NPC01.LAZ
533,4683,19.893521540186974,22.67682301678203,42.570344556969005,Redondela,Reboreda (Santa María),3,PNOA-2024-GAL-533-4683-H29-NPC01.LAZ
532,4684,19.455164644480615,22.255981117541875,41.71114576202249,Redondela,Cesantes (San Pedro),2,PNOA-2024-GAL-532-4684-H29-NPC01.LAZ
510,4697,21.062524512179074,20.552223710747256,41.61474822292633,Sanxenxo,Noalla (Santo Estevo),1,PNOA-2024-GAL-510-4697-H29-NPC01.LAZ
521,4717,16.23699174953163,25.227641455475645,41.464633205007274,Vilagarcía de Arousa,Cea (San Pedro),2,PNOA-2024-GAL-521-4717-H29-NPC01.LAZ
531,4679,17.987309902534907,23.19136136215825,41.17867126469316,Redondela,Negros (Santo Estevo),3,PNOA-2024-GAL-531-4679-H29-NPC01.LAZ
537,4668,2.521334923775626,38.46091614971429,40.98225107348992,Ponteareas,Guláns (San Xulián),2,PNOA-2024-GAL-537-4668-H29-NPC01.LAZ
549,4735,5.428019773277538,35.479926170912464,40.907945944190004,A Estrada,Arnois (San Xiao),3,PNOA-2024-GAL-549-4735-H29-NPC01.LAZ
532,4683,17.050481984537036,23.3425554425221,40.39303742705914,Redondela,Cesantes (San Pedro),3,PNOA-2024-GAL-532-4683-H29-NPC01.LAZ
542,4668,2.6274372640616495,37.735432522667274,40.36286978672892,Ponteareas,San Mateo de Oliveira (San Mateo),2,PNOA-2024-GAL-542-4668-H29-NPC01.LAZ
525,4728,12.497541319030466,27.53206405642307,40.029605375453535,Valga,Cordeiro (Santa Comba),1,PNOA-2024-GAL-525-4728-H29-NPC01.LAZ
542,4726,27.65135694878883,12.13245061073994,39.78380755952877,A Estrada,Ouzande (San Lourenzo),3,PNOA-2024-GAL-542-4726-H29-NPC01.LAZ
541,4674,1.7708726295335826,37.84755294958995,39.61842557912353,Ponteareas,Pías (Santa Mariña),2,PNOA-2024-GAL-541-4674-H29-NPC01.LAZ
516,4713,8.540345178285518,31.026034194540717,39.56637937282623,Vilagarcía de Arousa,Sobrán (San Martiño de Fóra),2,PNOA-2024-GAL-516-4713-H29-NPC01.LAZ
539,4667,3.1023465174430105,36.095598751760136,39.197945269203146,Ponteareas,Cristiñade (San Salvador),4,PNOA-2024-GAL-539-4667-H29-NPC01.LAZ
528,4680,27.721019997263497,11.455218793161686,39.17623879042518,Redondela,Trasmañó (San Vicente),2,PNOA-2024-GAL-528-4680-H29-NPC01.LAZ
539,4672,7.171037908420352,31.532980165145027,38.70401807356538,Ponteareas,Ribadetea (San Xurxo),1,PNOA-2024-GAL-539-4672-H29-NPC01.LAZ
515,4704,11.4246336747277,27.224722854794358,38.64935652952206,Cambados,Castrelo (Santa Cruz),1,PNOA-2024-GAL-515-4704-H29-NPC01.LAZ
528,4728,11.201879514967084,27.345142840601902,38.547022355568984,Valga,Xanza (Santa María),2,PNOA-2024-GAL-528-4728-H29-NPC01.LAZ
538,4670,4.467033435665817,34.021032206555894,38.48806564222171,Ponteareas,Areas (Santa María),2,PNOA-2024-GAL-538-4670-H29-NPC01.LAZ
533,4686,14.373839680813141,23.92532658245333,38.29916626326647,Redondela,O Viso (Santa María),2,PNOA-2024-GAL-533-4686-H29-NPC01.LAZ
538,4667,2.711450292608637,35.39417025548297,38.10562054809161,Ponteareas,Cristiñade (San Salvador),2,PNOA-2024-GAL-538-4667-H29-NPC01.LAZ
559,4674,11.844977539399938,26.178077828515313,38.02305536791525,A Cañiza,A Cañiza (Santa Teresa),2,PNOA-2024-GAL-559-4674-H29-NPC01.LAZ
532,4685,9.321088577231714,28.61187417024812,37.932962747479834,Redondela,O Viso (Santa María),2,PNOA-2024-GAL-532-4685-H29-NPC01.LAZ
