umbral,recall,especificidad,precision,fpr,youden
-0.1,0.9953,0.0398,0.2855,0.9602,0.0351
-0.095,0.9944,0.0455,0.2866,0.9545,0.04
-0.09,0.9938,0.0529,0.288,0.9471,0.0467
-0.085,0.9935,0.0605,0.2896,0.9395,0.054
-0.08,0.9935,0.0672,0.2911,0.9328,0.0607
-0.075,0.993,0.0777,0.2933,0.9223,0.0707
-0.07,0.993,0.0874,0.2955,0.9126,0.0804
-0.065,0.9924,0.101,0.2985,0.899,0.0935
-0.06,0.9908,0.1123,0.3008,0.8877,0.1031
-0.055,0.9896,0.1301,0.3049,0.8699,0.1197
-0.05,0.9879,0.1453,0.3082,0.8547,0.1333
-0.045,0.9865,0.1632,0.3125,0.8368,0.1498
-0.04,0.9835,0.18,0.3162,0.82,0.1635
-0.035,0.9814,0.2001,0.3211,0.7999,0.1814
-0.03,0.9785,0.2178,0.3254,0.7822,0.1963
-0.025,0.9765,0.2353,0.3299,0.7647,0.2118
-0.02,0.974,0.2539,0.3348,0.7461,0.2279
-0.015,0.9707,0.2719,0.3395,0.7281,0.2426
-0.01,0.9678,0.2913,0.3449,0.7087,0.259
-0.005,0.9652,0.306,0.349,0.694,0.2712
0.0,0.9608,0.3244,0.3541,0.6756,0.2852
0.005,0.9563,0.3421,0.3591,0.6579,0.2984
0.01,0.9527,0.3572,0.3636,0.6428,0.3098
0.015,0.9466,0.3725,0.3677,0.6275,0.3191
0.02,0.9425,0.387,0.3721,0.613,0.3295
0.025,0.9387,0.3995,0.376,0.6005,0.3382
0.03,0.9337,0.4133,0.3803,0.5867,0.3471
0.035,0.9283,0.4249,0.3836,0.5751,0.3532
0.04,0.9244,0.436,0.3872,0.564,0.3604
0.045,0.919,0.4493,0.3915,0.5507,0.3683
0.05,0.9134,0.4593,0.3944,0.5407,0.3728
0.055,0.9082,0.4694,0.3975,0.5306,0.3776
0.06,0.9037,0.4792,0.4008,0.5208,0.3829
0.065,0.8988,0.4873,0.4033,0.5127,0.3861
0.07,0.8943,0.4967,0.4065,0.5033,0.391
0.075,0.8874,0.5059,0.4091,0.4941,0.3932
0.08,0.8834,0.5142,0.4121,0.4858,0.3976
0.085,0.8754,0.5221,0.4139,0.4779,0.3975
0.09,0.8692,0.5314,0.4169,0.4686,0.4005
0.095,0.8631,0.5414,0.4205,0.4586,0.4045
0.1,0.8585,0.55,0.4238,0.45,0.4084
0.105,0.8547,0.5585,0.4274,0.4415,0.4132
0.11,0.8471,0.566,0.4294,0.434,0.4131
0.115,0.841,0.576,0.4333,0.424,0.4171
0.12,0.8343,0.5853,0.4368,0.4147,0.4196
0.125,0.8295,0.5933,0.4402,0.4067,0.4228
0.13,0.8222,0.6019,0.4432,0.3981,0.424
0.135,0.8145,0.6113,0.4468,0.3887,0.4258
0.14,0.8077,0.6203,0.4506,0.3797,0.428
0.145,0.8002,0.6296,0.4544,0.3704,0.4298
0.15,0.7962,0.6373,0.4583,0.3627,0.4335
0.155,0.7874,0.6447,0.4607,0.3553,0.4321
0.16,0.779,0.6543,0.4649,0.3457,0.4334
0.165,0.7681,0.6641,0.4685,0.3359,0.4322
0.17,0.7542,0.6715,0.4695,0.3285,0.4257
0.175,0.7466,0.68,0.4735,0.32,0.4266
0.18,0.7355,0.6892,0.4771,0.3108,0.4247
0.185,0.723,0.699,0.4808,0.301,0.422
0.19,0.7091,0.7077,0.4833,0.2923,0.4169
0.195,0.6935,0.7159,0.4848,0.2841,0.4093
0.2,0.6824,0.7244,0.4884,0.2756,0.4069
0.205,0.6701,0.733,0.4918,0.267,0.4031
0.21,0.6534,0.742,0.494,0.258,0.3955
0.215,0.6383,0.7509,0.497,0.2491,0.3893
0.22,0.6197,0.7634,0.5024,0.2366,0.383
0.225,0.6005,0.7733,0.5052,0.2267,0.3738
0.23,0.5805,0.7832,0.508,0.2168,0.3638
0.235,0.5589,0.7919,0.5086,0.2081,0.3508
0.24,0.5393,0.8028,0.5132,0.1972,0.3421
0.245,0.5178,0.814,0.5177,0.186,0.3318
0.25,0.4945,0.8238,0.5196,0.1762,0.3182
0.255,0.4686,0.8327,0.5192,0.1673,0.3013
0.26,0.4376,0.8407,0.5144,0.1593,0.2783
0.265,0.4114,0.8502,0.5143,0.1498,0.2616
0.27,0.385,0.8591,0.513,0.1409,0.2441
0.275,0.3551,0.8668,0.5068,0.1332,0.2219
0.28,0.327,0.8755,0.5031,0.1245,0.2025
0.285,0.3026,0.8856,0.5048,0.1144,0.1882
0.29,0.2752,0.8935,0.499,0.1065,0.1687
0.295,0.2474,0.9007,0.49,0.0993,0.1481
0.3,0.227,0.9089,0.49,0.0911,0.1359
0.305,0.2033,0.9168,0.4849,0.0832,0.1201
0.31,0.1784,0.9226,0.4707,0.0774,0.1011
0.315,0.1553,0.9282,0.4549,0.0718,0.0836
0.32,0.1352,0.9342,0.4421,0.0658,0.0695
0.325,0.1162,0.9414,0.4332,0.0586,0.0576
0.33,0.0986,0.9467,0.4163,0.0533,0.0453
0.335,0.0819,0.9511,0.3921,0.0489,0.0329
0.34,0.0723,0.9565,0.3902,0.0435,0.0287
0.345,0.0578,0.9608,0.3625,0.0392,0.0186
0.35,0.0474,0.9644,0.3393,0.0356,0.0118
0.355,0.0392,0.9675,0.3178,0.0325,0.0068
0.36,0.0329,0.9701,0.2982,0.0299,0.0031
0.365,0.0282,0.9716,0.2765,0.0284,-0.0002
0.37,0.0254,0.974,0.2739,0.026,-0.0006
0.375,0.0195,0.9755,0.2344,0.0245,-0.005
0.38,0.0156,0.9776,0.2117,0.0224,-0.0068
0.385,0.0131,0.9802,0.203,0.0198,-0.0067
0.39,0.0116,0.982,0.1984,0.018,-0.0064
0.395,0.0081,0.9829,0.1538,0.0171,-0.0091
0.4,0.0063,0.9844,0.1343,0.0156,-0.0093
0.405,0.0049,0.9853,0.113,0.0147,-0.0098
0.41,0.0038,0.9861,0.0955,0.0139,-0.0101
0.415,0.0029,0.9866,0.0762,0.0134,-0.0105
0.42,0.0026,0.9868,0.0697,0.0132,-0.0106
0.425,0.0019,0.9868,0.0533,0.0132,-0.0112
0.43,0.0014,0.987,0.0398,0.013,-0.0116
0.435,0.0011,0.9872,0.0319,0.0128,-0.0117
0.44,0.0,0.9877,0.0,0.0123,-0.0123
0.445,0.0,0.9881,0.0,0.0119,-0.0119
0.45,0.0,0.9883,0.0,0.0117,-0.0117
0.455,0.0,0.9888,0.0,0.0112,-0.0112
0.46,0.0,0.9892,0.0,0.0108,-0.0108
0.465,0.0,0.9893,0.0,0.0107,-0.0107
0.47,0.0,0.9894,0.0,0.0106,-0.0106
0.475,0.0,0.9896,0.0,0.0104,-0.0104
0.48,0.0,0.9897,0.0,0.0103,-0.0103
0.485,0.0,0.9897,0.0,0.0103,-0.0103
0.49,0.0,0.9899,0.0,0.0101,-0.0101
0.495,0.0,0.99,0.0,0.01,-0.01
0.5,0.0,0.99,0.0,0.01,-0.01
0.505,0.0,0.9904,0.0,0.0096,-0.0096
