faixa_id,capa,concello,parroquia,codparro,bloque,px_medidos,ha_medida,ha_poligono_en_bloque,h_mediana,h_p90,h_max,ha_sobre_2m,pct_sobre_2m,ha_sobre_3m,pct_sobre_3m,ha_sobre_5m,pct_sobre_5m,ha_sobre_5.5m,pct_sobre_5.5m,ha_sobre_8m,pct_sobre_8m,ha_sobre_10m,pct_sobre_10m,ha_sobre_35m,pct_sobre_35m
ill-26,illadas,Covelo,Casteláns (Santo Estevo),3601303.0,PNOA-2024-GAL-548-4677-H29-NPC01_chm.tif,241,0.0241,0.0243,17.99,19.91,21.18,0.0209,86.72,0.0209,86.72,0.0209,86.72,0.0209,86.72,0.0209,86.72,0.0209,86.72,0.0,0.0
nuc-16,nucleos,Covelo,Barcia de Mera (San Martiño),3601301.0,PNOA-2024-GAL-548-4679-H29-NPC01_chm.tif,15001,1.5001,1.5012,15.25,21.67,173.05,1.4372,95.81,1.398,93.19,1.331,88.73,1.3189,87.92,1.2454,83.02,1.1647,77.64,0.0092,0.61
nuc-16,nucleos,Covelo,Barcia de Mera (San Martiño),3601301.0,PNOA-2024-GAL-548-4680-H29-NPC01_chm.tif,9321,0.9321,0.9366,19.24,30.37,37.85,0.9179,98.48,0.9156,98.23,0.9068,97.29,0.9034,96.92,0.879,94.3,0.8493,91.12,0.0068,0.73
nuc-18,nucleos,Covelo,Barcia de Mera (San Martiño),3601301.0,PNOA-2024-GAL-548-4680-H29-NPC01_chm.tif,69749,6.9749,6.972,5.93,23.1,41.94,4.5967,65.9,4.2377,60.76,3.7126,53.23,3.5955,51.55,3.0428,43.62,2.6659,38.22,0.0644,0.92
ill-20,illadas,Covelo,Barcia de Mera (San Martiño),3601301.0,PNOA-2024-GAL-548-4680-H29-NPC01_chm.tif,13097,1.3097,1.3103,2.15,14.86,34.95,0.6677,50.98,0.5926,45.25,0.4947,37.77,0.4789,36.57,0.3707,28.3,0.2877,21.97,0.0,0.0
ill-36,illadas,Covelo,Barcia de Mera (San Martiño),3601301.0,PNOA-2024-GAL-548-4680-H29-NPC01_chm.tif,3080,0.308,0.3079,15.23,23.66,32.05,0.2735,88.8,0.2657,86.27,0.2535,82.31,0.2522,81.88,0.2424,78.7,0.2235,72.56,0.0,0.0
nuc-18,nucleos,Covelo,Barcia de Mera (San Martiño),3601301.0,PNOA-2024-GAL-548-4681-H29-NPC01_chm.tif,11800,1.18,1.1869,16.79,26.0,39.8,1.0964,92.92,1.067,90.42,1.0145,85.97,0.9994,84.69,0.9322,79.0,0.8755,74.19,0.0223,1.89
ill-20,illadas,Covelo,Barcia de Mera (San Martiño),3601301.0,PNOA-2024-GAL-548-4681-H29-NPC01_chm.tif,813,0.0813,0.0817,18.28,23.5,26.62,0.0812,99.88,0.0812,99.88,0.081,99.63,0.0809,99.51,0.0789,97.05,0.0757,93.11,0.0,0.0
nuc-13,nucleos,Covelo,Paraños (Santa María),3601311.0,PNOA-2024-GAL-549-4673-H29-NPC01_chm.tif,21738,2.1738,2.1855,17.88,26.78,39.4,1.8891,86.9,1.8372,84.52,1.7419,80.13,1.7257,79.39,1.6418,75.53,1.5456,71.1,0.0166,0.76
ill-43,illadas,Covelo,Paraños (Santa María),3601311.0,PNOA-2024-GAL-549-4673-H29-NPC01_chm.tif,12235,1.2235,1.2244,1.21,19.88,40.24,0.538,43.97,0.4659,38.08,0.3588,29.33,0.3388,27.69,0.2791,22.81,0.2533,20.7,0.0094,0.77
