faixa_id,capa,concello,parroquia,codparro,bloque,px_medidos,ha_medida,ha_poligono_en_bloque,h_mediana,h_p90,h_max,ha_sobre_2m,pct_sobre_2m,ha_sobre_3m,pct_sobre_3m,ha_sobre_5m,pct_sobre_5m,ha_sobre_5.5m,pct_sobre_5.5m,ha_sobre_8m,pct_sobre_8m,ha_sobre_10m,pct_sobre_10m,ha_sobre_35m,pct_sobre_35m
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-508-4657-H29-NPC01_chm.tif,3130,0.313,0.3242,0.57,2.99,13.85,0.0455,14.54,0.0313,10.0,0.0264,8.43,0.0255,8.15,0.0175,5.59,0.0075,2.4,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-508-4658-H29-NPC01_chm.tif,25894,2.5894,2.6021,0.35,0.81,15.45,0.0316,1.22,0.0166,0.64,0.0064,0.25,0.0059,0.23,0.0011,0.04,0.0008,0.03,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-508-4659-H29-NPC01_chm.tif,13455,1.3455,1.3466,0.76,7.82,17.94,0.3155,23.45,0.2444,18.16,0.1883,13.99,0.1799,13.37,0.1309,9.73,0.1133,8.42,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-508-4660-H29-NPC01_chm.tif,30002,3.0002,3.0,0.71,13.96,25.52,1.1118,37.06,0.8801,29.33,0.6871,22.9,0.6521,21.74,0.5044,16.81,0.4378,14.59,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-508-4661-H29-NPC01_chm.tif,46032,4.6032,4.6035,1.78,15.01,27.72,2.2144,48.11,1.8971,41.21,1.5436,33.53,1.4803,32.16,1.2308,26.74,1.0532,22.88,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-508-4662-H29-NPC01_chm.tif,22984,2.2984,2.3144,0.92,8.81,23.58,0.6715,29.22,0.5112,22.24,0.3619,15.75,0.3416,14.86,0.2541,11.06,0.2016,8.77,0.0,0.0
nuc-505,nucleos,Baiona,Baredo (Santa María),3600302.0,PNOA-2024-GAL-508-4662-H29-NPC01_chm.tif,2420,0.242,0.2427,1.18,2.36,4.37,0.044,18.18,0.0046,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc-29,nucleos,A Guarda,Camposancos (Santa Isabel),3602301.0,PNOA-2024-GAL-509-4637-H29-NPC01_chm.tif,5425,0.5425,0.5482,0.29,0.93,8.4,0.0182,3.35,0.01,1.84,0.009,1.66,0.0087,1.6,0.0015,0.28,0.0,0.0,0.0,0.0
nuc-123,nucleos,A Guarda,A Guarda (Santa María),3602302.0,PNOA-2024-GAL-509-4637-H29-NPC01_chm.tif,1617,0.1617,0.1624,0.21,0.46,3.55,0.0042,2.6,0.0016,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc-123,nucleos,A Guarda,A Guarda (Santa María),3602302.0,PNOA-2024-GAL-509-4638-H29-NPC01_chm.tif,23441,2.3441,2.3437,0.38,2.27,10.88,0.2673,11.4,0.1751,7.47,0.1047,4.47,0.0934,3.98,0.0216,0.92,0.0038,0.16,0.0,0.0
