concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
A Cañiza,Valeixe (Santa Cristina),3600909.0,257.154,148.038,119.644,100.663,96.824,80.134,68.263,1.39,57.57,46.53,39.14,37.65,31.16,26.55,0.54
A Cañiza,Parada das Achas (Santiago),3600907.0,156.869,96.649,89.133,78.668,76.245,64.779,55.524,0.484,61.61,56.82,50.15,48.6,41.3,35.4,0.31
Arbo,Mourentán (San Cristovo),3600105.0,160.034,97.802,79.212,67.35,64.904,54.783,47.707,2.145,61.11,49.5,42.08,40.56,34.23,29.81,1.34
Covelo,Barcia de Mera (San Martiño),3601301.0,102.208,67.466,61.704,54.242,52.666,45.738,40.48,0.577,66.01,60.37,53.07,51.53,44.75,39.61,0.56
A Cañiza,A Cañiza (Santa Teresa),3600902.0,122.189,69.995,63.87,54.237,52.348,43.775,37.039,0.471,57.28,52.27,44.39,42.84,35.83,30.31,0.39
Crecente,Albeos (San Xoán),3601401.0,141.253,81.52,59.625,50.338,48.553,41.49,36.534,0.406,57.71,42.21,35.64,34.37,29.37,25.86,0.29
A Cañiza,Oroso (Santa María),3600906.0,131.706,63.651,57.7,48.77,46.666,36.926,28.968,0.038,48.33,43.81,37.03,35.43,28.04,21.99,0.03
A Cañiza,O Couto (San Bartolomeu),3600903.0,103.21,59.641,54.649,47.666,46.157,38.938,33.22,1.148,57.79,52.95,46.18,44.72,37.73,32.19,1.11
A Cañiza,As Achas (San Sebastián),3600901.0,137.711,62.07,56.594,47.95,45.913,36.569,29.318,0.255,45.07,41.1,34.82,33.34,26.56,21.29,0.19
A Cañiza,Petán (San Xián),3600908.0,123.143,61.51,56.466,47.225,45.186,36.151,29.382,0.236,49.95,45.85,38.35,36.69,29.36,23.86,0.19
Crecente,Crecente (San Pedro),3601404.0,77.113,54.983,49.348,44.511,43.499,38.947,35.28,1.141,71.3,63.99,57.72,56.41,50.51,45.75,1.48
Crecente,Filgueira (San Pedro),3601405.0,49.472,42.339,40.799,38.434,37.832,34.604,31.835,0.889,85.58,82.47,77.69,76.47,69.95,64.35,1.8
Covelo,Santiago de Covelo (Santiago),3601305.0,63.557,42.917,40.487,36.651,35.843,31.841,28.346,0.53,67.52,63.7,57.67,56.39,50.1,44.6,0.83
Covelo,Covelo (Santa Mariña),3601304.0,65.216,42.313,39.789,36.047,35.172,30.942,27.434,0.729,64.88,61.01,55.27,53.93,47.45,42.07,1.12
Crecente,Rebordechán (Santa María),3601408.0,48.428,37.8,36.431,34.085,33.548,30.605,27.916,0.753,78.05,75.23,70.38,69.27,63.2,57.64,1.56
Arbo,Arbo (Santa María),3600101.0,143.409,80.041,45.291,33.971,31.863,23.961,19.662,0.425,55.81,31.58,23.69,22.22,16.71,13.71,0.3
Crecente,Ribeira (Santa Mariña),3601409.0,58.441,40.231,36.435,32.24,31.356,27.44,24.393,0.275,68.84,62.34,55.17,53.65,46.95,41.74,0.47
Covelo,Maceira (San Salvador),3601310.0,77.649,39.988,36.806,31.771,30.618,25.292,20.957,0.111,51.5,47.4,40.92,39.43,32.57,26.99,0.14
Crecente,Vilar (San Xorxe),3601411.0,66.483,43.778,31.054,26.833,26.127,23.103,20.883,0.871,65.85,46.71,40.36,39.3,34.75,31.41,1.31
A Cañiza,Luneda (Santa María),3600905.0,63.772,33.596,30.218,26.066,25.198,21.296,18.264,0.497,52.68,47.38,40.87,39.51,33.39,28.64,0.78
Covelo,Casteláns (Santo Estevo),3601303.0,43.512,26.876,24.884,21.853,21.242,18.442,16.253,0.071,61.77,57.19,50.22,48.82,42.38,37.35,0.16
