concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
A Cañiza,Valeixe (Santa Cristina),257.154,96.824,65.682,50.597,31.142,73.094,37.65,19.68,28.42
Arbo,Mourentán (San Cristovo),159.965,64.904,38.781,31.676,26.123,50.547,40.57,19.8,31.6
A Cañiza,A Cañiza (Santa Teresa),122.189,52.348,33.947,27.807,18.402,41.101,42.84,22.76,33.64
A Cañiza,Oroso (Santa María),131.706,46.666,37.098,27.437,9.568,34.349,35.43,20.83,26.08
Crecente,Albeos (San Xoán),141.22,48.553,37.07,26.915,11.483,35.211,34.38,19.06,24.93
Crecente,Crecente (San Pedro),77.113,43.499,35.333,24.934,8.166,30.832,56.41,32.33,39.98
A Cañiza,O Couto (San Bartolomeu),103.21,46.157,33.097,24.93,13.06,34.365,44.72,24.15,33.3
A Cañiza,As Achas (San Sebastián),137.711,45.913,27.293,24.516,18.62,37.967,33.34,17.8,27.57
A Cañiza,Parada das Achas (Santiago),156.856,76.245,52.339,23.339,23.906,40.609,48.61,14.88,25.89
Covelo,Barcia de Mera (San Martiño),102.208,52.666,35.488,20.251,17.178,32.661,51.53,19.81,31.95
Crecente,Rebordechán (Santa María),48.428,33.548,25.449,18.543,8.099,24.394,69.27,38.29,50.37
Crecente,Ribeira (Santa Mariña),58.441,31.356,25.732,18.249,5.623,22.311,53.65,31.23,38.18
Crecente,Vilar (San Xorxe),66.483,26.127,20.41,17.601,5.717,21.732,39.3,26.48,32.69
Crecente,Filgueira (San Pedro),49.472,37.832,31.746,16.342,6.086,20.738,76.47,33.03,41.92
A Cañiza,Petán (San Xián),123.143,45.186,30.064,16.111,15.122,27.035,36.69,13.08,21.95
Arbo,Arbo (Santa María),143.409,31.863,20.734,15.074,11.13,23.113,22.22,10.51,16.12
Covelo,Covelo (Santa Mariña),65.216,35.172,23.773,14.983,11.398,23.218,53.93,22.98,35.6
Covelo,Santiago de Covelo (Santiago),63.557,35.843,26.667,14.185,9.175,20.814,56.39,22.32,32.75
Crecente,Angudes (San Xoán),22.851,16.902,14.135,11.064,2.767,13.062,73.97,48.42,57.16
Crecente,O Freixo (San Roque),24.715,16.292,14.084,10.214,2.208,11.809,65.92,41.33,47.78
Crecente,A Ameixeira (San Bernabeu),36.542,16.895,12.027,9.866,4.868,13.383,46.24,27.0,36.62
A Cañiza,Luneda (Santa María),63.772,25.198,10.855,9.727,14.343,20.088,39.51,15.25,31.5
Arbo,Cequeliños (San Miguel),48.078,15.693,11.676,9.625,4.017,12.526,32.64,20.02,26.05
Crecente,Quintela (San Caetano),33.483,15.456,13.255,9.241,2.201,10.831,46.16,27.6,32.35
Covelo,Maceira (San Salvador),77.649,30.618,16.771,6.176,13.847,16.179,39.43,7.95,20.84
Covelo,Casteláns (Santo Estevo),43.512,21.242,13.413,5.977,7.829,11.632,48.82,13.74,26.73
Arbo,Cabeiras (San Sebastián),45.373,12.276,7.507,4.877,4.769,8.322,27.06,10.75,18.34
Arbo,Sela (Santa María),46.732,14.76,6.417,4.614,8.343,10.64,31.58,9.87,22.77
Covelo,Paraños (Santa María),39.938,13.521,6.168,4.535,7.353,9.847,33.85,11.36,24.66
Arbo,Barcela (San Xoán),59.598,14.047,4.946,4.362,9.102,10.937,23.57,7.32,18.35
Crecente,Sendelle (Santa Cruz),20.606,13.875,8.822,3.89,5.053,7.54,67.33,18.88,36.59
Covelo,O Piñeiro (San Xoán),25.587,7.631,4.852,3.234,2.779,5.241,29.82,12.64,20.48
Covelo,A Lamosa (San Bartolomeu),28.014,11.946,7.263,2.002,4.683,5.385,42.64,7.15,19.22
A Cañiza,A Franqueira (Santa María),37.028,10.843,6.094,1.788,4.749,5.218,29.28,4.83,14.09
Covelo,Prado de Canda (Santiago),14.427,5.496,2.763,1.15,2.733,3.124,38.1,7.97,21.66
Covelo,Godóns (Santa María),52.698,16.99,9.224,0.999,7.766,6.609,32.24,1.9,12.54
Covelo,Fofe (San Miguel),13.918,5.367,2.005,0.96,3.362,3.389,38.56,6.9,24.35
Covelo,Campo (Santa María),31.199,9.2,5.899,0.2,3.301,2.584,29.49,0.64,8.28
Covelo,Prado (San Salvador),35.402,9.181,6.562,0.041,2.619,1.933,25.93,0.12,5.46
Covelo,A Graña (San Bernabeu),39.139,12.642,10.042,0.002,2.6,1.88,32.3,0.0,4.8
