concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
A Cañiza,Valeixe (Santa Cristina),257.154,96.824,65.682,69.31,31.142,78.203,37.65,26.95,30.41
Arbo,Mourentán (San Cristovo),159.965,64.904,38.781,54.296,26.123,56.827,40.57,33.94,35.52
A Cañiza,A Cañiza (Santa Teresa),122.189,52.348,33.947,27.219,18.402,41.175,42.84,22.28,33.7
A Cañiza,Oroso (Santa María),131.706,46.666,37.098,25.42,9.568,34.601,35.43,19.3,26.27
Crecente,Albeos (San Xoán),141.22,48.553,37.07,28.072,11.483,35.538,34.38,19.88,25.16
Crecente,Crecente (San Pedro),77.113,43.499,35.333,24.934,8.166,30.832,56.41,32.33,39.98
A Cañiza,O Couto (San Bartolomeu),103.21,46.157,33.097,24.93,13.06,34.365,44.72,24.15,33.3
A Cañiza,As Achas (San Sebastián),137.711,45.913,27.293,25.683,18.62,38.18,33.34,18.65,27.72
A Cañiza,Parada das Achas (Santiago),156.856,76.245,52.339,34.92,23.906,44.078,48.61,22.26,28.1
Covelo,Barcia de Mera (San Martiño),102.208,52.666,35.488,20.251,17.178,31.084,51.53,19.81,30.41
Crecente,Rebordechán (Santa María),48.428,33.548,25.449,18.543,8.099,24.394,69.27,38.29,50.37
Crecente,Ribeira (Santa Mariña),58.441,31.356,25.732,18.249,5.623,22.311,53.65,31.23,38.18
Crecente,Vilar (San Xorxe),66.483,26.127,20.41,17.601,5.717,21.732,39.3,26.47,32.69
Crecente,Filgueira (San Pedro),49.472,37.832,31.746,16.342,6.086,20.738,76.47,33.03,41.92
A Cañiza,Petán (San Xián),123.143,45.186,30.064,18.4,15.122,19.231,36.69,14.94,15.62
Arbo,Arbo (Santa María),143.409,31.863,20.734,15.093,11.13,23.192,22.22,10.52,16.17
Covelo,Covelo (Santa Mariña),65.216,35.172,23.773,21.48,11.398,22.198,53.93,32.94,34.04
Covelo,Santiago de Covelo (Santiago),63.557,35.843,26.667,19.159,9.175,19.577,56.39,30.14,30.8
Crecente,Angudes (San Xoán),22.851,16.902,14.135,11.064,2.767,13.062,73.97,48.42,57.16
Crecente,O Freixo (San Roque),24.715,16.292,14.084,10.214,2.208,11.809,65.92,41.33,47.78
Crecente,A Ameixeira (San Bernabeu),36.542,16.895,12.027,9.866,4.868,13.383,46.24,27.0,36.62
A Cañiza,Luneda (Santa María),63.772,25.198,10.855,22.832,14.343,23.487,39.51,35.8,36.83
Arbo,Cequeliños (San Miguel),48.078,15.693,11.676,9.625,4.017,12.526,32.64,20.02,26.05
Crecente,Quintela (San Caetano),33.483,15.456,13.255,9.241,2.201,10.831,46.16,27.6,32.35
Covelo,Maceira (San Salvador),77.649,30.618,16.771,6.176,13.847,6.348,39.43,7.95,8.18
Covelo,Casteláns (Santo Estevo),43.512,21.242,13.413,6.369,7.829,9.597,48.82,14.64,22.06
Arbo,Cabeiras (San Sebastián),45.373,12.276,7.507,5.286,4.769,8.436,27.06,11.65,18.59
Arbo,Sela (Santa María),46.732,14.76,6.417,0.797,8.343,10.64,31.58,1.71,22.77
Covelo,Paraños (Santa María),39.938,13.521,6.168,8.431,7.353,8.769,33.85,21.11,21.96
Arbo,Barcela (San Xoán),59.598,14.047,4.946,4.362,9.102,10.937,23.57,7.32,18.35
Crecente,Sendelle (Santa Cruz),20.606,13.875,8.822,3.89,5.053,7.54,67.33,18.88,36.59
Covelo,O Piñeiro (San Xoán),25.587,7.631,4.852,3.234,2.779,3.234,29.82,12.64,12.64
Covelo,A Lamosa (San Bartolomeu),28.014,11.946,7.263,4.796,4.683,5.062,42.64,17.12,18.07
A Cañiza,A Franqueira (Santa María),37.028,10.843,6.094,5.949,4.749,6.16,29.28,16.07,16.64
Covelo,Prado de Canda (Santiago),14.427,5.496,2.763,2.842,2.733,2.99,38.1,19.7,20.72
Covelo,Godóns (Santa María),52.698,16.99,9.224,0.999,7.766,1.291,32.24,1.9,2.45
Covelo,Fofe (San Miguel),13.918,5.367,2.005,0.96,3.362,0.979,38.56,6.9,7.03
Covelo,Campo (Santa María),31.199,9.2,5.899,0.2,3.301,0.292,29.49,0.64,0.94
Covelo,Prado (San Salvador),35.402,9.181,6.562,0.041,2.619,0.244,25.93,0.12,0.69
Covelo,A Graña (San Bernabeu),39.139,12.642,10.042,0.002,2.6,1.337,32.3,0.01,3.42
