concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
Cangas,O Hío (Santo André),267.322,102.838,73.275,64.215,29.563,85.571,38.47,24.02,32.01
O Porriño,Pontellas (Santiago),164.211,71.174,58.992,53.274,12.182,62.074,43.34,32.44,37.8
O Rosal,O Rosal (Santa Mariña),188.023,75.9,59.365,52.224,16.535,64.169,40.37,27.78,34.13
A Cañiza,Valeixe (Santa Cristina),257.154,96.824,65.682,50.597,31.142,73.094,37.65,19.68,28.42
O Porriño,San Salvador de Budiño (San Salvador),185.132,80.026,59.854,49.412,20.172,63.985,43.23,26.69,34.56
Ponteareas,Moreira (San Martiño),146.41,72.713,52.874,47.653,19.839,61.984,49.66,32.55,42.34
Salvaterra de Miño,Salvaterra (San Lourenzo),157.618,70.431,53.965,46.934,16.466,58.829,44.68,29.78,37.32
O Porriño,Atios (Santa Eulalia),148.132,66.466,52.646,46.333,13.821,56.317,44.87,31.28,38.02
Valga,Cordeiro (Santa Comba),227.046,71.524,51.02,44.762,20.504,59.574,31.5,19.71,26.24
Ponteareas,Guláns (San Xulián),184.402,70.129,44.775,41.55,25.354,59.866,38.03,22.53,32.46
Salvaterra de Miño,Fornelos (San Xoán),116.024,55.984,44.142,41.323,11.841,49.877,48.25,35.62,42.99
Tomiño,Tomiño (Santa María),158.722,60.063,46.428,40.119,13.635,49.969,37.84,25.28,31.48
Mos,Louredo (San Salvador),136.98,58.642,42.078,39.267,16.564,51.232,42.81,28.67,37.4
Cuntis,Cuntis (Santa María),255.363,69.604,41.582,37.948,28.022,58.191,27.26,14.86,22.79
O Porriño,Chenlo (San Xoán),83.696,47.744,38.583,37.775,9.161,44.393,57.04,45.13,53.04
Vilaboa,Vilaboa (San Martiño),127.491,53.858,42.135,37.101,11.723,45.569,42.24,29.1,35.74
Valga,Setecoros (San Salvador),144.101,49.341,36.482,34.156,12.859,43.445,34.24,23.7,30.15
Ponteareas,Areas (Santa María),142.101,61.464,40.214,34.065,21.25,49.416,43.25,23.97,34.78
Tomiño,Barrantes (San Vicente),109.949,43.636,34.371,33.795,9.266,40.489,39.69,30.74,36.83
Salvaterra de Miño,Leirado (San Salvador),102.763,53.089,36.655,33.304,16.434,45.176,51.66,32.41,43.96
Sanxenxo,Adina (Santa María),177.893,48.708,33.774,33.217,14.934,44.005,27.38,18.67,24.74
Tui,Ribadelouro (Santa Comba),104.694,60.45,48.184,33.18,12.266,42.04,57.74,31.69,40.16
Soutomaior,Soutomaior (San Salvador),255.777,68.251,41.289,33.136,26.963,52.614,26.68,12.96,20.57
Meis,A Armenteira (Santa María),116.751,47.599,34.166,32.918,13.433,42.623,40.77,28.2,36.51
Salvaterra de Miño,Alxén (San Paio),94.014,41.938,33.747,32.195,8.191,38.113,44.61,34.25,40.54
Mos,Torroso (San Mamede),122.25,49.012,35.559,31.953,13.453,41.672,40.09,26.14,34.09
Portas,Portas (Santa María),144.392,43.625,32.808,31.829,10.816,39.642,30.21,22.04,27.45
Salceda de Caselas,Santo Estevo de Budiño (Santo Estevo),85.01,42.27,33.114,31.729,9.157,38.344,49.72,37.32,45.1
Arbo,Mourentán (San Cristovo),159.965,64.904,38.781,31.676,26.123,50.547,40.57,19.8,31.6
Mos,Mos (Santa Eulalia),138.062,53.208,33.252,31.582,19.956,45.998,38.54,22.88,33.32
Ponteareas,Cristiñade (San Salvador),91.344,44.017,31.748,29.753,12.268,38.616,48.19,32.57,42.27
Marín,San Tomé de Piñeiro (San Tomé),98.419,40.617,31.71,29.364,8.906,35.798,41.27,29.84,36.37
Salceda de Caselas,Soutelo (San Vicente),70.253,34.29,29.351,29.155,4.939,32.723,48.81,41.5,46.58
Ponteareas,Ribadetea (San Xurxo),147.229,54.846,34.526,29.147,20.321,43.826,37.25,19.8,29.77
Mos,Cela (San Pedro),141.51,44.405,29.609,29.097,14.796,39.786,31.38,20.56,28.12
Poio,Poio (San Xoán),195.698,54.158,31.49,29.077,22.668,45.452,27.67,14.86,23.23
Cotobade,Tenorio (San Pedro),85.044,46.353,35.298,29.022,11.055,37.008,54.51,34.13,43.52
Moraña,Saiáns (San Salvador),127.207,46.47,33.178,28.634,13.292,38.236,36.53,22.51,30.06
Salceda de Caselas,Entenza (Santos Xusto e Pastor),96.616,43.386,31.684,28.114,11.702,36.567,44.91,29.1,37.85
O Porriño,Torneiros (San Salvador),90.737,40.818,28.896,27.991,11.922,36.604,44.99,30.85,40.34
A Cañiza,A Cañiza (Santa Teresa),122.189,52.348,33.947,27.807,18.402,41.101,42.84,22.76,33.64
Sanxenxo,Noalla (Santo Estevo),250.17,48.759,28.086,27.664,20.673,42.598,19.49,11.06,17.03
A Cañiza,Oroso (Santa María),131.706,46.666,37.098,27.437,9.568,34.349,35.43,20.83,26.08
Redondela,Cedeira (Santo André),148.244,51.397,30.526,27.213,20.871,42.291,34.67,18.36,28.53
Tui,Pexegueiro (San Miguel),89.352,33.207,27.083,26.979,6.124,31.403,37.16,30.19,35.15
Crecente,Albeos (San Xoán),141.22,48.553,37.07,26.915,11.483,35.211,34.38,19.06,24.93
Cangas,Darbo (Santa María),125.878,47.244,28.793,26.164,18.451,39.494,37.53,20.79,31.37
Moraña,Santa Xusta de Moraña (Santa Xusta),96.115,41.336,29.734,25.949,11.602,34.33,43.01,27.0,35.72
O Porriño,Mosende (San Xurxo),80.974,38.603,27.835,25.937,10.767,33.716,47.67,32.03,41.64
Vilanova de Arousa,Baión (San Xoán),170.56,48.408,29.496,25.916,18.913,39.579,28.38,15.19,23.21
Ponteareas,Xinzo (Santa Mariña),102.349,39.499,27.47,25.877,12.029,34.567,38.59,25.28,33.77
Mondariz,Mondariz (Santa Baia),115.374,55.87,38.568,25.861,17.302,38.36,48.42,22.41,33.25
Ponteareas,Padróns (San Salvador),142.077,50.159,32.047,25.172,18.111,38.255,35.3,17.72,26.93
Marín,Marín (San Xián),121.817,38.426,27.18,25.151,11.246,33.274,31.54,20.65,27.32
Crecente,Crecente (San Pedro),77.113,43.499,35.333,24.934,8.166,30.832,56.41,32.33,39.98
A Cañiza,O Couto (San Bartolomeu),103.21,46.157,33.097,24.93,13.06,34.365,44.72,24.15,33.3
A Cañiza,As Achas (San Sebastián),137.711,45.913,27.293,24.516,18.62,37.967,33.34,17.8,27.57
A Guarda,Camposancos (Santa Isabel),91.856,32.99,25.114,24.467,7.876,30.157,35.91,26.64,32.83
Ponteareas,Nogueira (San Salvador),65.541,32.641,25.258,24.36,7.383,29.694,49.8,37.17,45.31
Salceda de Caselas,Santa María de Salceda (Santa María),116.824,41.015,24.871,24.235,16.144,35.897,35.11,20.74,30.73
Ponteareas,Arcos (San Breixo),70.019,37.493,27.44,24.095,10.053,31.358,53.55,34.41,44.78
Cangas,Aldán (San Cibrán),122.267,44.699,29.6,24.0,15.098,34.907,36.56,19.63,28.55
Salvaterra de Miño,Oleiros (Santa María),57.687,33.767,27.37,23.938,6.397,28.559,58.53,41.5,49.51
