concello,parroquia,ha_faixa,ha_arbolado,ha_clasificable,ha_perenne,ha_ifn,ha_ifn_prohibida,pct_clasificable,pct_perenne
A Cañiza,Valeixe (Santa Cristina),257.291,96.862,64.539,34.271,65.709,50.615,66.6,53.1
Arbo,Mourentán (San Cristovo),159.991,64.915,45.078,26.171,38.787,31.681,69.4,58.1
Crecente,Crecente (San Pedro),77.194,43.526,32.656,22.166,35.352,24.946,75.0,67.9
A Cañiza,A Cañiza (Santa Teresa),122.247,52.378,36.533,20.618,33.973,27.829,69.7,56.4
Crecente,Albeos (San Xoán),141.346,48.59,34.198,19.866,37.096,26.937,70.4,58.1
A Cañiza,O Couto (San Bartolomeu),103.281,46.182,32.484,17.926,33.112,24.942,70.3,55.2
Covelo,Barcia de Mera (San Martiño),102.24,52.685,39.653,16.863,35.505,20.258,75.3,42.5
Crecente,Ribeira (Santa Mariña),58.48,31.37,23.025,15.829,25.745,18.257,73.4,68.7
Covelo,Santiago de Covelo (Santiago),63.599,35.858,28.197,14.132,26.676,14.191,78.6,50.1
Covelo,Covelo (Santa Mariña),65.245,35.191,26.489,13.581,23.784,14.992,75.3,51.3
A Cañiza,Oroso (Santa María),131.784,46.7,30.142,13.565,37.131,27.455,64.5,45.0
Crecente,Vilar (San Xorxe),66.505,26.129,20.292,13.477,20.412,17.603,77.7,66.4
A Cañiza,Petán (San Xián),123.184,45.192,29.427,13.073,30.068,16.113,65.1,44.4
A Cañiza,Parada das Achas (Santiago),156.905,76.268,54.53,12.968,52.36,23.347,71.5,23.8
A Cañiza,As Achas (San Sebastián),137.728,45.922,29.126,12.055,27.301,24.524,63.4,41.4
Arbo,Arbo (Santa María),143.457,31.881,17.809,12.03,20.747,15.077,55.9,67.6
A Cañiza,Luneda (Santa María),63.785,25.206,17.981,11.901,10.857,9.729,71.3,66.2
Crecente,Rebordechán (Santa María),48.49,33.594,28.198,11.776,25.475,18.56,83.9,41.8
Covelo,Maceira (San Salvador),77.696,30.637,21.048,9.264,16.783,6.179,68.7,44.0
Crecente,A Ameixeira (San Bernabeu),36.573,16.905,11.601,7.16,12.032,9.87,68.6,61.7
Crecente,Quintela (San Caetano),33.528,15.475,10.942,6.982,13.273,9.254,70.7,63.8
Crecente,O Freixo (San Roque),24.729,16.303,13.244,6.812,14.095,10.223,81.2,51.4
Crecente,Sendelle (Santa Cruz),20.609,13.878,11.602,6.047,8.825,3.891,83.6,52.1
Arbo,Cabeiras (San Sebastián),45.377,12.277,8.326,5.478,7.508,4.877,67.8,65.8
Arbo,Cequeliños (San Miguel),48.094,15.699,9.722,4.838,11.682,9.63,61.9,49.8
Covelo,Godóns (Santa María),52.746,17.0,10.498,4.195,9.228,0.999,61.8,40.0
Covelo,Paraños (Santa María),39.954,13.533,8.799,4.163,6.177,4.542,65.0,47.3
Covelo,O Piñeiro (San Xoán),25.606,7.631,5.791,4.085,4.852,3.234,75.9,70.5
Covelo,Casteláns (Santo Estevo),43.578,21.262,16.046,3.96,13.424,5.98,75.5,24.7
Crecente,Angudes (San Xoán),22.853,16.904,10.429,3.869,14.137,11.065,61.7,37.1
A Cañiza,A Franqueira (Santa María),37.051,10.852,6.546,3.835,6.101,1.79,60.3,58.6
Covelo,A Lamosa (San Bartolomeu),28.041,11.957,7.679,3.372,7.267,2.003,64.2,43.9
Arbo,Barcela (San Xoán),59.648,14.057,4.34,2.915,4.952,4.368,30.9,67.2
Covelo,Campo (Santa María),31.212,9.206,5.896,1.881,5.905,0.2,64.0,31.9
Crecente,Filgueira (San Pedro),49.512,37.846,32.538,1.843,31.756,16.346,86.0,5.7
Covelo,Prado de Canda (Santiago),14.437,5.496,3.423,1.451,2.763,1.15,62.3,42.4
Arbo,Sela (Santa María),46.796,14.769,1.676,1.413,6.417,4.614,11.3,84.3
Covelo,Fofe (San Miguel),13.948,5.372,3.488,1.271,2.007,0.962,64.9,36.4
Covelo,Prado (San Salvador),35.422,9.186,5.755,0.456,6.567,0.041,62.7,7.9
Covelo,A Graña (San Bernabeu),39.207,12.657,3.884,0.37,10.054,0.002,30.7,9.5
