concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
Cangas,O Hío (Santo André),3600805.0,267.322,158.46,135.689,107.827,102.838,82.869,69.285,2.147,59.28,50.76,40.34,38.47,31.0,25.92,0.8
A Cañiza,Valeixe (Santa Cristina),3600909.0,257.154,148.038,119.644,100.663,96.824,80.134,68.263,1.39,57.57,46.53,39.14,37.65,31.16,26.55,0.54
O Porriño,San Salvador de Budiño (San Salvador),3603902.0,185.132,105.578,94.884,82.463,80.026,68.832,60.059,1.448,57.03,51.25,44.54,43.23,37.18,32.44,0.78
A Cañiza,Parada das Achas (Santiago),3600907.0,156.869,96.649,89.133,78.668,76.245,64.779,55.524,0.484,61.61,56.82,50.15,48.6,41.3,35.4,0.31
O Rosal,O Rosal (Santa Mariña),3604802.0,188.055,99.929,87.496,77.616,75.9,67.767,61.32,3.203,53.14,46.53,41.27,40.36,36.04,32.61,1.7
Ponteareas,Moreira (San Martiño),3604214.0,146.426,92.767,82.972,74.38,72.713,65.067,59.157,1.147,63.35,56.66,50.8,49.66,44.44,40.4,0.78
Valga,Cordeiro (Santa Comba),3605602.0,227.046,108.942,86.975,74.039,71.524,60.437,51.838,0.264,47.98,38.31,32.61,31.5,26.62,22.83,0.12
O Porriño,Pontellas (Santiago),3603906.0,164.211,90.598,82.081,72.976,71.174,63.402,57.923,4.676,55.17,49.98,44.44,43.34,38.61,35.27,2.85
Salvaterra de Miño,Salvaterra (San Lourenzo),3605014.0,157.618,95.378,82.036,72.124,70.431,62.865,57.37,3.917,60.51,52.05,45.76,44.68,39.88,36.4,2.49
Ponteareas,Guláns (San Xulián),3604213.0,184.402,103.321,88.306,73.084,70.129,58.478,50.614,1.314,56.03,47.89,39.63,38.03,31.71,27.45,0.71
Cuntis,Cuntis (Santa María),3601504.0,255.363,110.078,92.375,73.086,69.604,55.061,45.361,0.881,43.11,36.17,28.62,27.26,21.56,17.76,0.35
Soutomaior,Soutomaior (San Salvador),3605302.0,255.789,113.03,90.786,71.924,68.251,53.008,42.56,0.742,44.19,35.49,28.12,26.68,20.72,16.64,0.29
O Porriño,Atios (Santa Eulalia),3603901.0,148.139,83.54,76.69,68.168,66.466,58.38,52.265,1.608,56.39,51.77,46.02,44.87,39.41,35.28,1.09
Arbo,Mourentán (San Cristovo),3600105.0,160.034,97.802,79.212,67.35,64.904,54.783,47.707,2.145,61.11,49.5,42.08,40.56,34.23,29.81,1.34
Ponteareas,Areas (Santa María),3604203.0,142.101,81.614,72.125,63.234,61.464,53.926,48.093,0.84,57.43,50.76,44.5,43.25,37.95,33.84,0.59
Tui,Ribadelouro (Santa Comba),3605511.0,104.694,71.282,66.543,61.494,60.45,55.54,51.51,2.016,68.09,63.56,58.74,57.74,53.05,49.2,1.93
Tomiño,Tomiño (Santa María),3605414.0,158.722,82.561,71.37,62.008,60.063,51.234,44.37,0.945,52.02,44.97,39.07,37.84,32.28,27.95,0.6
Mos,Louredo (San Salvador),3603304.0,136.98,79.076,69.647,60.549,58.642,49.87,43.121,2.125,57.73,50.84,44.2,42.81,36.41,31.48,1.55
Salvaterra de Miño,Fornelos (San Xoán),3605006.0,116.085,72.904,65.241,57.477,55.984,49.689,44.7,1.362,62.8,56.2,49.51,48.23,42.8,38.51,1.17
Mondariz,Mondariz (Santa Baia),3603005.0,115.374,71.384,65.043,57.398,55.87,48.835,43.243,0.66,61.87,56.38,49.75,48.42,42.33,37.48,0.57
Ponteareas,Ribadetea (San Xurxo),3604224.0,147.229,79.268,67.93,56.939,54.846,46.206,40.458,1.171,53.84,46.14,38.67,37.25,31.38,27.48,0.8
Poio,Poio (San Xoán),3604102.0,195.698,87.633,71.08,56.914,54.158,42.335,34.504,0.975,44.78,36.32,29.08,27.67,21.63,17.63,0.5
Vilaboa,Vilaboa (San Martiño),3605805.0,127.491,73.173,65.314,55.827,53.858,45.584,39.648,3.891,57.39,51.23,43.79,42.24,35.75,31.1,3.05
Mos,Mos (Santa Eulalia),3603305.0,138.062,75.789,65.341,55.198,53.208,44.626,38.755,2.098,54.9,47.33,39.98,38.54,32.32,28.07,1.52
Salvaterra de Miño,Leirado (San Salvador),3605007.0,102.763,68.435,60.3,54.453,53.089,45.784,39.352,1.509,66.59,58.68,52.99,51.66,44.55,38.29,1.47
Covelo,Barcia de Mera (San Martiño),3601301.0,102.208,67.466,61.704,54.242,52.666,45.738,40.48,0.577,66.01,60.37,53.07,51.53,44.75,39.61,0.56
A Cañiza,A Cañiza (Santa Teresa),3600902.0,122.189,69.995,63.87,54.237,52.348,43.775,37.039,0.471,57.28,52.27,44.39,42.84,35.83,30.31,0.39
Redondela,Cedeira (Santo André),3604502.0,148.244,80.137,67.819,53.905,51.397,40.782,33.294,2.92,54.06,45.75,36.36,34.67,27.51,22.46,1.97
Ponteareas,Padróns (San Salvador),3604219.0,142.077,75.48,64.158,52.462,50.159,40.637,34.292,0.549,53.13,45.16,36.92,35.3,28.6,24.14,0.39
Mondariz,Sabaxáns (San Mamede),3603009.0,99.1,61.654,57.239,51.239,49.873,43.514,38.317,0.384,62.21,57.76,51.7,50.33,43.91,38.66,0.39
Ponte Caldelas,Ponte Caldelas (Santa Eulalia),3604307.0,157.424,70.567,62.392,51.586,49.471,40.166,33.09,0.299,44.83,39.63,32.77,31.43,25.51,21.02,0.19
Valga,Setecoros (San Salvador),3605603.0,144.101,68.821,58.303,50.742,49.341,43.063,38.452,1.29,47.76,40.46,35.21,34.24,29.88,26.68,0.9
