OBJECTID_12,sp,prohibida,n_px,ha_faixa,estado,anho_evento,caida,etiqueta
60076,Pinus_pinaster,True,903,0.0,persistente,,0.161,ifn_2010
60077,Quercus_robur,False,4302,0.0,persistente,,0.148,ifn_2010
60119,Acacia_dealbata,True,686,0.0,evento,2026.0,0.407,desconocida
60127,Pinus_pinaster,True,1389,0.0,persistente,,0.022,ifn_2010
60132,Pinus_pinaster,True,1035,0.0,evento,2026.0,0.359,desconocida
60137,Pinus_pinaster,True,12401,0.0,persistente,,0.106,ifn_2010
60138,Pinus_pinaster,True,3265,0.0,persistente,,0.022,ifn_2010
62084,Quercus_robur,False,2820,0.0,persistente,,0.148,ifn_2010
62085,Eucalyptus_globulus,True,2305,0.0,persistente,,0.069,ifn_2010
62086,Quercus_robur,False,136,0.0,evento,2018.0,0.39,desconocida
62144,Quercus_robur,False,734,0.0,persistente,,0.142,ifn_2010
62397,Pinus_pinaster,True,5272,0.0,persistente,,0.036,ifn_2010
62440,Pinus_pinaster,True,21,0.0,persistente,,0.039,ifn_2010
62454,Pinus_pinaster,True,481,0.0,persistente,,0.02,ifn_2010
66360,Pinus_pinaster,True,9585,0.0,persistente,,0.012,ifn_2010
66819,Pinus_pinaster,True,5350,0.0,persistente,,0.012,ifn_2010
66820,Pinus_pinaster,True,7048,0.0,persistente,,0.024,ifn_2010
66827,Pinus_pinaster,True,1359,0.0,persistente,,0.024,ifn_2010
71039,Pinus_pinaster,True,7404,0.0,persistente,,0.006,ifn_2010
72400,Quercus_robur,False,1788,0.0,persistente,,0.021,ifn_2010
72404,Quercus_robur,False,0,0.0,sin_dato,,,sin_serie
72622,Quercus_robur,False,92,0.0,persistente,,0.132,ifn_2010
72624,Quercus_robur,False,47,0.0,persistente,,0.058,ifn_2010
75043,Pinus_pinaster,True,5656,0.0,persistente,,0.021,ifn_2010
75101,Pinus_pinaster,True,12836,0.0,persistente,,0.015,ifn_2010
75103,Pinus_pinaster,True,753,0.0,persistente,,0.025,ifn_2010
75156,Quercus_robur,False,339,0.0,evento,2018.0,0.404,desconocida
75178,Quercus_robur,False,2131,0.0,persistente,,0.012,ifn_2010
75179,Quercus_robur,False,220,0.0,persistente,,0.012,ifn_2010
75795,Quercus_robur,False,21685,0.0,persistente,,0.169,ifn_2010
75799,Pinus_pinaster,True,323,0.0,evento,2018.0,0.397,desconocida
75801,Pinus_sylvestris,True,2954,0.0,evento,2018.0,0.321,desconocida
75802,Pinus_sylvestris,True,1656,0.0,evento,2018.0,0.223,desconocida
75803,Pinus_sylvestris,True,7888,0.0,persistente,,0.025,ifn_2010
75804,Pinus_pinaster,True,946,0.0,persistente,,0.089,ifn_2010
75805,Pinus_pinaster,True,956,0.0,persistente,,0.02,ifn_2010
75806,Pinus_pinaster,True,555,0.0,persistente,,0.037,ifn_2010
75807,Pinus_pinaster,True,1247,0.0,evento,2018.0,0.335,desconocida
75808,Alnus_glutinosa,False,646,0.0,persistente,,0.184,ifn_2010
75809,Betula_spp,False,11113,0.0,persistente,,0.074,ifn_2010
75810,Pinus_pinaster,True,7898,0.0,persistente,,0.058,ifn_2010
75817,Quercus_robur,False,1645,0.007,persistente,,0.026,ifn_2010
75818,Quercus_robur,False,308,0.0,persistente,,0.15,ifn_2010
75926,Pinus_pinaster,True,22,0.0,persistente,,0.078,ifn_2010
75972,Pinus_pinaster,True,1793,0.201,persistente,,0.017,ifn_2010
75982,Pinus_pinaster,True,3491,0.0,evento,2018.0,0.215,desconocida
75983,Quercus_robur,False,15983,0.0,persistente,,0.169,ifn_2010
75987,Quercus_robur,False,644,0.0,persistente,,0.065,ifn_2010
75988,Quercus_robur,False,141,0.0,persistente,,0.041,ifn_2010
76057,Quercus_robur,False,106,0.0,persistente,,0.012,ifn_2010
76058,Quercus_robur,False,304,0.0,persistente,,0.018,ifn_2010
76059,Quercus_robur,False,2418,0.0,persistente,,0.018,ifn_2010
76060,Pinus_pinaster,True,1065,0.0,persistente,,0.021,ifn_2010
76062,Pinus_pinaster,True,276,0.0,persistente,,0.039,ifn_2010
76441,Pinus_pinaster,True,3486,0.0,evento,2018.0,0.208,desconocida
76442,Quercus_robur,False,4825,0.0,persistente,,0.168,ifn_2010
76443,Quercus_robur,False,5402,0.0,persistente,,0.033,ifn_2010
76444,Pinus_pinaster,True,3864,0.0,persistente,,0.011,ifn_2010
76445,Quercus_robur,False,2695,0.0,persistente,,0.051,ifn_2010
76446,Pinus_pinaster,True,3047,0.0,persistente,,0.015,ifn_2010
76447,Quercus_robur,False,14594,0.0,persistente,,0.01,ifn_2010
76448,Quercus_robur,False,581,0.0,persistente,,0.03,ifn_2010
76449,Quercus_robur,False,358,0.0,persistente,,0.023,ifn_2010
76450,Pinus_pinaster,True,6094,0.0,persistente,,0.029,ifn_2010
76451,Pinus_pinaster,True,4394,0.0,persistente,,0.066,ifn_2010
76452,Pinus_pinaster,True,800,0.0,persistente,,0.128,ifn_2010
76453,Quercus_robur,False,159,0.028,persistente,,0.066,ifn_2010
76454,Quercus_robur,False,837,0.0,persistente,,0.023,ifn_2010
76456,Pinus_pinaster,True,301,0.0,persistente,,0.157,ifn_2010
76457,Quercus_robur,False,2723,0.0,evento,2018.0,0.209,desconocida
76472,Pinus_pinaster,True,337,0.0,evento,2023.0,0.233,desconocida
76473,Pinus_pinaster,True,239,0.0,evento,2023.0,0.356,desconocida
76994,Pinus_pinaster,True,7962,0.0,evento,2018.0,0.36,desconocida
76995,Pinus_pinaster,True,1589,0.0,persistente,,0.117,ifn_2010
76996,Pinus_pinaster,True,8408,0.0,persistente,,0.05,ifn_2010
76997,Pinus_pinaster,True,589,0.0,persistente,,0.047,ifn_2010
77180,Pinus_pinaster,True,991,0.0,evento,2018.0,0.339,desconocida
80101,Pinus_pinaster,True,303,0.0,persistente,,0.018,ifn_2010
80103,Pinus_pinaster,True,4094,0.0,persistente,,0.017,ifn_2010
80104,Quercus_robur,False,589,0.0,persistente,,0.016,ifn_2010
80183,Quercus_suber,False,199,0.0,persistente,,0.03,ifn_2010
80597,Quercus_robur,False,3,0.0,sin_dato,,,sin_serie
80598,Quercus_robur,False,553,0.0,evento,2022.0,0.206,desconocida
80643,Pinus_pinaster,True,83,0.0,persistente,,0.03,ifn_2010
80645,Quercus_robur,False,901,0.0,persistente,,0.021,ifn_2010
81444,Alnus_glutinosa,False,219,0.0,persistente,,0.014,ifn_2010
81447,Castanea_sativa,False,785,0.0,persistente,,0.01,ifn_2010
81453,Quercus_pyrenaica,False,3033,0.0,persistente,,0.165,ifn_2010
81454,Quercus_robur,False,1776,0.0,persistente,,0.08,ifn_2010
81459,Pinus_pinaster,True,1659,0.0,persistente,,0.215,ifn_2010
81460,Pinus_pinaster,True,2417,0.0,evento,2018.0,0.333,desconocida
81464,Quercus_robur,False,1117,0.0,evento,2026.0,0.2,desconocida
81470,Quercus_robur,False,1091,0.0,persistente,,0.162,ifn_2010
81489,Pinus_pinaster,True,3319,0.0,persistente,,0.026,ifn_2010
81943,Quercus_robur,False,249,0.0,persistente,,0.019,ifn_2010
81944,Pinus_pinaster,True,895,0.0,evento,2018.0,0.288,desconocida
81960,Eucalyptus_globulus,True,343,0.0,evento,2018.0,0.189,prohibida_rebrote
81961,Eucalyptus_globulus,True,5,0.0,sin_dato,,,sin_serie
81963,Pinus_pinaster,True,116,0.0,persistente,,0.109,ifn_2010
81966,Eucalyptus_globulus,True,592,0.0,evento,2018.0,0.493,prohibida_rebrote
81967,Pinus_radiata,True,1656,0.0,evento,2018.0,0.253,desconocida
81968,Pinus_pinaster,True,682,0.0,evento,2018.0,0.28,desconocida
81969,Pinus_radiata,True,1430,0.0,evento,2018.0,0.239,desconocida
82010,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
85061,Pinus_pinaster,True,482,0.0,persistente,,0.184,ifn_2010
85220,Quercus_robur,False,772,0.0,persistente,,0.032,ifn_2010
85221,Pinus_pinaster,True,13350,0.0,persistente,,0.042,ifn_2010
85222,Eucalyptus_globulus,True,10704,15.646,persistente,,0.023,ifn_2010
85223,Eucalyptus_globulus,True,24773,6.83,persistente,,0.055,ifn_2010
85224,Acacia_spp,True,547,2.446,evento,2024.0,0.265,desconocida
85225,Eucalyptus_globulus,True,2086,0.0,persistente,,0.049,ifn_2010
85226,Pinus_pinaster,True,1141,0.0,persistente,,0.017,ifn_2010
85227,Pinus_pinaster,True,2472,0.0,persistente,,0.102,ifn_2010
85228,Eucalyptus_globulus,True,2554,0.0,persistente,,0.03,ifn_2010
85229,Pinus_pinaster,True,2745,0.0,persistente,,0.019,ifn_2010
85230,Pinus_pinaster,True,2257,3.301,persistente,,0.012,ifn_2010
85231,Acacia_spp,True,941,0.525,persistente,,0.07,ifn_2010
85232,Acacia_spp,True,457,0.0,persistente,,0.1,ifn_2010
85233,Pinus_pinaster,True,2293,4.773,persistente,,0.044,ifn_2010
85234,Eucalyptus_globulus,True,1500,0.727,persistente,,0.061,ifn_2010
85235,Quercus_robur,False,4419,5.715,persistente,,0.046,ifn_2010
85236,Pinus_pinaster,True,10341,14.772,persistente,,0.018,ifn_2010
85237,Eucalyptus_globulus,True,694,1.943,evento,2022.0,0.193,prohibida_rebrote
85238,Eucalyptus_globulus,True,2255,0.0,persistente,,0.021,ifn_2010
85239,Pinus_pinaster,True,25174,0.725,evento,2025.0,0.197,desconocida
85240,Pinus_pinaster,True,1090,0.0,persistente,,0.047,ifn_2010
85241,Eucalyptus_globulus,True,4444,4.93,persistente,,0.071,ifn_2010
85242,Eucalyptus_globulus,True,32397,3.662,persistente,,0.124,ifn_2010
85243,Eucalyptus_globulus,True,2352,0.376,persistente,,0.113,ifn_2010
85244,Betula_alba,False,6574,0.71,persistente,,0.009,ifn_2010
85245,Pinus_pinaster,True,1839,6.558,persistente,,0.069,ifn_2010
85246,Castanea_sativa,False,553,0.0,persistente,,0.158,ifn_2010
85248,Pinus_pinaster,True,1846,0.335,persistente,,0.146,ifn_2010
85249,Pinus_pinaster,True,307,0.637,evento,2026.0,0.195,desconocida
85250,Eucalyptus_globulus,True,2128,0.387,persistente,,0.018,ifn_2010
85251,Quercus_robur,False,166,0.469,persistente,,0.027,ifn_2010
