OBJECTID_12,sp,prohibida,n_px,ha_faixa,estado,anho_evento,caida,etiqueta
48,Quercus_robur,False,11829,0.0,persistente,,0.135,ifn_2010
49,Eucalyptus_globulus,True,2177,0.0,persistente,,0.062,ifn_2010
50,Acacia_melanoxylon,True,248,0.0,persistente,,0.059,ifn_2010
53,Eucalyptus_globulus,True,489,0.0,persistente,,0.061,ifn_2010
54,Eucalyptus_globulus,True,1180,0.0,persistente,,0.034,ifn_2010
55,Eucalyptus_globulus,True,3318,0.0,persistente,,0.03,ifn_2010
56,Quercus_suber,False,1832,0.0,persistente,,0.041,ifn_2010
57,Pinus_pinaster,True,29234,0.0,persistente,,0.026,ifn_2010
58,Eucalyptus_globulus,True,1868,0.0,persistente,,0.065,ifn_2010
59,Eucalyptus_globulus,True,23711,0.0,persistente,,0.055,ifn_2010
60,Pinus_radiata,True,1373,0.0,evento,2024.0,0.465,desconocida
61,Eucalyptus_globulus,True,5055,0.0,persistente,,0.09,ifn_2010
64,Eucalyptus_globulus,True,9122,0.0,persistente,,0.025,ifn_2010
65,Pinus_pinaster,True,4913,0.0,persistente,,0.046,ifn_2010
66,Acacia_melanoxylon,True,1081,0.0,persistente,,0.014,ifn_2010
67,Pinus_pinaster,True,16026,0.0,persistente,,0.08,ifn_2010
69,Acacia_melanoxylon,True,700,0.0,persistente,,0.037,ifn_2010
70,Eucalyptus_globulus,True,1815,0.0,persistente,,0.067,ifn_2010
71,Eucalyptus_globulus,True,897,0.0,persistente,,0.083,ifn_2010
72,Eucalyptus_globulus,True,439,0.0,persistente,,0.084,ifn_2010
73,Eucalyptus_globulus,True,2235,0.0,persistente,,0.038,ifn_2010
74,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
75,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
76,Quercus_robur,False,1368,0.0,persistente,,0.047,ifn_2010
78,Eucalyptus_globulus,True,1208,0.0,persistente,,0.031,ifn_2010
79,Acacia_melanoxylon,True,254,0.0,persistente,,0.049,ifn_2010
80,Eucalyptus_globulus,True,2051,0.0,persistente,,0.031,ifn_2010
