puesto,concello,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
1,Ponteareas,2016.139,825.418,12.551,371.2,586.4,478.6
2,A Estrada,3367.013,899.828,6.64,280.3,550.4,415.4
3,Salvaterra de Miño,1191.411,547.303,20.018,247.9,394.6,321.0
4,O Porriño,832.431,390.983,24.977,214.6,305.1,259.8
5,Mos,1020.496,384.17,12.929,196.8,285.59999999999997,241.1
6,Lalín,2926.463,803.929,1.1460000000000001,122.8,356.9,240.20000000000002
7,A Cañiza,1132.782,445.38,4.635,149.6,280.4,214.9
8,Tomiño,796.46,334.98900000000003,12.229,171.2,258.0,214.4
9,Redondela,1352.731,388.772,9.562,133.1,255.7,194.4
10,Mondariz,847.033,416.877,6.284,156.2,194.3,175.1
11,Tui,794.9449999999999,303.932,10.35,130.2,219.3,174.9
12,Silleda,1729.108,404.074,2.8930000000000002,101.8,209.0,155.4
13,Salceda de Caselas,555.201,233.053,11.61,123.5,185.4,154.4
14,Crecente,579.448,300.33500000000004,6.497,120.0,187.8,154.0
15,Sanxenxo,1014.014,243.268,3.606,107.6,189.2,148.3
16,Cotobade,694.309,347.705,2.999,115.3,179.6,147.4
17,Valga,664.717,212.374,2.358,124.4,162.0,143.2
18,Gondomar,783.775,239.964,4.742999999999999,98.1,177.4,137.9
19,Caldas de Reis,809.917,227.393,3.881,97.4,165.9,131.8
20,Cangas,675.797,241.78799999999998,5.752,90.5,173.1,131.70000000000002
21,Meis,552.799,196.62199999999999,6.188,95.3,151.3,123.4
22,As Neves,697.22,229.946,2.145,86.4,154.5,120.6
23,Vilagarcía de Arousa,781.096,203.417,3.339,64.9,153.9,109.4
24,Moraña,554.549,190.21,4.332,78.5,136.5,107.4
25,Vilaboa,429.072,161.408,8.763,87.1,115.60000000000001,101.3
26,Cuntis,709.442,188.276,2.198,69.8,132.7,101.2
27,Marín,422.05,155.24699999999999,8.5,75.2,116.9,96.1
28,Ponte Caldelas,612.972,193.827,1.087,68.2,104.8,86.4
29,Barro,376.886,139.422,5.639,67.0,103.4,85.2
30,Poio,400.03000000000003,132.235,2.323,58.199999999999996,100.3,79.3
31,Arbo,503.231,153.543,2.93,50.9,104.5,77.7
32,Portas,415.562,111.843,1.83,65.9,87.8,76.89999999999999
33,A Lama,606.109,290.441,2.976,58.7,93.7,76.2
34,Vilanova de Arousa,688.967,135.791,1.978,49.1,101.9,75.5
35,Moaña,381.835,142.909,3.721,45.0,101.5,73.3
36,Covelo,632.604,267.515,2.155,56.4,87.60000000000001,72.0
37,O Rosal,269.708,107.914,4.2669999999999995,56.6,83.5,70.0
38,Nigrán,468.64,126.84,1.27,37.2,90.1,63.7
39,Meaño,561.195,97.094,2.529,43.4,75.5,59.4
40,Campo Lameiro,317.181,106.808,1.692,38.4,76.6,57.6
41,Agolada,442.6,110.481,0.16799999999999998,29.5,73.1,51.3
42,Catoira,268.383,86.87,0.299,37.1,64.7,50.9
43,Soutomaior,338.726,87.22500000000001,0.796,30.9,61.6,46.3
44,A Guarda,234.969,71.07000000000001,1.085,33.2,54.9,44.099999999999994
45,Baiona,204.436,67.44,1.0110000000000001,33.2,53.8,43.7
46,Oia,241.3,74.144,0.8200000000000001,31.2,55.4,43.300000000000004
47,Cerdedo,318.18,117.304,0.312,31.1,45.6,38.3
48,Pazos de Borbén,246.393,83.223,1.5959999999999999,28.8,47.1,37.8
49,Cambados,609.799,65.294,0.434,24.2,50.6,37.4
50,Forcarei,657.4010000000001,223.908,0.589,25.2,45.5,35.3
51,Ribadumia,472.11199999999997,62.113,0.6910000000000001,20.5,45.3,32.9
52,Fornelos de Montes,297.355,99.99000000000001,1.146,26.6,35.4,31.0
53,Pontecesures,64.841,18.113,0.009,9.3,13.3,11.3
54,Mondariz-Balneario,39.189,19.037,0.265,5.0,6.4,5.7
