puesto,concello,parroquia,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
1,Cangas,O Hío (Santo André),267.322,102.838,2.147,46.2,76.1,61.2
2,O Porriño,San Salvador de Budiño (San Salvador),185.132,80.026,1.448,49.0,60.2,54.6
3,A Cañiza,Valeixe (Santa Cristina),257.154,96.824,1.39,36.4,65.3,50.8
4,Valga,Cordeiro (Santa Comba),227.046,71.524,0.264,42.1,55.4,48.8
5,O Rosal,O Rosal (Santa Mariña),188.055,75.9,3.203,37.6,56.8,47.2
6,O Porriño,Pontellas (Santiago),164.211,71.174,4.676,38.6,54.8,46.7
7,Ponteareas,Moreira (San Martiño),146.426,72.713,1.147,34.3,55.0,44.6
8,Salvaterra de Miño,Salvaterra (San Lourenzo),157.618,70.431,3.917,33.8,52.1,43.0
9,O Porriño,Atios (Santa Eulalia),148.139,66.466,1.608,34.7,50.1,42.4
10,Ponteareas,Guláns (San Xulián),184.402,70.129,1.314,29.9,53.5,41.7
11,Cuntis,Cuntis (Santa María),255.363,69.604,0.881,27.3,52.1,39.7
12,Mos,Louredo (San Salvador),136.98,58.642,2.125,34.4,42.3,38.3
13,Salvaterra de Miño,Fornelos (San Xoán),116.085,55.984,1.362,29.7,44.1,36.9
14,Tomiño,Tomiño (Santa María),158.722,60.063,0.945,28.9,44.2,36.6
15,Vilaboa,Vilaboa (San Martiño),127.491,53.858,3.891,30.5,40.6,35.6
16,Soutomaior,Soutomaior (San Salvador),255.789,68.251,0.742,23.8,47.2,35.5
17,Mos,Mos (Santa Eulalia),138.062,53.208,2.098,30.8,38.2,34.5
18,Ponteareas,Areas (Santa María),142.101,61.464,0.84,24.5,44.1,34.3
19,Arbo,Mourentán (San Cristovo),160.034,64.904,2.145,22.8,45.4,34.1
20,Valga,Setecoros (San Salvador),144.101,49.341,1.29,27.7,39.4,33.6
21,O Porriño,Chenlo (San Xoán),83.696,47.744,8.464,27.2,39.2,33.2
