OBJECTID_12,sp,n_px,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndvi_2026
60076,Pinus_pinaster,903,0.8582,0.6822,0.708,0.7284,0.7794,0.7508,0.7883,0.8187,0.8218,0.6971
60077,Quercus_robur,4302,0.8479,0.6842,0.7362,0.7552,0.8014,0.7821,0.8005,0.8297,0.8238,0.6965
60119,Acacia_dealbata,686,0.7889,0.731,0.7417,0.7587,0.8042,0.7231,0.7665,0.8038,0.7659,0.3658
60127,Pinus_pinaster,1389,0.778,0.7587,0.7795,0.7543,0.7768,0.7326,0.7562,0.7562,0.7224,0.7184
60132,Pinus_pinaster,1035,0.8332,0.8226,0.8279,0.8212,0.8423,0.7675,0.771,0.808,0.7961,0.4227
60137,Pinus_pinaster,12401,0.7905,0.7207,0.735,0.733,0.7699,0.7029,0.7138,0.7378,0.7472,0.6261
60138,Pinus_pinaster,3265,0.7221,0.7116,0.712,0.6912,0.7177,0.6993,0.6933,0.6981,0.6715,0.6557
62084,Quercus_robur,2820,0.8634,0.6999,0.7359,0.7583,0.8156,0.7786,0.8163,0.833,0.8379,0.7182
62085,Eucalyptus_globulus,2305,0.8724,0.788,0.8171,0.8213,0.8524,0.8288,0.8461,0.8662,0.8459,0.7663
62086,Quercus_robur,136,0.8002,0.4463,0.5468,0.6208,0.752,0.6571,0.7457,0.7787,0.7662,0.3611
62144,Quercus_robur,734,0.7917,0.7389,0.767,0.7091,0.78,0.7651,0.7899,0.8038,0.8193,0.6629
62397,Pinus_pinaster,5272,0.8046,0.7985,0.7998,0.7903,0.772,0.7662,0.7739,0.7765,0.7423,0.7368
62440,Pinus_pinaster,21,0.7701,0.8046,0.8233,0.7823,0.8087,0.7869,0.7728,0.8147,0.7588,0.7696
62454,Pinus_pinaster,481,0.7351,0.7356,0.7391,0.7181,0.7411,0.7166,0.7139,0.7213,0.6965,0.6924
66360,Pinus_pinaster,9585,0.8401,0.8265,0.8391,0.8218,0.834,0.8063,0.8163,0.8117,0.7949,0.7991
66819,Pinus_pinaster,5350,0.792,0.7709,0.7828,0.7704,0.7941,0.7599,0.789,0.7864,0.7743,0.7696
66820,Pinus_pinaster,7048,0.7874,0.7476,0.7618,0.7264,0.7684,0.7404,0.7689,0.7599,0.7563,0.7471
66827,Pinus_pinaster,1359,0.8346,0.82,0.8362,0.8199,0.8169,0.7905,0.8024,0.8053,0.8085,0.7954
71039,Pinus_pinaster,7404,0.7586,0.77,0.7986,0.7886,0.816,0.7869,0.8097,0.8102,0.7993,0.7878
72400,Quercus_robur,1788,0.8819,0.8684,0.8761,0.8652,0.8616,0.8492,0.8554,0.8454,0.8467,0.8486
72404,Quercus_robur,0,,,,,,,,,,
72622,Quercus_robur,92,0.9187,0.7709,0.8248,0.8451,0.8522,0.8316,0.8558,0.8506,0.8481,0.7161
72624,Quercus_robur,47,0.8847,0.8631,0.8667,0.7966,0.8175,0.8285,0.8411,0.8643,0.8346,0.8364
75043,Pinus_pinaster,5656,0.8325,0.8287,0.8361,0.8257,0.8227,0.7999,0.8121,0.8122,0.8117,0.8057
75101,Pinus_pinaster,12836,0.8293,0.8174,0.8253,0.8133,0.8303,0.8015,0.8081,0.821,0.8018,0.7827
75103,Pinus_pinaster,753,0.7873,0.7695,0.7907,0.7836,0.8114,0.7786,0.8106,0.813,0.7829,0.7565
75156,Quercus_robur,339,0.7576,0.3377,0.416,0.5223,0.6236,0.6081,0.6659,0.7003,0.6984,0.3613
75178,Quercus_robur,2131,0.8425,0.8239,0.832,0.827,0.8393,0.8105,0.83,0.8455,0.8194,0.8054
75179,Quercus_robur,220,0.7707,0.7709,0.7766,0.7631,0.7823,0.7631,0.7812,0.7911,0.763,0.7548
75795,Quercus_robur,21685,0.8454,0.6613,0.7222,0.7494,0.7863,0.7707,0.7915,0.8168,0.8131,0.6666
75799,Pinus_pinaster,323,0.7292,0.3171,0.464,0.5308,0.6367,0.6514,0.7072,0.7319,0.7292,0.4535
75801,Pinus_sylvestris,2954,0.809,0.4726,0.5704,0.6464,0.7181,0.7116,0.7298,0.6708,0.7628,0.6934
75802,Pinus_sylvestris,1656,0.7868,0.5481,0.6142,0.6811,0.7091,0.7323,0.7321,0.7369,0.7476,0.7057
75803,Pinus_sylvestris,7888,0.7892,0.7739,0.7813,0.7726,0.7719,0.7665,0.7878,0.7903,0.7485,0.7479
75804,Pinus_pinaster,946,0.4389,0.4691,0.4826,0.4945,0.5634,0.5496,0.5986,0.6089,0.6531,0.5495
75805,Pinus_pinaster,956,0.7884,0.7819,0.7946,0.7986,0.7966,0.7958,0.8105,0.8242,0.7881,0.785
75806,Pinus_pinaster,555,0.7754,0.774,0.7832,0.7641,0.7619,0.756,0.7653,0.771,0.718,0.7239
75807,Pinus_pinaster,1247,0.7626,0.4126,0.4993,0.5574,0.66,0.6393,0.6951,0.7,0.7038,0.6226
75808,Alnus_glutinosa,646,0.8611,0.6621,0.7455,0.7811,0.8273,0.7984,0.8219,0.8348,0.8112,0.806
75809,Betula_spp,11113,0.8737,0.7841,0.8087,0.8066,0.8403,0.8056,0.8319,0.8345,0.843,0.8118
75810,Pinus_pinaster,7898,0.7791,0.7055,0.7628,0.7621,0.8051,0.7804,0.8029,0.8187,0.8093,0.7567
75817,Quercus_robur,1645,0.8918,0.8838,0.8706,0.8665,0.8797,0.8769,0.8663,0.8962,0.8671,0.8911
75818,Quercus_robur,308,0.9092,0.7442,0.7721,0.8076,0.8362,0.8414,0.8625,0.8646,0.8499,0.8314
75926,Pinus_pinaster,22,0.7976,0.7045,0.7587,0.7471,0.7498,0.7453,0.7706,0.7938,0.7904,0.76
75972,Pinus_pinaster,1793,0.8233,0.8307,0.8412,0.841,0.8596,0.829,0.8441,0.862,0.8285,0.8446
75982,Pinus_pinaster,3491,0.6571,0.4271,0.4815,0.5448,0.6163,0.55,0.6281,0.608,0.6047,0.5535
75983,Quercus_robur,15983,0.833,0.6486,0.7138,0.7324,0.7654,0.7365,0.7678,0.7732,0.7814,0.7515
75987,Quercus_robur,644,0.8688,0.861,0.8612,0.7883,0.8233,0.8122,0.8303,0.8662,0.8514,0.7968
75988,Quercus_robur,141,0.88,0.8624,0.8428,0.8135,0.858,0.8342,0.8338,0.8832,0.8466,0.865
76057,Quercus_robur,106,0.9263,0.9193,0.919,0.9137,0.92,0.8984,0.9022,0.9074,0.8979,0.9078
76058,Quercus_robur,304,0.8958,0.8887,0.8929,0.8856,0.894,0.8782,0.8784,0.8772,0.8738,0.8761
76059,Quercus_robur,2418,0.9056,0.8887,0.8974,0.894,0.8993,0.8841,0.8879,0.8832,0.8691,0.8779
76060,Pinus_pinaster,1065,0.8753,0.8622,0.8721,0.8675,0.8739,0.8546,0.8605,0.8512,0.845,0.8466
76062,Pinus_pinaster,276,0.7725,0.7923,0.7944,0.7664,0.7601,0.7357,0.7291,0.7818,0.7677,0.7678
76441,Pinus_pinaster,3486,0.7806,0.5572,0.6648,0.6907,0.7316,0.6956,0.7454,0.7463,0.7323,0.7049
