id,clase,tipo,ms
v0298,dudoso,,60774
v0097,edificacion,,28818
v0382,arbol,frondosa,3785
v0216,no,,19954
v0063,no,,1977
v0209,no,,1737
v0248,no,,1134
v0245,no,,13837
v0264,dudoso,,4627
v0350,arbol,,3021
v0112,dudoso,,5352
v0280,no,,6066
v0254,no,,8109
v0274,no,,3742
v0139,no,,3394
v0126,no,,1297
v0115,no,,1470
v0145,no,,1211
v0232,no,,1344
v0260,no,,3965
v0014,no,,1773
v0030,no,,695
v0283,dudoso,,6355
v0197,no,,1100
v0100,no,,1556
v0255,no,,1493
v0203,no,,1240
v0121,no,,4916
v0330,arbol,frondosa,3609
v0224,no,,3816
v0394,dudoso,,17458
v0399,arbol,nd,5123
v0253,no,,2454
v0377,arbol,nd,4917
v0324,arbol,frondosa,12473
v0004,dudoso,,4165
v0205,edificacion,,2257
v0118,no,,1777
v0384,arbol,frondosa,2494
v0080,no,,8256
v0368,arbol,frondosa,5690
v0157,no,,7326
v0159,no,,2405
v0029,no,,1526
v0038,no,,2064
v0008,no,,1041
v0090,dudoso,,11833
v0291,edificacion,,1463
v0190,edificacion,,8428
v0036,arbol,frondosa,5326
v0301,arbol,frondosa,3108
v0178,no,,2591
v0019,no,,1610
v0201,no,,1558
v0379,dudoso,,2528
v0396,arbol,,3272
v0059,no,,1855
v0317,dudoso,,3413
v0289,no,,3390
v0364,arbol,frondosa,3471
v0238,dudoso,,6657
v0351,dudoso,,5253
v0031,edificacion,,1912
v0096,no,,1502
v0344,no,,23586
v0393,dudoso,,6181
v0034,no,,2810
v0374,arbol,nd,3649
v0180,no,,1541
v0105,no,,2428
v0316,arbol,frondosa,1139
v0155,dudoso,,1357
v0290,edificacion,,5595
v0284,no,,7443
v0167,dudoso,,3555
v0148,no,,1229
v0093,no,,634
v0360,no,,5592
v0212,dudoso,,3075
v0056,no,,1438
v0303,dudoso,,4626
v0156,no,,2182
v0152,edificacion,,1203
v0194,no,,769
v0355,dudoso,,28541
v0109,edificacion,,3598
v0326,arbol,nd,2100
v0128,no,,1044
v0074,no,,1450
v0235,dudoso,,2606
v0211,no,,4326
v0218,no,,3326
v0270,dudoso,,6613
v0378,arbol,nd,1771
v0007,no,,1097
v0170,no,,2830
v0395,arbol,,4143
v0026,no,,1282
v0028,no,,1705
v0275,dudoso,,2991
v0042,no,,1448
v0217,no,,8108
v0133,no,,50528
v0154,edificacion,,998
v0158,no,,1143
v0045,no,,2039
v0144,no,,668
v0256,arbol,nd,1684
v0047,no,,835
v0307,dudoso,,1844
v0296,arbol,nd,2510
v0281,no,,1641
v0365,arbol,nd,4630
v0136,no,,1984
v0022,no,,1237
v0188,no,,2208
v0285,arbol,nd,3031
v0239,edificacion,,1199
v0240,no,,2911
v0089,no,,832
v0124,no,,869
v0043,no,,1691
v0006,no,,1954
v0277,dudoso,,10945
v0312,dudoso,,3492
v0095,no,,1241
v0117,no,,2533
v0131,no,,3203
v0130,no,,1039
v0227,no,,1330
v0387,arbol,nd,1369
v0383,dudoso,,4873
v0373,arbol,nd,1977
v0058,edificacion,,3373
v0237,arbol,nd,6417
v0023,no,,1075
v0370,arbol,nd,1286
v0191,no,,1795
v0127,no,,1872
v0297,no,,2129
v0266,arbol,nd,1654
v0215,dudoso,,9761
v0094,no,,2228
v0223,no,,3828
v0138,no,,1314
v0327,no,,1959
v0369,arbol,,3426
v0349,no,,4539
v0389,arbol,,1689
v0163,no,,1149
v0084,no,,1322
v0116,arbol,,2344
v0064,no,,2014
v0193,no,,716
v0072,edificacion,,2198
v0048,no,,1863
v0352,arbol,,1322
v0348,arbol,,5810
v0341,arbol,,1283
v0119,no,,1363
v0192,no,,3558
v0199,no,,976
v0016,no,,673
v0012,no,,733
v0287,dudoso,,3335
v0001,no,,1193
v0242,no,,5369
v0050,no,,1549
v0332,arbol,,1214
v0078,arbol,,1156
v0247,no,,1517
v0250,no,,4087
v0069,no,,1141
v0338,dudoso,,4939
v0198,no,,6103
v0315,dudoso,,2466
v0003,dudoso,,2440
v0375,arbol,,1371
v0282,dudoso,,1607
v0196,no,,607
v0151,no,,1329
v0103,no,,6963
v0385,arbol,,1017
v0000,no,,482
v0125,no,,3929
v0309,arbol,,1548
v0166,edificacion,,1703
v0257,dudoso,,4754
v0361,arbol,,1010
v0175,edificacion,,1907
v0226,no,,711
v0110,no,,105964
v0328,dudoso,,4771
v0391,arbol,,1440
v0176,no,,42160
v0053,no,,1169
v0083,no,,1072
v0076,arbol,,8114
v0102,no,,1298
v0340,arbol,,1448
v0079,no,,4021
v0305,arbol,,2649
v0181,no,,1359
v0346,arbol,,1122
v0054,arbol,,1467
v0013,no,,1314
v0322,arbol,,5799
v0251,dudoso,,3291
v0354,arbol,,8491
v0320,arbol,,2216
v0037,no,,1313
v0106,no,,710
v0345,no,,4013
v0187,arbol,,4003
v0146,no,,985
v0314,arbol,,4528
v0206,no,,2412
v0108,no,,2098
v0313,arbol,,2277
v0262,no,,1017
v0234,dudoso,,3556
v0230,no,,3672
v0044,no,,1269
v0272,arbol,,1594
v0343,arbol,,1578
v0261,dudoso,,1803
v0183,edificacion,,2861
v0200,dudoso,,13748
v0091,no,,927
v0329,no,,1287
v0088,no,,1387
v0331,dudoso,,2830
v0336,arbol,,1007
v0372,arbol,,1307
v0142,edificacion,,1086
v0386,arbol,,1467
v0111,dudoso,,1500
v0011,no,,764
v0359,arbol,,1861
v0172,no,,3675
v0306,dudoso,,1323
v0222,no,,1633
v0107,no,,4592
v0304,dudoso,,1348
v0318,arbol,,3361
v0269,dudoso,,2247
v0141,no,,1281
v0132,no,,1035
v0244,no,,36715
v0120,no,,1403
v0049,dudoso,,2204
v0273,no,,4482
v0099,no,,3056
v0311,dudoso,,1399
v0068,no,,1161
v0243,dudoso,,2228
v0286,no,,1153
v0073,no,,737
v0398,arbol,,1742
v0140,no,,1031
v0010,arbol,,2092
v0339,arbol,,2828
v0184,dudoso,,4774
v0337,arbol,,1407
v0381,dudoso,,2903
v0057,no,,1219
v0236,no,,1241
v0021,no,,689
v0288,no,,42723
v0263,no,,2245
v0092,no,,3500
v0294,no,,3525
v0164,dudoso,,4383
v0161,no,,2699
v0114,no,,1031
v0358,arbol,,1511
v0041,no,,3780
v0241,no,,1109
v0321,arbol,,1021
v0150,dudoso,,3533
v0122,no,,7241
v0334,arbol,,1337
v0087,no,,10225
v0362,arbol,,1164
v0233,no,,1636
v0005,no,,1682
v0225,no,,1586
v0333,no,,1418
v0055,no,,1052
v0033,no,,754
v0129,no,,1652
v0366,arbol,,3060
v0134,no,,1300
v0392,no,,1715
v0137,no,,3786
v0207,dudoso,,2087
v0062,no,,2344
v0371,arbol,,1414
v0162,no,,2157
v0025,no,,1685
v0380,arbol,,3493
v0077,no,,1039
v0168,no,,4953
v0278,no,,2780
v0027,no,,710
v0300,no,,4626
v0347,dudoso,,3208
v0353,arbol,,3529
v0279,arbol,,882
v0231,edificacion,,1284
v0060,no,,696
v0335,dudoso,,6894
v0186,no,,2692
v0032,no,,1488
v0363,arbol,,1492
v0202,no,,1058
v0101,no,,1401
v0098,no,,690
v0165,no,,781
v0267,no,,1298
v0086,no,,1355
v0276,arbol,,1013
v0271,dudoso,,2413
v0160,no,,221911
v0356,arbol,,4543
v0171,no,,2335
v0189,no,,1790
v0066,no,,1746
v0147,no,,1621
v0009,no,,748
v0017,no,,659
v0085,no,,867
v0135,no,,782
v0376,arbol,,1195
v0204,no,,1188
v0018,no,,813
v0252,dudoso,,2029
v0082,no,,1087
v0173,no,,1049
v0015,no,,2149
v0104,no,,1235
v0075,no,,1168
v0319,edificacion,,934
v0143,no,,787
v0220,no,,1496
v0039,no,,1634
v0310,arbol,,2560
v0169,dudoso,,2098
v0071,no,,1011
v0081,no,,1277
v0228,no,,1021
v0177,no,,1455
v0065,dudoso,,1641
v0195,no,,751
v0323,arbol,,1053
v0265,arbol,,2692
v0302,no,,774
v0035,no,,1924
v0229,no,,1560
v0123,no,,2058
v0308,arbol,,1390
v0367,arbol,,1066
v0249,arbol,,2290
v0259,no,,6745
v0040,no,,3288
v0179,edificacion,,1120
v0268,no,,1846
v0357,arbol,,3981
v0397,no,,1581
v0388,arbol,,1268
v0185,edificacion,,1752
v0210,edificacion,,2910
v0390,arbol,,1395
v0153,no,,2431
v0113,no,,1336
v0046,no,,956
v0024,no,,2102
v0149,no,,1668
v0214,dudoso,,2851
v0292,no,,3847
v0295,no,,3325
v0070,dudoso,,4028
v0208,arbol,,1456
v0246,no,,1170
v0299,dudoso,,1991
v0219,no,,2615
v0221,no,,1182
v0174,no,,2021
v0061,dudoso,,1309
v0293,arbol,,1608
v0051,dudoso,,3986
v0002,no,,806
v0067,no,,1314
v0182,no,,5172
v0258,no,,1934
v0342,arbol,,1431
v0052,edificacion,,1114
v0213,no,,1131
v0020,no,,738
v0325,arbol,,1015
