id,clase,tipo,ms
v0244,no,,36715
v0035,no,,1924
v0075,no,,1168
v0184,dudoso,,4774
v0248,no,,1134
v0225,no,,1586
v0050,no,,1549
v0135,no,,782
v0012,no,,733
v0388,arbol,,1268
v0120,no,,1403
v0038,no,,2064
v0015,no,,2149
v0141,no,,1281
v0125,no,,3929
v0293,arbol,,1608
v0323,arbol,,1053
v0046,no,,956
v0002,no,,806
v0144,no,,668
v0206,no,,2412
v0267,no,,1298
v0152,edificacion,,1203
v0087,no,,10225
v0153,no,,2431
v0040,no,,3288
v0201,no,,1558
v0302,no,,774
v0005,no,,1682
v0222,no,,1633
v0376,arbol,,1195
v0133,no,,50528
v0117,no,,2533
v0390,arbol,,1395
v0396,arbol,,3272
v0278,no,,2780
v0023,no,,1075
v0154,edificacion,,998
v0392,no,,1715
v0333,no,,1418
v0350,arbol,,3021
v0134,no,,1300
v0228,no,,1021
v0047,no,,835
v0106,no,,710
v0199,no,,976
v0143,no,,787
v0091,no,,927
v0279,arbol,,882
v0334,arbol,,1337
v0017,no,,659
v0146,no,,985
v0099,no,,3056
v0027,no,,710
v0284,no,,7443
v0176,no,,42160
v0132,no,,1035
v0395,arbol,,4143
v0165,no,,781
v0343,arbol,,1578
v0020,no,,738
v0016,no,,673
v0182,no,,5172
v0262,no,,1017
v0103,no,,6963
v0013,no,,1314
v0349,no,,4539
v0265,arbol,,2692
v0124,no,,869
v0092,no,,3500
v0088,no,,1387
v0042,no,,1448
v0098,no,,690
v0335,dudoso,,6894
v0360,no,,5592
v0085,no,,867
v0033,no,,754
v0161,no,,2699
v0209,no,,1737
v0001,no,,1193
v0030,no,,695
v0241,no,,1109
v0356,arbol,,4543
v0089,no,,832
v0319,edificacion,,934
v0385,arbol,,1017
v0196,no,,607
v0193,no,,716
v0095,no,,1241
v0226,no,,711
v0104,no,,1235
v0129,no,,1652
v0029,no,,1526
v0011,no,,764
v0295,no,,3325
v0221,no,,1182
v0195,no,,751
v0000,no,,482
v0366,arbol,,3060
v0067,no,,1314
v0123,no,,2058
v0060,no,,696
v0069,no,,1141
v0021,no,,689
v0273,no,,4482
v0362,arbol,,1164
v0037,no,,1313
v0051,dudoso,,3986
v0121,no,,4916
v0044,no,,1269
v0329,no,,1287
v0018,no,,813
v0243,dudoso,,2228
v0101,no,,1401
v0073,no,,737
v0009,no,,748
v0354,arbol,,8491
v0076,arbol,,8114
v0211,no,,4326
v0288,no,,42723
v0194,no,,769
v0219,no,,2615
v0367,arbol,,1066
v0093,no,,634
v0169,dudoso,,2098
v0068,no,,1161
