umbral_m,vp_ha,fp_ha,vn_ha,fn_ha,precision,recall,especificidad,fpr,tasa_fp_producto,f1,youden,exactitud,ic_precision_lo,ic_precision_hi,ic_recall_lo,ic_recall_hi
0.25,24.58265,44.2564,21.79086,0.72636,0.3571,0.9713,0.32993,0.67007,0.6429,0.52221,0.30123,0.50761,0.31818,0.39681,0.91235,1.0
0.5,23.85629,39.69021,26.35705,1.45272,0.37541,0.9426,0.39906,0.60094,0.62459,0.53697,0.34166,0.54964,0.33967,0.41061,0.86348,1.0
0.75,23.44025,37.61001,28.43725,1.86876,0.38395,0.92616,0.43056,0.56944,0.61605,0.54285,0.35672,0.56786,0.34751,0.42178,0.84242,0.99169
1.0,23.44025,35.11377,30.93349,1.86876,0.40032,0.92616,0.46835,0.53165,0.59968,0.55901,0.39452,0.59518,0.36102,0.43968,0.84242,0.99169
1.25,23.44025,33.03357,33.01369,1.86876,0.41506,0.92616,0.49985,0.50015,0.58494,0.57323,0.42601,0.61795,0.37571,0.45463,0.84242,0.99169
1.5,23.23223,31.16139,34.88587,2.07678,0.42711,0.91794,0.5282,0.4718,0.57289,0.58297,0.44614,0.63617,0.38718,0.46802,0.83729,0.99085
1.75,23.23223,28.33632,37.71094,2.07678,0.45051,0.91794,0.57097,0.42903,0.54949,0.6044,0.48891,0.66709,0.40681,0.49535,0.83729,0.99085
2.0,23.23223,26.21753,39.82973,2.07678,0.46981,0.91794,0.60305,0.39695,0.53019,0.62153,0.52099,0.69029,0.42454,0.51941,0.83729,0.99085
2.25,22.99681,21.97993,44.06733,2.31221,0.5113,0.90864,0.66721,0.33279,0.4887,0.65438,0.57585,0.73409,0.46205,0.56491,0.82713,0.9817
2.5,22.99681,17.84229,48.20497,2.31221,0.56311,0.90864,0.72986,0.27014,0.43689,0.69531,0.6385,0.77939,0.51193,0.61727,0.82713,0.9817
2.75,22.99681,15.94578,50.10148,2.31221,0.59053,0.90864,0.75857,0.24143,0.40947,0.71584,0.66721,0.80015,0.53606,0.64875,0.82713,0.9817
3.0,22.86134,14.86206,51.1852,2.44767,0.60603,0.90329,0.77498,0.22502,0.39397,0.72538,0.67827,0.81052,0.54811,0.66619,0.82253,0.97696
3.25,22.86134,13.64288,52.40438,2.44767,0.62627,0.90329,0.79344,0.20656,0.37373,0.73969,0.69673,0.82387,0.56654,0.68869,0.82253,0.97696
3.5,22.72588,12.69462,53.35264,2.58314,0.6416,0.89794,0.80779,0.19221,0.3584,0.74843,0.70573,0.83277,0.57985,0.70378,0.81733,0.97201
3.75,22.72588,11.6109,54.43636,2.58314,0.66185,0.89794,0.8242,0.1758,0.33815,0.76203,0.72214,0.84463,0.59934,0.72504,0.81733,0.97201
4.0,22.72588,11.20451,54.84275,2.58314,0.66978,0.89794,0.83036,0.16964,0.33022,0.76726,0.72829,0.84908,0.6071,0.73391,0.81733,0.97201
4.25,22.72588,9.98967,56.05759,2.58314,0.69465,0.89794,0.84875,0.15125,0.30535,0.78332,0.74669,0.86238,0.62996,0.76163,0.81733,0.97201
4.5,22.72588,9.32703,56.72023,2.58314,0.70901,0.89794,0.85878,0.14122,0.29099,0.79237,0.75672,0.86963,0.64302,0.77648,0.81733,0.97201
4.75,22.72588,8.44351,57.60375,2.58314,0.72911,0.89794,0.87216,0.12784,0.27089,0.80476,0.7701,0.8793,0.6628,0.79967,0.81733,0.97201
