discrepancia,id,clase,tipo,chm_m,estrato,peso_m2,bloque,x,y,juicio
falso_positivo,v0392,no,,30.670000076293945,"[20,inf)",2768.07,PNOA-2024-GAL-549-4679-H29-NPC01,549954.5,4678133.5,
falso_positivo,v0397,no,,20.399999618530277,"[20,inf)",2768.07,PNOA-2024-GAL-549-4679-H29-NPC01,549495.5,4678103.5,
falso_positivo,v0350,no,,17.010000228881836,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01,549247.5,4678073.5,
falso_positivo,v0344,no,,16.889999389648438,"[10,20)",3579.04,PNOA-2024-GAL-559-4674-H29-NPC01,559970.5,4673806.5,
falso_positivo,v0329,no,,15.260000228881836,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01,549364.5,4678978.5,
falso_positivo,v0349,no,,14.359999656677246,"[10,20)",3579.04,PNOA-2024-GAL-559-4674-H29-NPC01,559199.5,4673882.5,
falso_positivo,v0333,no,,13.979999542236328,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01,549602.5,4678216.5,
falso_positivo,v0327,no,,13.100000381469728,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01,549613.5,4678194.5,
falso_positivo,v0356,no,,11.899999618530272,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01,549322.5,4678844.5,
falso_positivo,v0345,no,,11.630000114440918,"[10,20)",3579.04,PNOA-2024-GAL-559-4674-H29-NPC01,559877.5,4673888.5,
falso_positivo,v0281,no,,9.949999809265137,"[6,10)",1948.38,PNOA-2024-GAL-559-4674-H29-NPC01,559912.5,4673298.5,
falso_positivo,v0289,no,,9.18000030517578,"[6,10)",1948.38,PNOA-2024-GAL-549-4679-H29-NPC01,549344.5,4678994.5,
falso_positivo,v0294,no,,9.100000381469728,"[6,10)",1948.38,PNOA-2024-GAL-549-4679-H29-NPC01,549631.5,4678759.5,
falso_positivo,v0300,no,,8.960000038146973,"[6,10)",1948.38,PNOA-2024-GAL-562-4668-H29-NPC01,562169.5,4667019.5,
falso_positivo,v0274,no,,8.569999694824219,"[6,10)",1948.38,PNOA-2024-GAL-562-4668-H29-NPC01,562089.5,4667847.5,
