replica,umbral_m,tasa_fp,tasa_fp_u55,umbral_m_pesim,tasa_fp_u55_pesim
0,6.0,0.24526,0.26623,5.75,0.32128
1,5.5,0.2625,0.2625,5.5,0.35713
2,7.0,0.2688,0.3021,5.5,0.36883
3,5.5,0.36153,0.36153,5.25,0.34453
4,5.5,0.33771,0.33771,4.75,0.37512
5,5.5,0.34291,0.34291,5.5,0.33664
6,5.75,0.24275,0.25544,5.0,0.37012
7,5.5,0.32182,0.32182,5.5,0.2963
8,5.5,0.30723,0.30723,5.5,0.34716
9,5.5,0.30983,0.30983,5.75,0.34766
10,5.0,0.36856,0.36562,5.5,0.32484
11,5.5,0.38927,0.38927,5.5,0.36576
12,5.5,0.26365,0.26365,6.0,0.33815
13,5.5,0.32224,0.32224,5.5,0.37154
14,5.0,0.32105,0.31079,4.75,0.38356
15,5.0,0.36447,0.35908,5.5,0.37289
16,5.0,0.30549,0.29844,5.5,0.34265
17,5.5,0.31076,0.31076,5.5,0.28768
18,5.5,0.32789,0.32789,5.5,0.35299
19,5.0,0.28361,0.27232,7.0,0.38055
20,5.5,0.38013,0.38013,5.5,0.38568
21,5.5,0.32355,0.32355,5.0,0.32784
22,5.5,0.25951,0.25951,5.75,0.3057
23,5.5,0.34992,0.34992,5.25,0.38363
24,5.5,0.33896,0.33896,5.5,0.39683
25,5.5,0.29016,0.29016,5.25,0.35019
26,5.5,0.37633,0.37633,5.75,0.33243
27,5.5,0.35319,0.35319,5.0,0.36421
28,5.5,0.27221,0.27221,5.5,0.36831
29,5.5,0.35876,0.35876,5.5,0.38036
30,5.75,0.35774,0.37109,5.5,0.38522
31,5.5,0.30044,0.30044,5.5,0.30426
32,5.5,0.31012,0.31012,5.5,0.37369
33,5.5,0.33217,0.33217,5.5,0.36863
34,5.0,0.34693,0.33723,5.0,0.3086
35,5.5,0.32304,0.32304,5.75,0.34871
36,5.5,0.33815,0.33815,5.0,0.42099
37,5.5,0.28581,0.28581,5.5,0.38186
38,5.5,0.2867,0.2867,5.5,0.31697
39,5.5,0.3107,0.3107,5.0,0.36373
40,5.5,0.28732,0.28732,6.0,0.36564
41,5.5,0.3202,0.3202,5.0,0.36754
42,5.5,0.32824,0.32824,5.5,0.3379
43,5.0,0.30405,0.29321,6.0,0.38676
44,5.5,0.2798,0.2798,6.0,0.31624
45,5.0,0.35675,0.34749,5.25,0.38137
46,5.5,0.27151,0.27151,6.0,0.29443
47,5.5,0.319,0.319,5.5,0.33879
48,5.5,0.31658,0.31658,5.0,0.37841
49,5.5,0.40241,0.40241,4.75,0.40354
50,5.5,0.3522,0.3522,5.5,0.32284
51,5.5,0.28013,0.28013,5.5,0.41958
52,5.5,0.30838,0.30838,5.5,0.35028
53,5.5,0.35361,0.35361,6.0,0.31898
54,5.5,0.30622,0.30622,5.5,0.33464
55,5.5,0.30871,0.30871,5.5,0.29441
56,5.5,0.30899,0.30899,5.5,0.32135
57,5.5,0.28413,0.28413,6.25,0.37119
58,5.5,0.37163,0.37163,5.5,0.35142
59,5.5,0.32861,0.32861,5.5,0.30623
60,5.5,0.35764,0.35764,5.5,0.35347
61,5.5,0.29329,0.29329,5.0,0.31913
62,5.25,0.39447,0.39593,5.5,0.32889
63,4.75,0.33287,0.3166,5.5,0.38584
64,5.5,0.27169,0.27169,5.75,0.37688
65,5.5,0.36852,0.36852,5.5,0.37661
66,5.0,0.41462,0.40686,5.5,0.39663
67,5.5,0.29851,0.29851,5.5,0.39677
68,5.5,0.35482,0.35482,5.5,0.35433
69,5.5,0.28146,0.28146,5.0,0.37536
70,5.5,0.39375,0.39375,5.5,0.3207
71,5.0,0.30201,0.29391,5.5,0.3093
72,5.5,0.29415,0.29415,5.5,0.31738
73,5.0,0.31852,0.30811,5.0,0.38784
74,5.5,0.32699,0.32699,5.5,0.29572
75,5.25,0.32293,0.32293,5.5,0.35862
76,5.5,0.30143,0.30143,5.5,0.34018
77,5.5,0.27054,0.27054,5.5,0.30498
78,5.5,0.32394,0.32394,5.5,0.35523
79,5.0,0.37822,0.36946,5.75,0.35237
80,5.5,0.34715,0.34715,6.0,0.36135
81,5.5,0.30444,0.30444,5.0,0.37371
82,5.5,0.29376,0.29376,5.5,0.34457
83,5.5,0.29959,0.29959,5.5,0.427
84,5.5,0.30434,0.30434,5.75,0.31803
85,5.5,0.32596,0.32596,5.5,0.366
86,5.5,0.26626,0.26626,5.5,0.35005
87,5.5,0.348,0.348,8.5,0.35152
88,5.5,0.28555,0.28555,5.5,0.34264
89,5.0,0.32069,0.3105,5.5,0.36129
90,5.5,0.30794,0.30794,5.5,0.36453
91,5.5,0.31988,0.31988,5.5,0.32659
92,5.5,0.31397,0.31397,5.0,0.42008
93,5.0,0.34983,0.34263,5.5,0.40723
94,5.5,0.27529,0.27529,5.25,0.36182
95,5.5,0.3736,0.3736,5.5,0.34642
96,5.5,0.29869,0.29869,5.0,0.38607
97,5.5,0.32928,0.32928,5.5,0.34713
98,5.5,0.3399,0.3399,5.0,0.40091
99,5.5,0.35535,0.35535,5.5,0.37347
