id,orden,x,y,chm_m,estrato,peso_m2,bloque
v0298,0,549412.5,4678665.5,7.769999980926514,"[6,10)",1948.38,PNOA-2024-GAL-549-4679-H29-NPC01
v0097,1,559866.5,4673048.5,2.0899999141693115,"[1.5,2.5)",2354.22,PNOA-2024-GAL-559-4674-H29-NPC01
v0382,2,549412.5,4678586.5,30.709999084472656,"[20,inf)",2768.07,PNOA-2024-GAL-549-4679-H29-NPC01
v0216,3,559623.5,4673420.5,4.760000228881836,"[4,6)",1104.4,PNOA-2024-GAL-559-4674-H29-NPC01
v0063,4,549325.5,4678897.5,1.409999966621399,"[0.5,1.5)",2080.2,PNOA-2024-GAL-549-4679-H29-NPC01
v0209,5,549731.5,4678906.5,3.1600000858306885,"[2.5,4)",1354.65,PNOA-2024-GAL-549-4679-H29-NPC01
v0248,6,549799.5,4678839.5,5.630000114440918,"[4,6)",1104.4,PNOA-2024-GAL-549-4679-H29-NPC01
v0245,7,559568.5,4673374.5,5.329999923706055,"[4,6)",1104.4,PNOA-2024-GAL-559-4674-H29-NPC01
v0264,8,562611.5,4667240.5,4.179999828338623,"[4,6)",1104.4,PNOA-2024-GAL-562-4668-H29-NPC01
v0350,9,549247.5,4678073.5,17.010000228881836,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01
v0112,10,562731.5,4667499.5,2.450000047683716,"[1.5,2.5)",2354.22,PNOA-2024-GAL-562-4668-H29-NPC01
v0280,11,559789.5,4673941.5,8.329999923706055,"[6,10)",1948.38,PNOA-2024-GAL-559-4674-H29-NPC01
v0254,12,559055.5,4673911.5,5.760000228881836,"[4,6)",1104.4,PNOA-2024-GAL-559-4674-H29-NPC01
v0274,13,562089.5,4667847.5,8.569999694824219,"[6,10)",1948.38,PNOA-2024-GAL-562-4668-H29-NPC01
v0139,14,562680.5,4667337.5,1.559999942779541,"[1.5,2.5)",2354.22,PNOA-2024-GAL-562-4668-H29-NPC01
v0126,15,549235.5,4678335.5,1.5199999809265137,"[1.5,2.5)",2354.22,PNOA-2024-GAL-549-4679-H29-NPC01
