id,grupo,clase,tipo,ms,chm_m,estrato,peso_m2
v0244,rapido,no,,889,4.03000020980835,"[4,6)",1104.4
v0035,rapido,no,,645,0.1099999994039535,"[0,0.5)",7263.62
v0075,rapido,no,,530,1.0800000429153442,"[0.5,1.5)",2080.2
v0184,control,no,,2559,3.950000047683716,"[2.5,4)",1354.65
v0248,control,no,,3098,5.630000114440918,"[4,6)",1104.4
v0225,rapido,no,,998,4.670000076293945,"[4,6)",1104.4
v0050,control,no,,1343,1.1200000047683716,"[0.5,1.5)",2080.2
v0135,rapido,no,,601,2.0899999141693115,"[1.5,2.5)",2354.22
v0012,rapido,no,,767,0.270000010728836,"[0,0.5)",7263.62
v0388,control,arbol,,1095,23.739999771118164,"[20,inf)",2768.07
v0120,rapido,no,,611,2.400000095367432,"[1.5,2.5)",2354.22
v0038,control,no,,1315,0.2800000011920929,"[0,0.5)",7263.62
v0015,rapido,no,,628,0.0900000035762786,"[0,0.5)",7263.62
v0141,rapido,no,,614,2.240000009536743,"[1.5,2.5)",2354.22
v0125,rapido,no,,783,2.0799999237060547,"[1.5,2.5)",2354.22
v0293,control,dudoso,,2171,7.099999904632568,"[6,10)",1948.38
v0323,control,arbol,,1086,15.34000015258789,"[10,20)",3579.04
v0046,rapido,no,,869,0.9900000095367432,"[0.5,1.5)",2080.2
v0002,rapido,no,,673,0.1099999994039535,"[0,0.5)",7263.62
v0144,rapido,no,,763,2.240000009536743,"[1.5,2.5)",2354.22
v0206,rapido,no,,788,3.619999885559082,"[2.5,4)",1354.65
v0267,rapido,no,,561,4.710000038146973,"[4,6)",1104.4
v0152,control,edificacion,,4151,3.670000076293945,"[2.5,4)",1354.65
v0087,control,arbol,,1264,1.2200000286102295,"[0.5,1.5)",2080.2
v0153,rapido,no,,745,3.4600000381469727,"[2.5,4)",1354.65
v0040,control,no,,1391,0.8899999856948853,"[0.5,1.5)",2080.2
v0201,rapido,no,,859,2.619999885559082,"[2.5,4)",1354.65
v0302,rapido,no,,803,7.980000019073486,"[6,10)",1948.38
v0005,rapido,no,,822,0.3199999928474426,"[0,0.5)",7263.62
v0222,rapido,no,,747,4.159999847412109,"[4,6)",1104.4
v0376,control,arbol,,1184,20.209999084472656,"[20,inf)",2768.07
v0133,rapido,no,,955,2.4100000858306885,"[1.5,2.5)",2354.22
v0117,rapido,no,,783,1.7100000381469729,"[1.5,2.5)",2354.22
v0390,rapido,arbol,,622,21.040000915527344,"[20,inf)",2768.07
v0396,rapido,arbol,frondosa,429,25.670000076293945,"[20,inf)",2768.07
v0278,control,dudoso,,2779,8.680000305175781,"[6,10)",1948.38
v0023,rapido,no,,996,0.3100000023841858,"[0,0.5)",7263.62
v0154,rapido,edificacion,,966,3.190000057220459,"[2.5,4)",1354.65
v0392,control,no,,5360,30.670000076293945,"[20,inf)",2768.07
v0333,control,no,,1507,13.979999542236328,"[10,20)",3579.04
v0350,control,no,,6584,17.010000228881836,"[10,20)",3579.04
v0134,rapido,no,,674,2.440000057220459,"[1.5,2.5)",2354.22
v0228,control,no,,1965,4.03000020980835,"[4,6)",1104.4
v0047,rapido,no,,725,0.6000000238418579,"[0.5,1.5)",2080.2
v0106,rapido,no,,957,2.109999895095825,"[1.5,2.5)",2354.22
v0199,rapido,no,,924,2.7300000190734863,"[2.5,4)",1354.65
v0143,rapido,no,,636,1.649999976158142,"[1.5,2.5)",2354.22
v0091,rapido,no,,997,2.369999885559082,"[1.5,2.5)",2354.22
v0279,rapido,arbol,,926,9.0600004196167,"[6,10)",1948.38
v0334,rapido,arbol,,913,15.770000457763672,"[10,20)",3579.04
v0017,rapido,no,,666,0.1599999964237213,"[0,0.5)",7263.62
v0146,rapido,no,,773,1.5399999618530271,"[1.5,2.5)",2354.22
v0099,rapido,no,,807,1.9900000095367432,"[1.5,2.5)",2354.22
v0027,rapido,no,,832,0.1199999973177909,"[0,0.5)",7263.62
v0284,control,no,,3008,6.880000114440918,"[6,10)",1948.38
v0176,control,no,,1463,3.0199999809265137,"[2.5,4)",1354.65
v0132,rapido,no,,829,2.450000047683716,"[1.5,2.5)",2354.22
v0395,control,arbol,nd,4673,30.0,"[20,inf)",2768.07
v0165,rapido,no,,561,2.6600000858306885,"[2.5,4)",1354.65
v0343,control,arbol,,1473,17.739999771118164,"[10,20)",3579.04
v0020,rapido,no,,768,0.3899999856948852,"[0,0.5)",7263.62
v0016,rapido,no,,795,0.1599999964237213,"[0,0.5)",7263.62
v0182,rapido,no,,611,3.490000009536743,"[2.5,4)",1354.65
v0262,rapido,no,,730,5.53000020980835,"[4,6)",1104.4
v0103,control,no,,1045,2.319999933242798,"[1.5,2.5)",2354.22
v0013,control,no,,1662,0.1099999994039535,"[0,0.5)",7263.62
v0349,control,no,,3401,14.359999656677246,"[10,20)",3579.04
v0265,control,no,,4575,5.550000190734863,"[4,6)",1104.4
v0124,rapido,no,,672,2.319999933242798,"[1.5,2.5)",2354.22
v0092,rapido,no,,880,2.309999942779541,"[1.5,2.5)",2354.22
v0088,rapido,no,,718,1.1299999952316284,"[0.5,1.5)",2080.2
v0042,rapido,no,,909,1.190000057220459,"[0.5,1.5)",2080.2
v0098,rapido,no,,879,1.9800000190734863,"[1.5,2.5)",2354.22
v0335,control,dudoso,,9534,17.260000228881836,"[10,20)",3579.04
v0360,control,dudoso,,4969,11.90999984741211,"[10,20)",3579.04
v0085,rapido,no,,479,0.949999988079071,"[0.5,1.5)",2080.2
v0033,rapido,no,,502,0.050000000745058,"[0,0.5)",7263.62
v0161,rapido,no,,977,3.5799999237060547,"[2.5,4)",1354.65
v0209,control,edificacion,,2935,3.1600000858306885,"[2.5,4)",1354.65
v0001,rapido,no,,846,0.3100000023841858,"[0,0.5)",7263.62
v0030,rapido,no,,925,0.25,"[0,0.5)",7263.62
v0241,rapido,no,,836,5.769999980926514,"[4,6)",1104.4
v0356,control,no,,6351,11.899999618530272,"[10,20)",3579.04
v0089,rapido,no,,947,1.309999942779541,"[0.5,1.5)",2080.2
v0319,control,edificacion,,1015,6.989999771118164,"[6,10)",1948.38
v0385,rapido,arbol,,839,21.020000457763672,"[20,inf)",2768.07
v0196,rapido,no,,800,2.990000009536743,"[2.5,4)",1354.65
v0193,rapido,no,,662,2.5,"[2.5,4)",1354.65
v0095,rapido,no,,707,1.559999942779541,"[1.5,2.5)",2354.22
v0226,control,no,,1418,4.099999904632568,"[4,6)",1104.4
v0104,rapido,no,,809,2.190000057220459,"[1.5,2.5)",2354.22
v0129,rapido,no,,639,2.0299999713897705,"[1.5,2.5)",2354.22
v0029,rapido,no,,828,0.2399999946355819,"[0,0.5)",7263.62
v0011,control,no,,1048,0.2399999946355819,"[0,0.5)",7263.62
v0295,control,no,,1176,7.739999771118164,"[6,10)",1948.38
v0221,control,no,,2086,4.289999961853027,"[4,6)",1104.4
v0195,rapido,no,,608,2.509999990463257,"[2.5,4)",1354.65
v0000,rapido,no,,695,0.0799999982118606,"[0,0.5)",7263.62
v0366,rapido,arbol,,815,11.18000030517578,"[10,20)",3579.04
v0067,rapido,no,,816,0.5699999928474426,"[0.5,1.5)",2080.2
v0123,rapido,no,,652,1.5299999713897705,"[1.5,2.5)",2354.22
v0060,rapido,no,,735,1.2400000095367432,"[0.5,1.5)",2080.2
v0069,rapido,no,,771,0.5899999737739563,"[0.5,1.5)",2080.2
v0021,rapido,no,,679,0.1400000005960464,"[0,0.5)",7263.62
v0273,rapido,no,,744,8.239999771118164,"[6,10)",1948.38
v0362,rapido,arbol,,780,17.959999084472656,"[10,20)",3579.04
v0037,rapido,no,,792,0.1099999994039535,"[0,0.5)",7263.62
v0051,control,no,,1664,1.409999966621399,"[0.5,1.5)",2080.2
v0121,control,no,,1238,2.2699999809265137,"[1.5,2.5)",2354.22
v0044,rapido,no,,986,1.440000057220459,"[0.5,1.5)",2080.2
v0329,rapido,no,,878,15.260000228881836,"[10,20)",3579.04
v0018,rapido,no,,760,0.2300000041723251,"[0,0.5)",7263.62
v0243,rapido,no,,838,4.789999961853027,"[4,6)",1104.4
v0101,rapido,no,,753,2.059999942779541,"[1.5,2.5)",2354.22
v0073,rapido,no,,694,1.0399999618530271,"[0.5,1.5)",2080.2
v0009,rapido,no,,974,0.1299999952316284,"[0,0.5)",7263.62
v0354,control,dudoso,,5701,11.550000190734863,"[10,20)",3579.04
v0076,rapido,no,,637,1.2699999809265137,"[0.5,1.5)",2080.2
v0211,control,no,,3537,5.139999866485596,"[4,6)",1104.4
v0288,rapido,no,,938,8.369999885559082,"[6,10)",1948.38
v0194,rapido,no,,977,2.640000104904175,"[2.5,4)",1354.65
v0219,control,no,,6969,5.630000114440918,"[4,6)",1104.4
v0367,control,arbol,,1279,19.8799991607666,"[10,20)",3579.04
v0093,rapido,no,,815,2.109999895095825,"[1.5,2.5)",2354.22
v0169,control,dudoso,,3507,3.799999952316284,"[2.5,4)",1354.65
v0068,rapido,no,,738,0.8999999761581421,"[0.5,1.5)",2080.2
