id,respuesta,intervalos,t_ms
v001,no,,41329
v002,si,2020-2023,31863
v003,no,,473245
v004,no,,4211
v005,no,,2631
v006,si,2017-2020,11837
v007,no,,11494
v008,no,,3240
v009,no,,9331
v010,no,,17784
v011,no,,10050
v012,no,,2166
v013,si,2010-2014,13394
v014,no,,251261
v015,si,2010-2014,6852
v016,no,,3389
v017,si,2017-2020,11304
v018,no,,63131
v019,no,,4512
v020,no,,3699
v021,no,,3924
v022,no,,3864
v023,si,2020-2023,9228
v024,si,2017-2020,9699
v025,si,2020-2023,52854
v026,no,,16118
v027,no,,77283
v028,si,2010-2014|2023-hoy,52664
v029,no,,82453
v030,no,,5059
v031,no,,3160
v032,no,,4528
v033,no,,9350
v034,no,,2417
v035,si,2020-2023,99090
v036,si,2010-2014,11197
v037,no,,4694
v038,si,2020-2023,9615
v039,no,,22258
v040,no,,3115
v041,no,,6372
v042,si,2010-2014,6837
v043,no,,2278
v044,si,2010-2014|2023-hoy,10328
v045,no,,18763
v046,no,,2393
v047,si,2020-2023,8581
v048,no,,11225
v049,no,,1867
v050,no,,7159
v051,no,,3677
v052,no,,2594
v053,no,,1908
v054,no,,1719
v055,si,2020-2023,9258
v056,no,,2887
v057,si,2014-2017|2020-2023,20106
v058,si,2014-2017,12381
v059,no,,15765
v060,si,2020-2023,8078
v061,si,2020-2023,7539
v062,no,,3832
v063,si,2017-2020,9841
v064,si,2017-2020,26203
v065,no,,4978
