id,OBJECTID_12,sp,fccarb,x,y,lado,ha_faixa,en_faixa,estado,anho_evento,caida
v001,86481,Quercus_robur,80.0,557831.0,4675014.0,480,1.284,True,persistente,,0.027
v002,86392,Eucalyptus_globulus,80.0,559368.0,4671502.0,600,0.0,False,evento,2020.0,0.254
v003,86629,Pinus_pinaster,35.0,561298.0,4666986.0,600,2.121,True,persistente,,0.017
v004,86718,Pinus_pinaster,15.0,551892.0,4666614.0,600,0.0,False,evento,2018.0,0.22
v005,85258,Alnus_glutinosa,65.0,559993.0,4663859.0,420,0.0,False,persistente,,0.038
v006,86446,Pinus_radiata,80.0,555302.0,4674680.0,400,0.0,False,evento,2019.0,0.256
v007,86699,Quercus_robur,20.0,564936.0,4666844.0,240,0.126,True,persistente,,0.026
v008,86473,Pinus_pinaster,60.0,557517.0,4675138.0,580,1.572,True,persistente,,0.015
v009,86537,Pinus_radiata,55.0,561781.0,4667231.0,360,0.0,False,evento,2024.0,0.261
v010,85239,Pinus_pinaster,65.0,565455.0,4675110.0,600,0.725,True,evento,2025.0,0.197
v011,60119,Acacia_dealbata,60.0,568341.0,4683979.0,600,0.0,False,evento,2026.0,0.407
v012,86652,Quercus_robur,80.0,557817.0,4668789.0,420,0.545,True,persistente,,0.019
v013,86493,Pinus_pinaster,20.0,550845.0,4669966.0,600,0.459,True,persistente,,0.042
v014,86284,Pinus_pinaster,25.0,562748.0,4675696.0,600,27.902,True,persistente,,0.028
v015,75807,Pinus_pinaster,65.0,564712.0,4683156.0,600,0.0,False,evento,2018.0,0.335
v016,86726,Pinus_pinaster,60.0,567925.0,4672171.0,600,0.07,True,evento,2020.0,0.314
v017,86332,Pinus_pinaster,60.0,550030.0,4665479.0,600,0.0,False,evento,2018.0,0.237
v018,86623,Eucalyptus_globulus,60.0,566784.0,4669495.0,600,0.173,True,evento,2024.0,0.237
v019,60132,Pinus_pinaster,80.0,568028.0,4683397.0,600,0.0,False,evento,2026.0,0.359
v020,86370,Pinus_pinaster,70.0,550354.0,4663929.0,400,0.0,False,persistente,,0.037
v021,75801,Pinus_sylvestris,30.0,562571.0,4684940.0,600,0.0,False,evento,2018.0,0.321
v022,86436,Eucalyptus_globulus,85.0,565206.0,4673051.0,400,0.0,False,evento,2026.0,0.281
v023,76472,Pinus_pinaster,95.0,567178.0,4677787.0,360,0.0,False,evento,2023.0,0.233
v024,86620,Eucalyptus_globulus,50.0,556729.0,4668533.0,400,0.0,False,evento,2019.0,0.367
v025,86528,Eucalyptus_globulus,65.0,556539.0,4664822.0,600,0.0,False,evento,2023.0,0.267
v026,86293,Quercus_robur,50.0,559089.0,4678818.0,600,0.825,True,persistente,,0.048
v027,86265,Quercus_robur,45.0,555948.0,4682727.0,600,3.156,True,evento,2026.0,0.206
v028,86561,Eucalyptus_globulus,60.0,551112.0,4676721.0,520,0.0,False,evento,2025.0,0.265
v029,95550,Eucalyptus_globulus,75.0,549130.0,4669847.0,600,0.0,False,evento,2021.0,0.342
