id,OBJECTID_12,estado,anho_evento,respuesta,intervalos,veredicto,fccarb,ha_faixa,en_faixa
v002,86392,evento,2020.0,si,2020-2023,confirmado,80.0,0.0,False
v004,86718,evento,2018.0,no,,no_visto,15.0,0.0,False
v006,86446,evento,2019.0,si,2017-2020,confirmado,80.0,0.0,False
v009,86537,evento,2024.0,no,,no_visto,55.0,0.0,False
v010,85239,evento,2025.0,no,,no_visto,65.0,0.725,True
v011,60119,evento,2026.0,no,,no_visto,60.0,0.0,False
v015,75807,evento,2018.0,si,2010-2014,en_otro_intervalo,65.0,0.0,False
v016,86726,evento,2020.0,no,,no_visto,60.0,0.07,True
v017,86332,evento,2018.0,si,2017-2020,confirmado,60.0,0.0,False
v018,86623,evento,2024.0,no,,no_visto,60.0,0.173,True
v019,60132,evento,2026.0,no,,no_visto,80.0,0.0,False
v021,75801,evento,2018.0,no,,no_visto,30.0,0.0,False
v022,86436,evento,2026.0,no,,no_visto,85.0,0.0,False
v023,76472,evento,2023.0,si,2020-2023,confirmado,95.0,0.0,False
v024,86620,evento,2019.0,si,2017-2020,confirmado,50.0,0.0,False
v025,86528,evento,2023.0,si,2020-2023,confirmado,65.0,0.0,False
v027,86265,evento,2026.0,no,,no_visto,45.0,3.156,True
v028,86561,evento,2025.0,si,2010-2014|2023-hoy,confirmado,60.0,0.0,False
v029,95550,evento,2021.0,no,,no_visto,75.0,0.0,False
v032,62086,evento,2018.0,no,,no_visto,80.0,0.0,False
v034,80598,evento,2022.0,no,,no_visto,45.0,0.0,False
v036,86413,evento,2024.0,si,2010-2014,en_otro_intervalo,75.0,0.0,False
v038,76473,evento,2023.0,si,2020-2023,confirmado,75.0,0.0,False
v040,86554,evento,2025.0,no,,no_visto,60.0,0.148,True
v042,86560,evento,2025.0,si,2010-2014,en_otro_intervalo,80.0,0.0,False
v043,86471,evento,2025.0,no,,no_visto,60.0,0.0,False
v044,85224,evento,2024.0,si,2010-2014|2023-hoy,confirmado,80.0,2.446,True
v046,81464,evento,2026.0,no,,no_visto,40.0,0.0,False
v047,86419,evento,2022.0,si,2020-2023,confirmado,75.0,0.0,False
v048,86567,evento,2021.0,no,,no_visto,50.0,0.0,False
v052,86669,evento,2026.0,no,,no_visto,60.0,0.665,True
v053,85249,evento,2026.0,no,,no_visto,35.0,0.637,True
v055,95542,evento,2023.0,si,2020-2023,confirmado,85.0,0.0,False
v057,85237,evento,2022.0,si,2014-2017|2020-2023,confirmado,20.0,1.943,True
v059,86633,evento,2026.0,no,,no_visto,75.0,0.0,False
v060,86477,evento,2023.0,si,2020-2023,confirmado,15.0,0.0,False
v061,85389,evento,2023.0,si,2020-2023,confirmado,80.0,0.0,False
v063,86338,evento,2018.0,si,2017-2020,confirmado,45.0,0.0,False
v064,86322,evento,2023.0,si,2017-2020,en_otro_intervalo,65.0,7.492,True
v001,86481,persistente,,no,,confirmado,80.0,1.284,True
v003,86629,persistente,,no,,confirmado,35.0,2.121,True
v005,85258,persistente,,no,,confirmado,65.0,0.0,False
v007,86699,persistente,,no,,confirmado,20.0,0.126,True
v008,86473,persistente,,no,,confirmado,60.0,1.572,True
v012,86652,persistente,,no,,confirmado,80.0,0.545,True
v013,86493,persistente,,si,2010-2014,evento_pre_s2,20.0,0.459,True
v014,86284,persistente,,no,,confirmado,25.0,27.902,True
v020,86370,persistente,,no,,confirmado,70.0,0.0,False
v026,86293,persistente,,no,,confirmado,50.0,0.825,True
v030,86449,persistente,,no,,confirmado,80.0,0.0,False
v031,86470,persistente,,no,,confirmado,85.0,0.693,True
v033,86506,persistente,,no,,confirmado,70.0,16.17,True
v035,86430,persistente,,si,2020-2023,falso_negativo,60.0,4.399,True
v037,86702,persistente,,no,,confirmado,15.0,0.292,True
v039,85255,persistente,,no,,confirmado,35.0,0.568,True
v041,86403,persistente,,no,,confirmado,65.0,4.542,True
v045,95052,persistente,,no,,confirmado,10.0,0.0,False
v049,86360,persistente,,no,,confirmado,60.0,0.182,True
v050,86719,persistente,,no,,confirmado,20.0,0.0,False
v051,86260,persistente,,no,,confirmado,85.0,0.449,True
v054,95541,persistente,,no,,confirmado,70.0,2.126,True
v056,86361,persistente,,no,,confirmado,75.0,6.665,True
v058,86522,persistente,,si,2014-2017,evento_pre_s2,60.0,2.5,True
v062,86529,persistente,,no,,confirmado,65.0,0.322,True
v065,86426,persistente,,no,,confirmado,80.0,0.0,False
