id,clase,tipo,ms
p0020,no,,0
p0013,dudoso,,43012
p0097,arbol,,4996
p0006,no,,0
p0130,arbol,,11771
p0032,edificacion,,8048
p0110,arbol,,2028
p0075,no,,810
p0010,no,,0
p0007,dudoso,,3288
p0116,arbol,,1831
p0123,arbol,,1162
p0105,arbol,,729
p0093,arbol,,1717
p0056,no,,7489
p0100,arbol,,1041
p0022,no,,0
p0135,arbol,,823
p0109,arbol,,943
p0133,arbol,,1256
p0127,dudoso,,3589
p0064,arbol,,1949
p0071,no,,1167
p0011,no,,0
p0083,no,,818
p0043,no,,1269
p0098,no,,0
p0073,no,,1572
p0140,arbol,,292
p0129,arbol,,1290
p0004,no,,0
p0069,no,,1348
p0136,arbol,,1028
p0025,no,,623
p0067,no,,763
p0104,arbol,,2212
p0084,arbol,,1253
p0089,arbol,,1285
p0143,arbol,,1026
p0131,arbol,,505
p0114,arbol,,582
p0070,dudoso,,1517
p0065,arbol,,4222
p0031,arbol,,818
p0138,arbol,,1233
p0055,no,,1054
p0005,no,,0
p0091,no,,1320
p0038,arbol,,678
p0122,arbol,,1936
p0076,arbol,,1071
p0107,no,,1614
p0072,edificacion,,1159
p0053,edificacion,,1138
p0044,dudoso,,1642
p0144,arbol,,820
p0016,no,,2561
p0014,no,,572
p0134,arbol,,1334
p0049,no,,263
p0039,no,,1230
p0000,no,,0
p0115,no,,16167
p0086,arbol,,2428
p0077,arbol,,2532
p0139,arbol,,1549
p0088,arbol,,1323
p0079,arbol,,1772
p0111,arbol,,933
p0030,no,,0
p0035,dudoso,,1448
p0128,arbol,,1042
p0101,arbol,,741
p0024,no,,1437
p0120,no,,3111
p0048,arbol,,1300
p0125,dudoso,,1310
p0009,no,,0
p0041,no,,731
p0121,no,,1896
p0029,no,,0
p0124,arbol,,628
p0112,no,,678
p0106,arbol,,653
p0040,edificacion,,1348
p0142,arbol,,849
p0132,arbol,,728
p0060,no,,11154
p0028,no,,747
p0062,dudoso,,1116
p0126,dudoso,,18062
p0037,no,,1748
p0113,arbol,,695
p0018,no,,1230
p0002,no,,2731
p0054,no,,1186
p0141,arbol,,745
p0059,arbol,,1609
p0096,no,,858
p0108,arbol,,1271
p0017,no,,0
p0015,no,,0
p0012,no,,1064
p0117,arbol,,1062
p0050,no,,781
p0051,arbol,,1651
p0001,no,,746
p0147,arbol,,1261
p0052,edificacion,,878
p0094,dudoso,,2870
p0023,no,,1551
p0061,arbol,,1177
p0081,no,,970
p0019,no,,861
p0042,no,,0
p0119,arbol,,2144
p0058,no,,2304
p0047,no,,1708
p0068,no,,746
p0092,edificacion,,836
p0033,no,,1234
p0078,arbol,,1783
p0021,no,,639
p0090,no,,704
p0095,arbol,,677
p0045,edificacion,,771
p0063,arbol,,878
p0102,arbol,,796
p0046,no,,1702
p0099,no,,734
p0145,arbol,,656
p0148,arbol,,542
p0137,arbol,,542
p0066,dudoso,,3176
p0103,arbol,,1635
p0008,no,,0
p0034,no,,766
p0085,arbol,,1286
p0026,no,,1587
p0149,arbol,,1341
p0036,no,,1895
p0027,edificacion,,490
p0080,no,,4299
p0118,arbol,,2131
p0074,arbol,,712
p0057,arbol,,1704
p0082,dudoso,,2351
p0087,no,,843
p0003,no,,879
p0146,arbol,,679
