id,clase_claude
p0000,no
p0001,dudoso
p0002,arbol
p0003,dudoso
p0004,no
p0005,no
p0006,no
p0007,dudoso
p0008,no
p0009,no
p0010,no
p0011,no
p0012,dudoso
p0013,arbol
p0014,dudoso
p0015,no
p0016,dudoso
p0017,no
p0018,dudoso
p0019,dudoso
p0020,no
p0021,dudoso
p0022,no
p0023,dudoso
p0024,arbol
p0025,dudoso
p0026,dudoso
p0027,dudoso
p0028,dudoso
p0029,no
p0030,no
p0031,dudoso
p0032,dudoso
p0033,dudoso
p0034,dudoso
p0035,dudoso
p0036,dudoso
p0037,arbol
p0038,arbol
p0039,dudoso
p0040,dudoso
p0041,dudoso
p0042,no
p0043,dudoso
p0044,dudoso
p0045,dudoso
p0046,dudoso
p0047,arbol
p0048,arbol
p0049,dudoso
p0050,dudoso
p0051,dudoso
p0052,dudoso
p0053,dudoso
p0054,dudoso
p0055,arbol
p0056,dudoso
p0057,arbol
p0058,arbol
p0059,arbol
p0060,dudoso
p0061,arbol
p0062,arbol
p0063,dudoso
p0064,arbol
p0065,dudoso
p0066,dudoso
p0067,dudoso
p0068,dudoso
p0069,dudoso
p0070,dudoso
p0071,dudoso
p0072,dudoso
p0073,arbol
p0074,arbol
p0075,dudoso
p0076,arbol
p0077,dudoso
p0078,dudoso
p0079,dudoso
p0080,dudoso
p0081,arbol
p0082,dudoso
p0083,dudoso
p0084,arbol
p0085,arbol
p0086,dudoso
p0087,dudoso
p0088,arbol
p0089,dudoso
p0090,dudoso
p0091,dudoso
p0092,dudoso
p0093,dudoso
p0094,arbol
p0095,arbol
p0096,dudoso
p0097,dudoso
p0098,no
p0099,dudoso
p0100,arbol
p0101,arbol
p0102,arbol
p0103,dudoso
p0104,arbol
p0105,arbol
p0106,arbol
p0107,dudoso
p0108,dudoso
p0109,dudoso
p0110,dudoso
p0111,arbol
p0112,dudoso
p0113,arbol
p0114,arbol
p0115,dudoso
p0116,dudoso
p0117,arbol
p0118,arbol
p0119,dudoso
p0120,arbol
p0121,arbol
p0122,arbol
p0123,arbol
p0124,arbol
p0125,dudoso
p0126,arbol
p0127,dudoso
p0128,arbol
p0129,dudoso
p0130,arbol
p0131,arbol
p0132,arbol
p0133,arbol
p0134,arbol
p0135,arbol
p0136,arbol
p0137,arbol
p0138,arbol
p0139,dudoso
p0140,arbol
p0141,arbol
p0142,arbol
p0143,arbol
p0144,arbol
p0145,arbol
p0146,arbol
p0147,dudoso
p0148,arbol
p0149,arbol
