id,orden,x,y,chm_m,estrato,peso_m2,bloque
p0020,0,519025.5,4707011.5,0.14000000059604645,"[0,2)",8233219.46,PNOA-2024-GAL-519-4708-H29-NPC01
p0013,1,539290.5,4660956.5,0.6800000071525574,"[0,2)",8233219.46,PNOA-2024-GAL-539-4661-H29-NPC01
p0097,2,536158.5,4721115.5,12.600000381469727,"[8,15)",1813156.63,PNOA-2024-GAL-536-4722-H29-NPC01
p0006,3,532555.5,4713853.5,0.36000001430511475,"[0,2)",8233219.46,PNOA-2024-GAL-532-4714-H29-NPC01
p0130,4,572534.5,4724496.5,19.15999984741211,"[15,35)",3044289.33,PNOA-2024-GAL-572-4725-H29-NPC01
p0032,5,530934.5,4677080.5,3.0799999237060547,"[2,5.5)",1687923.28,PNOA-2024-GAL-530-4678-H29-NPC01
p0110,6,555969.5,4709936.5,10.90999984741211,"[8,15)",1813156.63,PNOA-2024-GAL-555-4710-H29-NPC01
p0075,7,532820.5,4671229.5,6.75,"[5.5,8)",577329.5,PNOA-2024-GAL-532-4672-H29-NPC01
p0010,8,522138.5,4710030.5,0.10999999940395355,"[0,2)",8233219.46,PNOA-2024-GAL-522-4711-H29-NPC01
p0007,9,559746.5,4725659.5,0.33000001311302185,"[0,2)",8233219.46,PNOA-2024-GAL-559-4726-H29-NPC01
p0116,10,546679.5,4687072.5,9.260000228881836,"[8,15)",1813156.63,PNOA-2024-GAL-546-4688-H29-NPC01
p0123,11,543953.5,4667025.5,30.260000228881836,"[15,35)",3044289.33,PNOA-2024-GAL-543-4668-H29-NPC01
p0105,12,527334.5,4663138.5,13.65999984741211,"[8,15)",1813156.63,PNOA-2024-GAL-527-4664-H29-NPC01
p0093,13,545015.5,4672952.5,5.900000095367432,"[5.5,8)",577329.5,PNOA-2024-GAL-545-4673-H29-NPC01
p0056,14,528008.5,4716990.5,2.880000114440918,"[2,5.5)",1687923.28,PNOA-2024-GAL-528-4717-H29-NPC01
p0100,15,557391.5,4672950.5,12.859999656677246,"[8,15)",1813156.63,PNOA-2024-GAL-557-4673-H29-NPC01
p0022,16,568974.5,4726427.5,0.10999999940395355,"[0,2)",8233219.46,PNOA-2024-GAL-568-4727-H29-NPC01
p0135,17,553432.5,4679012.5,21.579999923706055,"[15,35)",3044289.33,PNOA-2024-GAL-553-4680-H29-NPC01
p0109,18,554383.5,4731002.5,14.079999923706055,"[8,15)",1813156.63,PNOA-2024-GAL-554-4732-H29-NPC01
p0133,19,513109.5,4641858.5,15.140000343322754,"[15,35)",3044289.33,PNOA-2024-GAL-513-4642-H29-NPC01
p0127,20,527417.5,4652684.5,24.440000534057617,"[15,35)",3044289.33,PNOA-2024-GAL-527-4653-H29-NPC01
p0064,21,549705.5,4675128.5,7.260000228881836,"[5.5,8)",577329.5,PNOA-2024-GAL-549-4676-H29-NPC01
p0071,22,531358.5,4673002.5,6.559999942779541,"[5.5,8)",577329.5,PNOA-2024-GAL-531-4674-H29-NPC01
p0011,23,524039.5,4655587.5,0.7099999785423279,"[0,2)",8233219.46,PNOA-2024-GAL-524-4656-H29-NPC01
p0083,24,532053.5,4677987.5,6.239999771118164,"[5.5,8)",577329.5,PNOA-2024-GAL-532-4678-H29-NPC01
p0043,25,515447.5,4679281.5,3.8299999237060547,"[2,5.5)",1687923.28,PNOA-2024-GAL-515-4680-H29-NPC01
p0098,26,553469.5,4701225.5,10.739999771118164,"[8,15)",1813156.63,PNOA-2024-GAL-553-4702-H29-NPC01
p0073,27,542157.5,4669723.5,7.639999866485596,"[5.5,8)",577329.5,PNOA-2024-GAL-542-4670-H29-NPC01
p0140,28,540589.5,4659779.5,26.469999313354492,"[15,35)",3044289.33,PNOA-2024-GAL-540-4660-H29-NPC01
p0129,29,529792.5,4707466.5,23.84000015258789,"[15,35)",3044289.33,PNOA-2024-GAL-529-4708-H29-NPC01
p0004,30,528926.5,4662530.5,0.1899999976158142,"[0,2)",8233219.46,PNOA-2024-GAL-528-4663-H29-NPC01
p0069,31,535831.5,4657890.5,5.559999942779541,"[5.5,8)",577329.5,PNOA-2024-GAL-535-4658-H29-NPC01
p0136,32,572535.5,4731771.5,15.5,"[15,35)",3044289.33,PNOA-2024-GAL-572-4732-H29-NPC01
p0025,33,546904.5,4669830.5,2.0199999809265137,"[2,5.5)",1687923.28,PNOA-2024-GAL-546-4670-H29-NPC01
p0067,34,534422.5,4710314.5,7.179999828338623,"[5.5,8)",577329.5,PNOA-2024-GAL-534-4711-H29-NPC01
p0104,35,512750.5,4644405.5,9.399999618530273,"[8,15)",1813156.63,PNOA-2024-GAL-512-4645-H29-NPC01
p0084,36,514841.5,4649226.5,7.050000190734863,"[5.5,8)",577329.5,PNOA-2024-GAL-514-4650-H29-NPC01
p0089,37,531698.5,4676319.5,7.909999847412109,"[5.5,8)",577329.5,PNOA-2024-GAL-531-4677-H29-NPC01
p0143,38,538583.5,4659843.5,40.849998474121094,"[35,inf)",272141.56,PNOA-2024-GAL-538-4660-H29-NPC01
p0131,39,535851.5,4731000.5,19.56999969482422,"[15,35)",3044289.33,PNOA-2024-GAL-535-4732-H29-NPC01
p0114,40,541715.5,4675804.5,12.670000076293945,"[8,15)",1813156.63,PNOA-2024-GAL-541-4676-H29-NPC01
p0070,41,564136.5,4665614.5,6.550000190734863,"[5.5,8)",577329.5,PNOA-2024-GAL-564-4666-H29-NPC01
p0065,42,542228.5,4674266.5,6.179999828338623,"[5.5,8)",577329.5,PNOA-2024-GAL-542-4675-H29-NPC01
p0031,43,556346.5,4667835.5,5.050000190734863,"[2,5.5)",1687923.28,PNOA-2024-GAL-556-4668-H29-NPC01
p0138,44,533611.5,4714880.5,27.270000457763672,"[15,35)",3044289.33,PNOA-2024-GAL-533-4715-H29-NPC01
p0055,45,517506.5,4702463.5,2.140000104904175,"[2,5.5)",1687923.28,PNOA-2024-GAL-517-4703-H29-NPC01
p0005,46,572029.5,4732162.5,0.10999999940395355,"[0,2)",8233219.46,PNOA-2024-GAL-572-4733-H29-NPC01
