id,clase,tipo,ms
p0139,dudoso,,303620
p0202,arbol,,2713
p0138,arbol,,2578
p0121,arbol,,5671
p0053,edificacion,,1903
p0002,no,,898
p0227,arbol,,2426
p0173,arbol,,1413
p0228,arbol,,805
p0140,no,,8075
p0075,no,,1463
p0004,no,,1247
p0231,arbol,,857
p0241,arbol,,1308
p0021,no,,1589
p0110,arbol,,1182
p0217,arbol,,1483
p0016,no,,757
p0201,arbol,,1616
p0118,arbol,,3890
p0177,arbol,,2529
p0129,no,,1489
p0190,no,,1449
p0160,no,,654
p0168,arbol,,1436
p0054,no,,799
p0056,no,,2120
p0215,dudoso,,7823
p0103,no,,1366
p0234,no,,1664
p0082,no,,1113
p0096,no,,1670
p0148,no,,1114
p0197,no,,1699
p0102,arbol,,975
p0175,no,,1143
p0076,arbol,,5179
p0114,no,,415234
p0046,no,,6090
p0218,arbol,,30105
p0245,arbol,,1518
p0184,no,,8867
p0090,no,,2081
p0024,dudoso,,4509
p0163,dudoso,,40246
p0191,arbol,,2702
p0095,no,,2655
p0246,arbol,,2437
p0005,no,,727
p0029,no,,776
p0208,arbol,,3182
p0248,arbol,,953
p0122,no,,1050
p0145,no,,3378
p0169,arbol,,850
p0066,dudoso,,4062
p0007,no,,1334
p0101,no,,1026
p0239,arbol,,910
p0071,no,,739
p0221,arbol,,948
p0154,arbol,,3486
p0164,no,,2122
p0117,dudoso,,5510
p0011,no,,8092
p0062,no,,4644
p0146,edificacion,,1331
p0100,no,,1055
p0183,dudoso,,16853
p0065,no,,1497
p0098,no,,867
p0109,arbol,,3256
p0085,no,,12531
p0235,arbol,,878
p0161,dudoso,,6255
p0172,dudoso,,5008
p0224,arbol,,1013
p0127,arbol,,1976
p0128,no,,7482
p0220,arbol,,1023
p0003,no,,995
p0136,no,,1273
p0033,no,,698
p0223,arbol,,1769
p0240,arbol,,2167
p0077,no,,1048
p0080,arbol,,729
p0193,arbol,,1770
p0167,arbol,,1642
p0084,arbol,,5198
p0039,no,,3377
p0017,no,,1139
p0206,arbol,,17206
p0010,no,,689
p0212,arbol,,1069
p0006,no,,636
p0042,no,,718
p0035,no,,789
p0047,no,,1350
p0207,arbol,,863
p0134,no,,2188
p0194,arbol,,2794
p0210,arbol,,2143
p0013,no,,10621
p0200,no,,3110
p0225,arbol,,788
p0156,arbol,,1244
p0238,arbol,,751
p0097,no,,694
p0232,arbol,,8383
p0037,no,,731
p0124,no,,1032
p0093,no,,730
p0133,arbol,,1752
p0104,no,,1176
p0211,no,,4863
p0052,no,,1798
p0012,no,,762
p0064,no,,1480
p0131,no,,2086
p0186,no,,7269
p0222,arbol,,1121
p0205,dudoso,,3833
p0132,no,,850
p0155,arbol,,1107
p0170,no,,2157
p0107,no,,816
p0092,no,,616
p0143,no,,1157
p0120,arbol,,841
p0069,no,,555
p0226,arbol,,757
p0162,dudoso,,1460
p0178,arbol,,1620
p0195,dudoso,,2830
p0094,no,,932
p0204,no,,6743
p0165,arbol,,1689
p0057,no,,763
p0237,arbol,,815
p0144,no,,1641
p0022,no,,1025
p0044,no,,1013
p0233,arbol,,2074
p0081,no,,1317
p0073,no,,3254
p0236,arbol,,1048
p0243,arbol,,1186
p0025,no,,782
p0152,no,,1053
p0181,arbol,,1117
p0112,no,,1565
p0187,no,,2996
p0199,arbol,,6729
p0059,no,,1430
p0214,arbol,,2424
p0027,no,,811
p0099,no,,3038
p0031,no,,2202
p0023,no,,872
p0216,dudoso,,4980
p0196,arbol,,1742
p0123,no,,767
p0209,arbol,,795
p0135,edificacion,,1036
p0051,no,,732
p0151,dudoso,,2142
p0008,arbol,,5848
p0078,no,,1196
p0070,no,,991
p0188,arbol,,1610
p0014,no,,815
p0067,no,,1295
p0072,no,,3158
p0048,no,,974
p0050,no,,671
p0041,no,,765
p0000,no,,931
p0088,no,,2310
p0030,no,,4884
p0189,arbol,,2506
p0113,arbol,,1762
p0032,no,,844
p0166,arbol,,1785
p0185,no,,960
p0219,arbol,,1367
p0106,no,,3490
p0018,no,,718
p0020,no,,709
p0086,no,,723
p0182,no,,2173
p0119,arbol,,1118
p0055,no,,1129
p0034,no,,782
p0049,arbol,,919
p0141,arbol,,2127
p0061,no,,1305
p0087,no,,838
p0045,no,,577
p0174,arbol,,802
p0242,arbol,,1269
p0249,arbol,,731
p0125,dudoso,,3357
p0083,no,,803
p0015,no,,713
p0019,no,,662
p0229,no,,5742
p0130,no,,12102
p0192,no,,7697
p0157,dudoso,,2289
p0115,no,,1713
p0179,no,,1607
p0001,no,,601
p0158,no,,1764
p0116,no,,1365
p0079,no,,740
p0038,no,,539
p0036,no,,638
p0009,no,,1314
p0213,arbol,,839
p0147,no,,749
p0171,no,,1473
p0230,arbol,,1006
p0153,no,,995
p0060,arbol,,1013
p0137,no,,1392
p0105,arbol,,3827
p0198,arbol,,3082
p0040,no,,2384
p0176,dudoso,,2685
p0180,arbol,,1796
p0244,dudoso,,2843
p0159,dudoso,,571
p0063,no,,788
p0058,arbol,,2295
p0108,no,,726
p0142,edificacion,,993
p0149,no,,2809
p0091,no,,715
p0028,no,,2013
p0068,no,,1027
p0150,no,,1955
p0126,no,,2824
p0026,no,,791
p0089,no,,1010
p0247,arbol,,883
p0203,no,,976
p0043,no,,882
p0111,no,,4055
p0074,no,,844
