id,orden,x,y,chm_m,estrato,peso_m2,bloque
p0139,0,554910.5,4678549.5,5.760000228881836,"[5.5,8)",29787.58,PNOA-2024-GAL-554-4679-H29-NPC01
p0202,1,549687.5,4679900.5,9.319999694824219,"[8,15)",100390.24,PNOA-2024-GAL-549-4680-H29-NPC01
p0138,2,564665.5,4668286.5,7.53000020980835,"[5.5,8)",29787.58,PNOA-2024-GAL-564-4669-H29-NPC01
p0121,3,564598.5,4667710.5,6.650000095367432,"[5.5,8)",29787.58,PNOA-2024-GAL-564-4668-H29-NPC01
p0053,4,557176.5,4682024.5,3.2200000286102295,"[2,5.5)",77574.83,PNOA-2024-GAL-557-4683-H29-NPC01
p0002,5,557572.5,4681670.5,0.44999998807907104,"[0,2)",287125.4,PNOA-2024-GAL-557-4682-H29-NPC01
p0227,6,556013.5,4666290.5,18.030000686645508,"[15,35)",161177.83,PNOA-2024-GAL-556-4667-H29-NPC01
p0173,7,557684.5,4671049.5,9.630000114440918,"[8,15)",100390.24,PNOA-2024-GAL-557-4672-H29-NPC01
p0228,8,566880.5,4672784.5,19.729999542236328,"[15,35)",161177.83,PNOA-2024-GAL-566-4673-H29-NPC01
p0140,9,550821.5,4672223.5,7.329999923706055,"[5.5,8)",29787.58,PNOA-2024-GAL-550-4673-H29-NPC01
p0075,10,558899.5,4669733.5,2.1700000762939453,"[2,5.5)",77574.83,PNOA-2024-GAL-558-4670-H29-NPC01
p0004,11,559943.5,4671711.5,0.36000001430511475,"[0,2)",287125.4,PNOA-2024-GAL-559-4672-H29-NPC01
p0231,12,558332.5,4668103.5,16.510000228881836,"[15,35)",161177.83,PNOA-2024-GAL-558-4669-H29-NPC01
p0241,13,563658.5,4668740.5,36.75,"[35,inf)",10402.6,PNOA-2024-GAL-563-4669-H29-NPC01
p0021,14,549846.5,4675877.5,1.5499999523162842,"[0,2)",287125.4,PNOA-2024-GAL-549-4676-H29-NPC01
p0110,15,561336.5,4670901.5,5.559999942779541,"[5.5,8)",29787.58,PNOA-2024-GAL-561-4671-H29-NPC01
p0217,16,558843.5,4666925.5,21.010000228881836,"[15,35)",161177.83,PNOA-2024-GAL-558-4667-H29-NPC01
p0016,17,559390.5,4667545.5,0.05999999865889549,"[0,2)",287125.4,PNOA-2024-GAL-559-4668-H29-NPC01
p0201,18,562682.5,4668911.5,9.720000267028809,"[8,15)",100390.24,PNOA-2024-GAL-562-4669-H29-NPC01
p0118,19,550046.5,4678393.5,7.880000114440918,"[5.5,8)",29787.58,PNOA-2024-GAL-550-4679-H29-NPC01
p0177,20,550046.5,4678866.5,8.380000114440918,"[8,15)",100390.24,PNOA-2024-GAL-550-4679-H29-NPC01
p0129,21,559344.5,4676195.5,5.769999980926514,"[5.5,8)",29787.58,PNOA-2024-GAL-559-4677-H29-NPC01
p0190,22,551853.5,4669787.5,8.819999694824219,"[8,15)",100390.24,PNOA-2024-GAL-551-4670-H29-NPC01
p0160,23,558111.5,4665050.5,12.710000038146973,"[8,15)",100390.24,PNOA-2024-GAL-558-4666-H29-NPC01
p0168,24,562134.5,4672624.5,10.59000015258789,"[8,15)",100390.24,PNOA-2024-GAL-562-4673-H29-NPC01
p0054,25,562446.5,4668448.5,2.509999990463257,"[2,5.5)",77574.83,PNOA-2024-GAL-562-4669-H29-NPC01
p0056,26,560558.5,4665205.5,2.3299999237060547,"[2,5.5)",77574.83,PNOA-2024-GAL-560-4666-H29-NPC01
p0215,27,558723.5,4666445.5,16.200000762939453,"[15,35)",161177.83,PNOA-2024-GAL-558-4667-H29-NPC01
p0103,28,557053.5,4666167.5,5.889999866485596,"[5.5,8)",29787.58,PNOA-2024-GAL-557-4667-H29-NPC01
p0234,29,567178.5,4670376.5,22.079999923706055,"[15,35)",161177.83,PNOA-2024-GAL-567-4671-H29-NPC01
p0082,30,557095.5,4662687.5,2.109999895095825,"[2,5.5)",77574.83,PNOA-2024-GAL-557-4663-H29-NPC01
p0096,31,557410.5,4674297.5,2.569999933242798,"[2,5.5)",77574.83,PNOA-2024-GAL-557-4675-H29-NPC01
p0148,32,560523.5,4673912.5,6.139999866485596,"[5.5,8)",29787.58,PNOA-2024-GAL-560-4674-H29-NPC01
p0197,33,559251.5,4667611.5,9.949999809265137,"[8,15)",100390.24,PNOA-2024-GAL-559-4668-H29-NPC01
p0102,34,552656.5,4673234.5,7.46999979019165,"[5.5,8)",29787.58,PNOA-2024-GAL-552-4674-H29-NPC01
p0175,35,562131.5,4666713.5,8.460000038146973,"[8,15)",100390.24,PNOA-2024-GAL-562-4667-H29-NPC01
p0076,36,554499.5,4669958.5,5.440000057220459,"[2,5.5)",77574.83,PNOA-2024-GAL-554-4670-H29-NPC01
p0114,37,560093.5,4668800.5,5.630000114440918,"[5.5,8)",29787.58,PNOA-2024-GAL-560-4669-H29-NPC01
p0046,38,552763.5,4673206.5,4.699999809265137,"[2,5.5)",77574.83,PNOA-2024-GAL-552-4674-H29-NPC01
p0218,39,558466.5,4666707.5,19.170000076293945,"[15,35)",161177.83,PNOA-2024-GAL-558-4667-H29-NPC01
p0245,40,549934.5,4672604.5,37.369998931884766,"[35,inf)",10402.6,PNOA-2024-GAL-549-4673-H29-NPC01
p0184,41,556915.5,4662040.5,8.800000190734863,"[8,15)",100390.24,PNOA-2024-GAL-556-4663-H29-NPC01
p0090,42,564196.5,4666771.5,3.130000114440918,"[2,5.5)",77574.83,PNOA-2024-GAL-564-4667-H29-NPC01
p0024,43,561187.5,4665971.5,0.6800000071525574,"[0,2)",287125.4,PNOA-2024-GAL-561-4666-H29-NPC01
p0163,44,561405.5,4665888.5,11.680000305175781,"[8,15)",100390.24,PNOA-2024-GAL-561-4666-H29-NPC01
p0191,45,559896.5,4667702.5,10.59000015258789,"[8,15)",100390.24,PNOA-2024-GAL-559-4668-H29-NPC01
p0095,46,561540.5,4673850.5,4.590000152587891,"[2,5.5)",77574.83,PNOA-2024-GAL-561-4674-H29-NPC01
p0246,47,567216.5,4668715.5,36.459999084472656,"[35,inf)",10402.6,PNOA-2024-GAL-567-4669-H29-NPC01
p0005,48,553458.5,4679379.5,0.5099999904632568,"[0,2)",287125.4,PNOA-2024-GAL-553-4680-H29-NPC01
p0029,49,555264.5,4661201.5,1.9299999475479126,"[0,2)",287125.4,PNOA-2024-GAL-555-4662-H29-NPC01
p0208,50,564308.5,4667365.5,19.190000534057617,"[15,35)",161177.83,PNOA-2024-GAL-564-4668-H29-NPC01
p0248,51,550061.5,4672425.5,36.25,"[35,inf)",10402.6,PNOA-2024-GAL-550-4673-H29-NPC01
p0122,52,563440.5,4674546.5,7.929999828338623,"[5.5,8)",29787.58,PNOA-2024-GAL-563-4675-H29-NPC01
p0145,53,556069.5,4666157.5,6.599999904632568,"[5.5,8)",29787.58,PNOA-2024-GAL-556-4667-H29-NPC01
p0169,54,564883.5,4667998.5,13.359999656677246,"[8,15)",100390.24,PNOA-2024-GAL-564-4668-H29-NPC01
p0066,55,553408.5,4678569.5,3.2799999713897705,"[2,5.5)",77574.83,PNOA-2024-GAL-553-4679-H29-NPC01
p0007,56,559549.5,4669832.5,1.4500000476837158,"[0,2)",287125.4,PNOA-2024-GAL-559-4670-H29-NPC01
p0101,57,553949.5,4672699.5,5.769999980926514,"[5.5,8)",29787.58,PNOA-2024-GAL-553-4673-H29-NPC01
